City,Sentiment,Month,Language,Count,Latitude,Longitude
Aadorf,POSITIVE,august,de,56,47.4915782,8.902952599999997
Aadorf,POSITIVE,august,en,4,47.4915782,8.902952599999997
Aadorf,NEGATIVE,july,de,5,47.4915782,8.902952599999997
Aadorf,POSITIVE,october,de,53,47.4915782,8.902952599999997
Aadorf,NEGATIVE,october,en,2,47.4915782,8.902952599999997
Aadorf,POSITIVE,september,de,51,47.4915782,8.902952599999997
Aadorf,POSITIVE,september,en,3,47.4915782,8.902952599999997
Aarau,POSITIVE,april,de,423,47.3927146,8.0444448
Aarau,POSITIVE,april,en,51,47.3927146,8.0444448
Aarau,POSITIVE,april,fr,4,47.3927146,8.0444448
Aarau,POSITIVE,august,de,663,47.3927146,8.0444448
Aarau,POSITIVE,august,en,159,47.3927146,8.0444448
Aarau,NEGATIVE,august,fr,4,47.3927146,8.0444448
Aarau,POSITIVE,february,de,503,47.3927146,8.0444448
Aarau,POSITIVE,february,en,48,47.3927146,8.0444448
Aarau,POSITIVE,february,fr,3,47.3927146,8.0444448
Aarau,POSITIVE,january,de,282,47.3927146,8.0444448
Aarau,NEGATIVE,january,en,1,47.3927146,8.0444448
Aarau,POSITIVE,january,fr,3,47.3927146,8.0444448
Aarau,POSITIVE,july,de,81,47.3927146,8.0444448
Aarau,POSITIVE,july,en,87,47.3927146,8.0444448
Aarau,POSITIVE,june,de,479,47.3927146,8.0444448
Aarau,POSITIVE,june,en,77,47.3927146,8.0444448
Aarau,POSITIVE,june,fr,11,47.3927146,8.0444448
Aarau,POSITIVE,march,de,630,47.3927146,8.0444448
Aarau,POSITIVE,march,en,58,47.3927146,8.0444448
Aarau,POSITIVE,march,fr,10,47.3927146,8.0444448
Aarau,POSITIVE,may,de,539,47.3927146,8.0444448
Aarau,POSITIVE,may,en,43,47.3927146,8.0444448
Aarau,POSITIVE,may,fr,3,47.3927146,8.0444448
Aarau,POSITIVE,october,de,654,47.3927146,8.0444448
Aarau,POSITIVE,october,en,156,47.3927146,8.0444448
Aarau,POSITIVE,october,fr,7,47.3927146,8.0444448
Aarau,POSITIVE,september,de,757,47.3927146,8.0444448
Aarau,POSITIVE,september,en,133,47.3927146,8.0444448
Aarau,POSITIVE,september,fr,13,47.3927146,8.0444448
