City,Sentiment,Month,Count,Latitude,Longitude
aadorf,POSITIVE,august,56,47.4915782,8.902952599999997
aadorf,NEGATIVE,july,5,47.4915782,8.902952599999997
aadorf,POSITIVE,october,53,47.4915782,8.902952599999997
aadorf,POSITIVE,september,51,47.4915782,8.902952599999997
aarau,POSITIVE,april,427,47.3927146,8.0444448
aarau,POSITIVE,august,666,47.3927146,8.0444448
aarau,POSITIVE,february,506,47.3927146,8.0444448
aarau,POSITIVE,january,285,47.3927146,8.0444448
aarau,POSITIVE,july,81,47.3927146,8.0444448
aarau,POSITIVE,june,490,47.3927146,8.0444448
aarau,POSITIVE,march,640,47.3927146,8.0444448
aarau,POSITIVE,may,542,47.3927146,8.0444448
aarau,POSITIVE,october,661,47.3927146,8.0444448
aarau,POSITIVE,september,770,47.3927146,8.0444448
aarberg,NEGATIVE,august,23,47.0443346,7.2753004
aarberg,NEGATIVE,july,3,47.0443346,7.2753004
aarberg,NEGATIVE,october,13,47.0443346,7.2753004
aarberg,NEGATIVE,september,14,47.0443346,7.2753004
aarburg,NEGATIVE,august,17,47.3206417,7.8993599
aarburg,NEGATIVE,july,3,47.3206417,7.8993599
aarburg,POSITIVE,october,31,47.3206417,7.8993599
aarburg,POSITIVE,september,28,47.3206417,7.8993599
aargau,POSITIVE,august,1797,47.412396,8.1948321
aargau,POSITIVE,july,192,47.412396,8.1948321
aargau,POSITIVE,june,3,47.412396,8.1948321
aargau,POSITIVE,may,25,47.412396,8.1948321
aargau,POSITIVE,october,1951,47.412396,8.1948321
aargau,POSITIVE,september,2066,47.412396,8.1948321
adelboden,NEGATIVE,august,15,46.4927213,7.5587618
adelboden,NEGATIVE,july,1,46.4927213,7.5587618
adelboden,POSITIVE,october,35,46.4927213,7.5587618
adelboden,POSITIVE,september,18,46.4927213,7.5587618
adetswil,NEGATIVE,august,1,47.3396328,8.8435332
adetswil,NEGATIVE,september,2,47.3396328,8.8435332
adligenswil,NEGATIVE,august,10,47.070535,8.368244
adligenswil,NEGATIVE,july,13,47.070535,8.368244
adligenswil,NEGATIVE,october,3,47.070535,8.368244
adligenswil,POSITIVE,september,12,47.070535,8.368244
adliswil,POSITIVE,august,26,47.3117624,8.52491
adliswil,NEGATIVE,july,1,47.3117624,8.52491
adliswil,POSITIVE,may,1,47.3117624,8.52491
adliswil,NEGATIVE,october,30,47.3117624,8.52491
adliswil,POSITIVE,september,26,47.3117624,8.52491
aegerten,POSITIVE,august,17,47.1202408,7.2884966
aegerten,POSITIVE,may,2,47.1202408,7.2884966
