City,Sentiment,Count,Month,Language
source_location,sentiment,0,april,de
Aarau,NEGATIVE,263,april,de
Aarau,NEUTRAL,6,april,de
Aarau,POSITIVE,441,april,de
Affoltern am Albis,NEGATIVE,1,april,de
Affoltern am Albis,POSITIVE,3,april,de
Aigle,NEGATIVE,1,april,de
Altdorf,NEGATIVE,59,april,de
Altdorf,NEUTRAL,6,april,de
Altdorf,POSITIVE,62,april,de
Amden,NEGATIVE,3,april,de
Amden,NEUTRAL,1,april,de
Amden,POSITIVE,6,april,de
Appenzell,NEGATIVE,7,april,de
Appenzell,POSITIVE,11,april,de
Arbon,NEGATIVE,6,april,de
Arbon,POSITIVE,3,april,de
Arlesheim,NEGATIVE,6,april,de
Arlesheim,NEUTRAL,1,april,de
Arlesheim,POSITIVE,11,april,de
Arth,NEGATIVE,1,april,de
Bad Zurzach,NEGATIVE,16,april,de
Bad Zurzach,POSITIVE,22,april,de
Baden,NEGATIVE,468,april,de
Baden,NEUTRAL,19,april,de
Baden,POSITIVE,952,april,de
Basel,NEGATIVE,3781,april,de
Basel,NEUTRAL,71,april,de
Basel,POSITIVE,8805,april,de
Basilea,POSITIVE,1,april,de
Bellinzona,NEGATIVE,26,april,de
Bellinzona,NEUTRAL,1,april,de
Bellinzona,POSITIVE,54,april,de
Bern,NEGATIVE,4791,april,de
Bern,NEUTRAL,123,april,de
Bern,POSITIVE,7642,april,de
Berna,NEGATIVE,2,april,de
Biel,NEGATIVE,74,april,de
Biel,NEUTRAL,2,april,de
Biel,POSITIVE,135,april,de
Biel/Bienne,NEGATIVE,66,april,de
Biel/Bienne,NEUTRAL,4,april,de
Biel/Bienne,POSITIVE,118,april,de
Bienne,NEGATIVE,1,april,de
Bienne,POSITIVE,1,april,de
Bremgarten,NEGATIVE,40,april,de
Bremgarten,NEUTRAL,2,april,de
Bremgarten,POSITIVE,27,april,de
Brig,NEGATIVE,444,april,de
Brig,NEUTRAL,14,april,de
Brig,POSITIVE,427,april,de
Brugg,NEGATIVE,21,april,de
Brugg,POSITIVE,30,april,de
Buchs,NEGATIVE,2,april,de
Buchs,POSITIVE,15,april,de
Bulle,POSITIVE,1,april,de
Bülach,NEGATIVE,124,april,de
Bülach,POSITIVE,188,april,de
CH,NEGATIVE,1078,april,de
CH,NEUTRAL,10,april,de
CH,POSITIVE,1370,april,de
Chur,NEGATIVE,431,april,de
Chur,NEUTRAL,18,april,de
Chur,POSITIVE,812,april,de
Confoederatio Helvetica,NEGATIVE,3,april,de
Confoederatio Helvetica,POSITIVE,3,april,de
Delémont,NEUTRAL,1,april,de
Delémont,POSITIVE,2,april,de
Dielsdorf,NEGATIVE,1,april,de
Dielsdorf,POSITIVE,8,april,de
Einsiedeln,NEGATIVE,16,april,de
Einsiedeln,POSITIVE,51,april,de
Evolène,NEGATIVE,1,april,de
Frauenfeld,NEGATIVE,110,april,de
Frauenfeld,NEUTRAL,16,april,de
Frauenfeld,POSITIVE,337,april,de
Fribourg,NEGATIVE,332,april,de
Fribourg,NEUTRAL,38,april,de
Fribourg,POSITIVE,438,april,de
Frutigen,NEGATIVE,14,april,de
Frutigen,POSITIVE,35,april,de
Geneva,NEGATIVE,86,april,de
Geneva,NEUTRAL,11,april,de
Geneva,POSITIVE,118,april,de
Geneve,NEGATIVE,2,april,de
Geneve,NEUTRAL,1,april,de
Geneve,POSITIVE,8,april,de
Genf,NEGATIVE,23,april,de
Genf,POSITIVE,9,april,de
Genève,NEGATIVE,29,april,de
Genève,NEUTRAL,10,april,de
Genève,POSITIVE,47,april,de
Gersau,NEGATIVE,3,april,de
Glarus,NEGATIVE,12,april,de
Glarus,POSITIVE,40,april,de
Helvetia,NEGATIVE,5,april,de
Helvetia,NEUTRAL,1,april,de
Helvetia,POSITIVE,5,april,de
Herisau,NEGATIVE,31,april,de
Herisau,NEUTRAL,1,april,de
Herisau,POSITIVE,95,april,de
Hinwil,NEGATIVE,1,april,de
Hinwil,POSITIVE,2,april,de
Hochdorf,NEGATIVE,7,april,de
Hochdorf,POSITIVE,7,april,de
Horgen,NEGATIVE,3,april,de
Horgen,NEUTRAL,1,april,de
Horgen,POSITIVE,6,april,de
Interlaken,NEGATIVE,163,april,de
Interlaken,NEUTRAL,69,april,de
Interlaken,POSITIVE,205,april,de
Isvicre,NEGATIVE,1,april,de
Isvicre,POSITIVE,1,april,de
Kreuzlingen,NEGATIVE,12,april,de
Kreuzlingen,NEUTRAL,1,april,de
Kreuzlingen,POSITIVE,15,april,de
Laufen,NEGATIVE,5,april,de
Laufen,POSITIVE,6,april,de
Laufenburg,NEGATIVE,2,april,de
Laufenburg,POSITIVE,13,april,de
Lausanne,NEGATIVE,165,april,de
Lausanne,NEUTRAL,5,april,de
Lausanne,POSITIVE,229,april,de
Lauterbrunnen,POSITIVE,1,april,de
Lenzburg,NEGATIVE,400,april,de
Lenzburg,NEUTRAL,5,april,de
Lenzburg,POSITIVE,696,april,de
Leuk,NEGATIVE,1,april,de
Leuk,POSITIVE,1,april,de
Liestal,NEGATIVE,87,april,de
Liestal,POSITIVE,232,april,de
Lucerne,NEGATIVE,163,april,de
Lucerne,NEUTRAL,11,april,de
Lucerne,POSITIVE,250,april,de
Lugano,NEGATIVE,14,april,de
Lugano,NEUTRAL,12,april,de
Lugano,POSITIVE,30,april,de
Luzern,NEGATIVE,1336,april,de
Luzern,NEUTRAL,24,april,de
Luzern,POSITIVE,1785,april,de
Marly,NEGATIVE,2,april,de
Marly,POSITIVE,1,april,de
Meilen,NEGATIVE,2,april,de
Meilen,POSITIVE,6,april,de
Monthey,NEUTRAL,1,april,de
Monthey,POSITIVE,1,april,de
Muri,POSITIVE,2,april,de
Neuchâtel,NEGATIVE,41,april,de
Neuchâtel,NEUTRAL,1,april,de
Neuchâtel,POSITIVE,79,april,de
Olten,NEGATIVE,136,april,de
Olten,POSITIVE,302,april,de
Pfäffikon,NEGATIVE,5,april,de
Pfäffikon,POSITIVE,5,april,de
Poschiavo,NEGATIVE,1,april,de
Rheinfelden,NEGATIVE,29,april,de
Rheinfelden,NEUTRAL,5,april,de
Rheinfelden,POSITIVE,78,april,de
Romanshorn,NEGATIVE,6,april,de
Romanshorn,NEUTRAL,2,april,de
Romanshorn,POSITIVE,15,april,de
Saanen,NEGATIVE,28,april,de
Saanen,NEUTRAL,9,april,de
Saanen,POSITIVE,37,april,de
Samedan,POSITIVE,2,april,de
