source_location,sentiment,0
Aarau,NEGATIVE,263
Aarau,NEUTRAL,6
Aarau,POSITIVE,441
Affoltern am Albis,NEGATIVE,1
Affoltern am Albis,POSITIVE,3
Aigle,NEGATIVE,1
Altdorf,NEGATIVE,59
Altdorf,NEUTRAL,6
Altdorf,POSITIVE,62
Amden,NEGATIVE,3
Amden,NEUTRAL,1
Amden,POSITIVE,6
Appenzell,NEGATIVE,7
Appenzell,POSITIVE,11
Arbon,NEGATIVE,6
Arbon,POSITIVE,3
Arlesheim,NEGATIVE,6
Arlesheim,NEUTRAL,1
Arlesheim,POSITIVE,11
Arth,NEGATIVE,1
Bad Zurzach,NEGATIVE,16
Bad Zurzach,POSITIVE,22
Baden,NEGATIVE,468
Baden,NEUTRAL,19
Baden,POSITIVE,952
Basel,NEGATIVE,3781
Basel,NEUTRAL,71
Basel,POSITIVE,8805
Basilea,POSITIVE,1
Bellinzona,NEGATIVE,26
Bellinzona,NEUTRAL,1
Bellinzona,POSITIVE,54
Bern,NEGATIVE,4791
Bern,NEUTRAL,123
Bern,POSITIVE,7642
Berna,NEGATIVE,2
Biel,NEGATIVE,74
Biel,NEUTRAL,2
Biel,POSITIVE,135
Biel/Bienne,NEGATIVE,66
Biel/Bienne,NEUTRAL,4
Biel/Bienne,POSITIVE,118
Bienne,NEGATIVE,1
Bienne,POSITIVE,1
Bremgarten,NEGATIVE,40
Bremgarten,NEUTRAL,2
Bremgarten,POSITIVE,27
Brig,NEGATIVE,444
Brig,NEUTRAL,14
Brig,POSITIVE,427
Brugg,NEGATIVE,21
Brugg,POSITIVE,30
Buchs,NEGATIVE,2
Buchs,POSITIVE,15
Bulle,POSITIVE,1
Bülach,NEGATIVE,124
Bülach,POSITIVE,188
CH,NEGATIVE,1078
CH,NEUTRAL,10
CH,POSITIVE,1370
Chur,NEGATIVE,431
Chur,NEUTRAL,18
Chur,POSITIVE,812
Confoederatio Helvetica,NEGATIVE,3
Confoederatio Helvetica,POSITIVE,3
Delémont,NEUTRAL,1
Delémont,POSITIVE,2
Dielsdorf,NEGATIVE,1
Dielsdorf,POSITIVE,8
Einsiedeln,NEGATIVE,16
Einsiedeln,POSITIVE,51
Evolène,NEGATIVE,1
Frauenfeld,NEGATIVE,110
Frauenfeld,NEUTRAL,16
Frauenfeld,POSITIVE,337
Fribourg,NEGATIVE,332
Fribourg,NEUTRAL,38
Fribourg,POSITIVE,438
Frutigen,NEGATIVE,14
Frutigen,POSITIVE,35
Geneva,NEGATIVE,86
Geneva,NEUTRAL,11
Geneva,POSITIVE,118
Geneve,NEGATIVE,2
Geneve,NEUTRAL,1
Geneve,POSITIVE,8
Genf,NEGATIVE,23
Genf,POSITIVE,9
Genève,NEGATIVE,29
Genève,NEUTRAL,10
Genève,POSITIVE,47
Gersau,NEGATIVE,3
Glarus,NEGATIVE,12
Glarus,POSITIVE,40
Helvetia,NEGATIVE,5
Helvetia,NEUTRAL,1
Helvetia,POSITIVE,5
Herisau,NEGATIVE,31
Herisau,NEUTRAL,1
Herisau,POSITIVE,95
Hinwil,NEGATIVE,1
Hinwil,POSITIVE,2
Hochdorf,NEGATIVE,7
Hochdorf,POSITIVE,7
Horgen,NEGATIVE,3
Horgen,NEUTRAL,1
Horgen,POSITIVE,6
Interlaken,NEGATIVE,163
Interlaken,NEUTRAL,69
Interlaken,POSITIVE,205
Isvicre,NEGATIVE,1
Isvicre,POSITIVE,1
Kreuzlingen,NEGATIVE,12
Kreuzlingen,NEUTRAL,1
Kreuzlingen,POSITIVE,15
Laufen,NEGATIVE,5
Laufen,POSITIVE,6
