source_location,sentiment,0
Aarau,NEGATIVE,402
Aarau,NEUTRAL,7
Aarau,POSITIVE,649
Affoltern am Albis,NEGATIVE,1
Affoltern am Albis,POSITIVE,3
Aigle,POSITIVE,1
Altdorf,NEGATIVE,51
Altdorf,NEUTRAL,6
Altdorf,POSITIVE,60
Amden,NEGATIVE,1
Amden,POSITIVE,2
Andelfingen,NEGATIVE,1
Appenzell,NEGATIVE,8
Appenzell,NEUTRAL,1
Appenzell,POSITIVE,20
Arbon,NEGATIVE,7
Arbon,NEUTRAL,2
Arbon,POSITIVE,10
Arlesheim,NEGATIVE,5
Arlesheim,POSITIVE,4
Arth,POSITIVE,1
Bad Zurzach,NEGATIVE,7
Bad Zurzach,POSITIVE,16
Baden,NEGATIVE,392
Baden,NEUTRAL,13
Baden,POSITIVE,781
Basel,NEGATIVE,3609
Basel,NEUTRAL,44
Basel,POSITIVE,9134
Basilea,NEGATIVE,2
Basilea,POSITIVE,1
Bellinzona,NEGATIVE,31
Bellinzona,POSITIVE,28
Bern,NEGATIVE,5009
Bern,NEUTRAL,99
Bern,POSITIVE,8307
Berna,NEGATIVE,2
Berna,POSITIVE,2
Biel,NEGATIVE,74
Biel,NEUTRAL,1
Biel,POSITIVE,112
Biel/Bienne,NEGATIVE,83
Biel/Bienne,NEUTRAL,1
Biel/Bienne,POSITIVE,116
Bremgarten,NEGATIVE,31
Bremgarten,NEUTRAL,1
Bremgarten,POSITIVE,44
Brig,NEGATIVE,373
Brig,NEUTRAL,15
Brig,POSITIVE,361
Brugg,NEGATIVE,18
Brugg,POSITIVE,36
Buchs,NEGATIVE,8
Buchs,POSITIVE,9
Bulle,POSITIVE,3
Bülach,NEGATIVE,117
Bülach,NEUTRAL,2
Bülach,POSITIVE,163
CH,NEGATIVE,1170
CH,NEUTRAL,9
CH,POSITIVE,1664
Chur,NEGATIVE,405
Chur,NEUTRAL,13
Chur,POSITIVE,729
Confoederatio Helvetica,NEGATIVE,4
Confoederatio Helvetica,POSITIVE,9
Delémont,NEGATIVE,4
Delémont,POSITIVE,1
Dielsdorf,NEGATIVE,1
Dielsdorf,POSITIVE,6
Einsiedeln,NEGATIVE,14
Einsiedeln,NEUTRAL,1
Einsiedeln,POSITIVE,48
Flüelen,NEGATIVE,2
Flüelen,POSITIVE,1
Frauenfeld,NEGATIVE,103
Frauenfeld,NEUTRAL,14
Frauenfeld,POSITIVE,352
Fribourg,NEGATIVE,423
Fribourg,NEUTRAL,42
Fribourg,POSITIVE,559
Frutigen,NEGATIVE,7
Frutigen,POSITIVE,14
Geneva,NEGATIVE,77
Geneva,NEUTRAL,10
Geneva,POSITIVE,122
Geneve,NEGATIVE,3
Geneve,POSITIVE,3
Genf,NEGATIVE,20
Genf,NEUTRAL,1
Genf,POSITIVE,18
Genève,NEGATIVE,31
Genève,NEUTRAL,10
Genève,POSITIVE,43
Gersau,NEGATIVE,1
Glarus,NEGATIVE,17
Glarus,POSITIVE,29
Gränichen,NEGATIVE,1
Gränichen,POSITIVE,1
Helvetia,POSITIVE,1
Herisau,NEGATIVE,58
Herisau,POSITIVE,120
Hinwil,NEGATIVE,1
Hinwil,POSITIVE,2
Hochdorf,NEGATIVE,4
Hochdorf,POSITIVE,5
Horgen,NEGATIVE,1
Horgen,POSITIVE,3
Interlaken,NEGATIVE,167
Interlaken,NEUTRAL,62
Interlaken,POSITIVE,294
Kreuzlingen,NEGATIVE,9
Kreuzlingen,POSITIVE,15
Laufen,NEGATIVE,22
Laufen,POSITIVE,18
Laufenburg,NEGATIVE,7
Laufenburg,POSITIVE,9
Lausanne,NEGATIVE,195
Lausanne,NEUTRAL,3
Lausanne,POSITIVE,264
Lauterbrunnen,POSITIVE,1
Lenzburg,NEGATIVE,293
Lenzburg,NEUTRAL,6
Lenzburg,POSITIVE,424
Leuk,NEGATIVE,1
Leuk,POSITIVE,1
Liestal,NEGATIVE,94
Liestal,NEUTRAL,1
Liestal,POSITIVE,265
Lucerne,NEGATIVE,251
Lucerne,NEUTRAL,11
Lucerne,POSITIVE,299
Lugano,NEGATIVE,13
Lugano,NEUTRAL,3
Lugano,POSITIVE,19
Luzern,NEGATIVE,1259
Luzern,NEUTRAL,22
Luzern,POSITIVE,1734
Marly,NEGATIVE,1
Marly,NEUTRAL,1
Marly,POSITIVE,1
Meilen,NEGATIVE,3
Meilen,POSITIVE,7
Monthey,NEGATIVE,1
Münchwilen,NEGATIVE,1
Münchwilen,POSITIVE,2
Neuchâtel,NEGATIVE,56
Neuchâtel,NEUTRAL,1
Neuchâtel,POSITIVE,111
Olten,NEGATIVE,222
Olten,NEUTRAL,2
Olten,POSITIVE,355
Pfäffikon,NEGATIVE,1
Pfäffikon,POSITIVE,2
Poschiavo,NEGATIVE,2
Rheinfelden,NEGATIVE,19
Rheinfelden,NEUTRAL,1
Rheinfelden,POSITIVE,85
Romanshorn,NEGATIVE,11
Romanshorn,NEUTRAL,1
Romanshorn,POSITIVE,21
Saanen,NEGATIVE,24
Saanen,NEUTRAL,6
Saanen,POSITIVE,67
Samedan,POSITIVE,1
Sankt Gallen,NEGATIVE,187
Sankt Gallen,NEUTRAL,5
Sankt Gallen,POSITIVE,286
