source_location,sentiment,0
Aarau,NEGATIVE,3
Aarau,POSITIVE,3
Aigle,NEGATIVE,87
Aigle,NEUTRAL,2
Aigle,POSITIVE,34
Amden,POSITIVE,1
Baden,POSITIVE,9
Basel,NEGATIVE,53
Basel,NEUTRAL,9
Basel,POSITIVE,266
Bellinzona,NEGATIVE,3
Bellinzona,NEUTRAL,1
Bellinzona,POSITIVE,15
Bern,NEGATIVE,178
Bern,NEUTRAL,6
Bern,POSITIVE,386
Berna,NEGATIVE,5
Berna,POSITIVE,7
Biel,NEGATIVE,2
Biel,NEUTRAL,1
Biel,POSITIVE,7
Biel/Bienne,NEGATIVE,11
Biel/Bienne,POSITIVE,32
Bienne,NEGATIVE,180
Bienne,NEUTRAL,1
Bienne,POSITIVE,257
Brig,NEUTRAL,1
Brig,POSITIVE,1
Brugg,NEGATIVE,3
Brugg,POSITIVE,10
Bulle,NEGATIVE,67
Bulle,POSITIVE,121
Bâle,NEGATIVE,9
Bâle,POSITIVE,17
CH,NEGATIVE,268
CH,NEUTRAL,3
CH,POSITIVE,202
Chur,POSITIVE,2
Conthey,NEGATIVE,7
Conthey,POSITIVE,3
Delémont,NEGATIVE,31
Delémont,NEUTRAL,1
Delémont,POSITIVE,101
Ennetbürgen,POSITIVE,1
Evolène,NEGATIVE,1
Fribourg,NEGATIVE,447
Fribourg,NEUTRAL,4
Fribourg,POSITIVE,755
Geneva,NEGATIVE,4247
Geneva,NEUTRAL,34
Geneva,POSITIVE,3879
Geneve,NEGATIVE,710
Geneve,NEUTRAL,3
Geneve,POSITIVE,436
Genf,NEGATIVE,126
Genf,NEUTRAL,2
Genf,POSITIVE,59
Genève,NEGATIVE,13769
Genève,NEUTRAL,115
Genève,POSITIVE,14723
Ginevra,POSITIVE,13
Helvetia,NEGATIVE,16
Helvetia,NEUTRAL,1
Helvetia,POSITIVE,36
Interlaken,POSITIVE,2
La Sarraz,POSITIVE,3
Laufenburg,POSITIVE,1
Lausanne,NEGATIVE,3742
Lausanne,NEUTRAL,31
Lausanne,POSITIVE,5920
Le Locle,NEGATIVE,11
Le Locle,POSITIVE,10
Lenzburg,NEUTRAL,1
Lenzburg,POSITIVE,3
Liestal,POSITIVE,1
Lucerne,NEGATIVE,6
Lucerne,POSITIVE,10
Lugano,NEGATIVE,58
Lugano,NEUTRAL,21
Lugano,POSITIVE,93
Luzern,NEGATIVE,1
Luzern,NEUTRAL,2
Luzern,POSITIVE,11
Marly,NEGATIVE,559
Marly,NEUTRAL,3
Marly,POSITIVE,537
Monthey,NEGATIVE,160
Monthey,NEUTRAL,2
Monthey,POSITIVE,149
Neuchatel,POSITIVE,3
Neuchâtel,NEGATIVE,239
Neuchâtel,NEUTRAL,1
Neuchâtel,POSITIVE,255
Olten,POSITIVE,1
Payerne,NEGATIVE,5
Payerne,POSITIVE,7
Porrentruy,NEGATIVE,4
Porrentruy,POSITIVE,8
Renens,POSITIVE,5
Rheinfelden,POSITIVE,2
Saanen,POSITIVE,1
Saint-Maurice,NEGATIVE,10
Saint-Maurice,POSITIVE,6
Sankt Gallen,NEGATIVE,1
Sankt Gallen,POSITIVE,2
Sarnen,NEGATIVE,1
Schaffhausen,NEGATIVE,1
Schaffhausen,POSITIVE,5
Schweiz,NEGATIVE,477
Schweiz,NEUTRAL,22
Schweiz,POSITIVE,500
St. Gallen,POSITIVE,4
Suica,POSITIVE,1
Suisse,NEGATIVE,24009
Suisse,NEUTRAL,206
Suisse,POSITIVE,28557
Suiza,NEGATIVE,15
Suiza,NEUTRAL,1
Suiza,POSITIVE,48
Sursee,NEGATIVE,1
Sursee,NEUTRAL,1
Sursee,POSITIVE,2
Suíça,NEGATIVE,3
Suíça,NEUTRAL,2
Suíça,POSITIVE,3
Suïssa,POSITIVE,1
Svajcarska,POSITIVE,1
Svizzera,NEGATIVE,3
Svizzera,NEUTRAL,1
Svizzera,POSITIVE,9
Swiss,NEGATIVE,1524
Swiss,NEUTRAL,5
Swiss,POSITIVE,1830
Switzerland,NEGATIVE,16506
Switzerland,NEUTRAL,193
Switzerland,POSITIVE,17134
Thun,POSITIVE,2
Visp,POSITIVE,9
Winterthur,NEGATIVE,4
Winterthur,NEUTRAL,1
Winterthur,POSITIVE,16
Zermatt,POSITIVE,1
Zofingen,POSITIVE,2
Zuerich,POSITIVE,2
Zurich,NEGATIVE,186
Zurich,NEUTRAL,7
Zurich,POSITIVE,627
Zurigo,POSITIVE,2
Zürich,NEGATIVE,437
Zürich,NEUTRAL,15
Zürich,POSITIVE,596
Швейцария,NEGATIVE,1
スイス,NEGATIVE,7
スイス,POSITIVE,9
