source_location,sentiment,0
Aarau,NEGATIVE,6
Aarau,POSITIVE,11
Aigle,NEGATIVE,145
Aigle,POSITIVE,50
Arlesheim,POSITIVE,1
Baden,NEGATIVE,6
Baden,POSITIVE,6
Basel,NEGATIVE,43
Basel,NEUTRAL,2
Basel,POSITIVE,201
Bellinzona,NEGATIVE,3
Bellinzona,POSITIVE,11
Bern,NEGATIVE,161
Bern,NEUTRAL,9
Bern,POSITIVE,372
Berna,NEGATIVE,8
Berna,POSITIVE,11
Biel,NEGATIVE,4
Biel,POSITIVE,3
Biel/Bienne,NEGATIVE,15
Biel/Bienne,POSITIVE,45
Bienne,NEGATIVE,172
Bienne,POSITIVE,240
Brig,NEGATIVE,1
Brugg,NEGATIVE,2
Brugg,POSITIVE,10
Bulle,NEGATIVE,46
Bulle,POSITIVE,125
Bâle,NEGATIVE,16
Bâle,POSITIVE,37
CH,NEGATIVE,321
CH,NEUTRAL,5
CH,POSITIVE,260
Confoederatio Helvetica,NEUTRAL,1
Confoederatio Helvetica,POSITIVE,2
Conthey,NEGATIVE,9
Conthey,POSITIVE,3
Delémont,NEGATIVE,49
Delémont,POSITIVE,133
Dielsdorf,NEGATIVE,1
Evolène,POSITIVE,2
Frauenfeld,NEGATIVE,1
Fribourg,NEGATIVE,476
Fribourg,NEUTRAL,4
Fribourg,POSITIVE,729
Geneva,NEGATIVE,4313
Geneva,NEUTRAL,30
Geneva,POSITIVE,4064
Geneve,NEGATIVE,693
Geneve,NEUTRAL,5
Geneve,POSITIVE,446
Genf,NEGATIVE,290
Genf,NEUTRAL,1
Genf,POSITIVE,99
Genève,NEGATIVE,15125
Genève,NEUTRAL,101
Genève,POSITIVE,15833
Ginevra,NEGATIVE,1
Ginevra,POSITIVE,5
Helvetia,NEGATIVE,20
Helvetia,POSITIVE,27
Interlaken,NEGATIVE,1
Interlaken,NEUTRAL,1
Interlaken,POSITIVE,1
Kreuzlingen,POSITIVE,1
La Sarraz,NEUTRAL,1
La Sarraz,POSITIVE,4
Laufenburg,POSITIVE,2
Lausanne,NEGATIVE,3766
Lausanne,NEUTRAL,25
Lausanne,POSITIVE,7847
Le Locle,NEGATIVE,3
Le Locle,POSITIVE,5
Lenzburg,NEUTRAL,1
Lenzburg,POSITIVE,1
Lucerne,NEGATIVE,2
Lucerne,NEUTRAL,1
Lucerne,POSITIVE,16
Lugano,NEGATIVE,103
Lugano,NEUTRAL,14
Lugano,POSITIVE,239
Luzern,NEGATIVE,2
Luzern,NEUTRAL,1
Luzern,POSITIVE,6
Marly,NEGATIVE,367
Marly,NEUTRAL,3
Marly,POSITIVE,442
Monthey,NEGATIVE,125
Monthey,NEUTRAL,1
Monthey,POSITIVE,147
Neuchatel,NEGATIVE,2
Neuchâtel,NEGATIVE,177
Neuchâtel,POSITIVE,251
Olten,POSITIVE,1
Payerne,NEGATIVE,5
Payerne,POSITIVE,8
Porrentruy,NEGATIVE,4
Porrentruy,POSITIVE,6
Renens,NEGATIVE,3
Renens,POSITIVE,12
Rheinfelden,NEGATIVE,1
Rheinfelden,POSITIVE,1
Saint-Maurice,NEGATIVE,20
Saint-Maurice,POSITIVE,14
Schaffhausen,POSITIVE,2
Schweiz,NEGATIVE,573
Schweiz,NEUTRAL,11
Schweiz,POSITIVE,567
Solothurn,POSITIVE,1
St. Gallen,NEGATIVE,1
St. Gallen,NEUTRAL,1
St. Gallen,POSITIVE,1
Suisse,NEGATIVE,25375
Suisse,NEUTRAL,170
Suisse,POSITIVE,30783
Suiza,NEGATIVE,14
Suiza,NEUTRAL,1
Suiza,POSITIVE,29
Sursee,POSITIVE,1
Suíça,NEGATIVE,5
Suíça,POSITIVE,7
Suïssa,POSITIVE,1
Svizzera,NEGATIVE,3
Svizzera,POSITIVE,4
Swiss,NEGATIVE,1599
Swiss,NEUTRAL,5
Swiss,POSITIVE,2053
Switzerland,NEGATIVE,16774
Switzerland,NEUTRAL,144
Switzerland,POSITIVE,16778
Thun,NEGATIVE,1
Thun,POSITIVE,1
Uster,NEGATIVE,1
Uster,POSITIVE,1
Visp,POSITIVE,10
Winterthur,NEGATIVE,6
Winterthur,POSITIVE,12
Zermatt,NEGATIVE,1
Zermatt,POSITIVE,4
Zuerich,NEGATIVE,1
Zuerich,POSITIVE,1
Zurich,NEGATIVE,174
Zurich,NEUTRAL,5
Zurich,POSITIVE,633
Zurigo,NEGATIVE,1
Zurigo,POSITIVE,2
Zürich,NEGATIVE,381
Zürich,NEUTRAL,21
Zürich,POSITIVE,622
スイス,NEGATIVE,6
スイス,POSITIVE,7
