source_location,sentiment,0
Aarau,NEGATIVE,281
Aarau,NEUTRAL,6
Aarau,POSITIVE,423
Affoltern am Albis,NEGATIVE,1
Affoltern am Albis,POSITIVE,3
Aigle,NEGATIVE,1
Altdorf,NEGATIVE,60
Altdorf,NEUTRAL,6
Altdorf,POSITIVE,61
Amden,NEGATIVE,3
Amden,NEUTRAL,1
Amden,POSITIVE,6
Appenzell,NEGATIVE,8
Appenzell,POSITIVE,10
Arbon,NEGATIVE,5
Arbon,POSITIVE,4
Arlesheim,NEGATIVE,6
Arlesheim,NEUTRAL,1
Arlesheim,POSITIVE,11
Arth,NEGATIVE,1
Bad Zurzach,NEGATIVE,17
Bad Zurzach,POSITIVE,21
Baden,NEGATIVE,481
Baden,NEUTRAL,19
Baden,POSITIVE,939
Basel,NEGATIVE,3793
Basel,NEUTRAL,71
Basel,POSITIVE,8793
Basilea,POSITIVE,1
Bellinzona,NEGATIVE,30
Bellinzona,NEUTRAL,1
Bellinzona,POSITIVE,50
Bern,NEGATIVE,4945
Bern,NEUTRAL,123
Bern,POSITIVE,7488
Berna,NEGATIVE,2
Biel,NEGATIVE,74
Biel,NEUTRAL,2
Biel,POSITIVE,135
Biel/Bienne,NEGATIVE,71
Biel/Bienne,NEUTRAL,4
Biel/Bienne,POSITIVE,113
Bienne,NEGATIVE,1
Bienne,POSITIVE,1
Bremgarten,NEGATIVE,38
Bremgarten,NEUTRAL,2
Bremgarten,POSITIVE,29
Brig,NEGATIVE,451
Brig,NEUTRAL,14
Brig,POSITIVE,420
Brugg,NEGATIVE,21
Brugg,POSITIVE,30
Buchs,NEGATIVE,3
Buchs,POSITIVE,14
Bulle,POSITIVE,1
Bülach,NEGATIVE,129
Bülach,POSITIVE,183
CH,NEGATIVE,1090
CH,NEUTRAL,10
CH,POSITIVE,1358
Chur,NEGATIVE,441
Chur,NEUTRAL,18
Chur,POSITIVE,802
Confoederatio Helvetica,NEGATIVE,4
Confoederatio Helvetica,POSITIVE,2
Delémont,NEUTRAL,1
Delémont,POSITIVE,2
Dielsdorf,NEGATIVE,1
Dielsdorf,POSITIVE,8
Einsiedeln,NEGATIVE,15
Einsiedeln,POSITIVE,52
Evolène,NEGATIVE,1
Frauenfeld,NEGATIVE,113
Frauenfeld,NEUTRAL,16
Frauenfeld,POSITIVE,334
Fribourg,NEGATIVE,339
Fribourg,NEUTRAL,38
Fribourg,POSITIVE,431
Frutigen,NEGATIVE,15
Frutigen,POSITIVE,34
Geneva,NEGATIVE,91
Geneva,NEUTRAL,11
Geneva,POSITIVE,113
Geneve,NEGATIVE,2
Geneve,NEUTRAL,1
Geneve,POSITIVE,8
Genf,NEGATIVE,23
Genf,POSITIVE,9
Genève,NEGATIVE,30
Genève,NEUTRAL,10
Genève,POSITIVE,46
Gersau,NEGATIVE,3
Glarus,NEGATIVE,13
Glarus,POSITIVE,39
Helvetia,NEGATIVE,5
Helvetia,NEUTRAL,1
Helvetia,POSITIVE,5
Herisau,NEGATIVE,31
Herisau,NEUTRAL,1
Herisau,POSITIVE,95
Hinwil,NEGATIVE,1
Hinwil,POSITIVE,2
Hochdorf,NEGATIVE,6
Hochdorf,POSITIVE,8
Horgen,NEGATIVE,2
Horgen,NEUTRAL,1
Horgen,POSITIVE,7
Interlaken,NEGATIVE,160
Interlaken,NEUTRAL,69
Interlaken,POSITIVE,208
Isvicre,NEGATIVE,1
Isvicre,POSITIVE,1
Kreuzlingen,NEGATIVE,13
