source_location,sentiment,0
#BlackLivesMatter,POSITIVE,1
#Hugz❤,NEUTRAL,1
"#glp Bezirk Baden, Aargau, CH",NEGATIVE,4
#netball #squash #uitmperlis,NEUTRAL,1
#tech #socialmedia #startups,NEGATIVE,1
#tsüri (meistens),NEGATIVE,1
#unterwegszuhause,POSITIVE,3
"'Ragusa' District, Switzerland",NEGATIVE,2
"'Ragusa' District, Switzerland",POSITIVE,4
'Yui Land',NEGATIVE,2
'Yui Land',POSITIVE,1
"*@isar, re* in NYC",POSITIVE,1
+965,POSITIVE,3
",Schweiz",NEGATIVE,1
",Schweiz",POSITIVE,4
.. alone in the dark ..,POSITIVE,2
.ch,NEGATIVE,16
.ch,POSITIVE,33
"///Basel, Switzerland",NEGATIVE,1
"///Basel, Switzerland",POSITIVE,2
031,NEGATIVE,7
031,NEUTRAL,1
031,POSITIVE,1
10,NEGATIVE,1
1136 Fifth Avenue,POSITIVE,1
127.0.0.1,NEGATIVE,2
127.0.0.1,POSITIVE,3
"13 (Augsburg), 4254 (Neuburg)",NEGATIVE,1
"13 (Augsburg), 4254 (Neuburg)",POSITIVE,1
130 miles S/W of Stonehaven,POSITIVE,1
15x in der ganzen Schweiz,POSITIVE,1
"17, xypher, intesaberians 1115",NEGATIVE,1
1700 Fribourg,NEGATIVE,1
18 Student,NEGATIVE,1
"1800, Vevey",NEGATIVE,28
"1800, Vevey",POSITIVE,51
"19, Taman Rasa Sayang",POSITIVE,1
190 Main Street Westport CT,NEGATIVE,3
"23.900128,121.52617",NEGATIVE,1
26.04.2013,POSITIVE,1
"3000 Bern, Schweiz",NEGATIVE,10
"3000 Bern, Schweiz",POSITIVE,14
3001 Bern,NEGATIVE,7
3001 Bern,POSITIVE,5
"3084 Wabern, Schweiz",NEGATIVE,2
"3084 Wabern, Schweiz",POSITIVE,6
"3125 Toffen, Switzerland",NEGATIVE,1
"3125 Toffen, Switzerland",POSITIVE,5
"3400 11th Street, NW",NEUTRAL,1
"3600 Thun, Schweiz",NEGATIVE,2
"3800 Interlaken, Switzerland",NEGATIVE,121
"3800 Interlaken, Switzerland",NEUTRAL,1
"3800 Interlaken, Switzerland",POSITIVE,188
"3823 Wengen, Switzerland",POSITIVE,1
"3rd rock from sol, Menzingen",NEGATIVE,85
"3rd rock from sol, Menzingen",NEUTRAL,2
"3rd rock from sol, Menzingen",POSITIVE,111
3rd rock from the Sun,NEGATIVE,1
3rd rock from the Sun,POSITIVE,1
4/6 ; AG ; SG,NEGATIVE,2
4/6 ; AG ; SG,NEUTRAL,1
4/6 ; AG ; SG,POSITIVE,1
"4056 Basel, Basel-Stadt",NEGATIVE,11
"4056 Basel, Basel-Stadt",POSITIVE,11
"4242 Laufen, Switzerland",POSITIVE,1
"4460 Gelterkinden, Schweiz",NEGATIVE,1
"4460 Gelterkinden, Schweiz",POSITIVE,8
"4500 Solothurn, Switzerland",NEGATIVE,6
"4500 Solothurn, Switzerland",POSITIVE,9
"4503 Solothurn, Switzerland",NEGATIVE,1
"46.530002,6.621964",POSITIVE,16
"46.959,7.4425",NEGATIVE,3
"46.959,7.4425",POSITIVE,4
"47.016552,8.657611",POSITIVE,1
"47.048822,8.544923",NEGATIVE,1
"47.048822,8.544923",POSITIVE,1
"47.168182,8.296895",NEGATIVE,22
"47.168182,8.296895",POSITIVE,52
"47.182172,8.517733",POSITIVE,1
"47.206181,38.946496",POSITIVE,2
"47.259682,8.844828",NEGATIVE,40
"47.259682,8.844828",POSITIVE,69
"47.272961,8.856174",POSITIVE,1
"47.344588,8.695852",NEUTRAL,1
"47.374886,8.539169",NEGATIVE,1
"47.383622,8.024721",POSITIVE,1
"47.419852,9.370023",NEGATIVE,6
"47.419852,9.370023",NEUTRAL,1
"47.419852,9.370023",POSITIVE,16
"47.443143,8.626668",NEGATIVE,2
"47.443143,8.626668",POSITIVE,4
"47.491815,19.057608",NEGATIVE,2
"47.491815,19.057608",POSITIVE,1
"47.506339,8.748451",POSITIVE,3
"4922 Thunstetten BE, Schweiz",POSITIVE,1
"53.075713,8.820751",NEGATIVE,2
"53.075713,8.820751",POSITIVE,7
"55.72842,24.366585",POSITIVE,4
5600 Lenzburg,POSITIVE,1
"5h, ddl, ag, tk, NYD, 1D, t100",NEGATIVE,1
"5h, ddl, ag, tk, NYD, 1D, t100",NEUTRAL,1
"5h, ddl, ag, tk, NYD, 1D, t100",POSITIVE,2
6364,NEGATIVE,1
"6370 Stans, Nidwalden",NEGATIVE,1
"6370 Stans, Nidwalden",POSITIVE,1
642 536 / 260 929,POSITIVE,1
"8001 Zurich, Switzerland",POSITIVE,1
"8004 Zürich, Schweiz",POSITIVE,2
"8050, Zürich",NEGATIVE,3
"8050, Zürich",POSITIVE,9
8051 Zürich,NEGATIVE,1
8117 Fällanden,POSITIVE,1
8200 Emmersbergstrasse,NEGATIVE,1
8200 Emmersbergstrasse,POSITIVE,2
"8304 Wallisellen, Zürich",NEGATIVE,1
"8304 Wallisellen, Zürich",POSITIVE,7
"8320 Fehraltorf, Schweiz",NEGATIVE,8
"8320 Fehraltorf, Schweiz",POSITIVE,4
"8458 Dorf, Schweiz",NEGATIVE,2
"8458 Dorf, Schweiz",POSITIVE,2
"8488 Turbenthal, Schweiz",NEGATIVE,69
"8488 Turbenthal, Schweiz",POSITIVE,128
"8510 Frauenfeld, Switzerland",NEGATIVE,3
"8510 Frauenfeld, Switzerland",POSITIVE,1
"8546 Islikon, Thurgau",NEGATIVE,23
"8546 Islikon, Thurgau",POSITIVE,15
"8610 Uster, Schweiz",POSITIVE,1
"8800 Thalwil, Schweiz",NEGATIVE,33
"8800 Thalwil, Schweiz",NEUTRAL,7
"8800 Thalwil, Schweiz",POSITIVE,29
"8965 Berikon, Schweiz",POSITIVE,2
9 Standorte in der D-CH,POSITIVE,3
"9055 Bühler, Schweiz",NEGATIVE,2
"9055 Bühler, Schweiz",POSITIVE,9
9434 Au,NEGATIVE,4
9470 Buchs SG,POSITIVE,4
9473 Gams,NEGATIVE,2
"9500 Wil, St. Gallen",NEGATIVE,5
"9500 Wil, St. Gallen",POSITIVE,7
"9524 Zuzwil, Schweiz",POSITIVE,2
"@35,000 ft : Cruise Altitude",NEGATIVE,1
@FCBarcelona,POSITIVE,1
"@coldplay 110616, Zurigo",NEGATIVE,1
@thingonline @TPP_PH,POSITIVE,1
A Coruña,POSITIVE,1
"A Coruña, Galicia",POSITIVE,1
A Jungle Near You,NEGATIVE,1
A lavorare (per finta).,POSITIVE,1
AG,NEUTRAL,3
"AG, MO",POSITIVE,1
"AG,1D,5H,TVD,Ü",NEUTRAL,6
AI,NEGATIVE,2
ANKARA,POSITIVE,1
AR / St. Gallen,NEGATIVE,1
AR / St. Gallen,POSITIVE,3
"Aachen, Germany",POSITIVE,1
Aadorf,NEGATIVE,25
Aadorf,POSITIVE,55
"Aadorf, Thurgau, Schweiz",NEGATIVE,2
"Aadorf, Thurgau, Schweiz",POSITIVE,1
Aarau,NEGATIVE,370
Aarau,NEUTRAL,9
Aarau,POSITIVE,481
"Aarau, Aargau",NEGATIVE,12
"Aarau, Aargau",POSITIVE,11
"Aarau, Aargau, Schweiz",NEGATIVE,25
"Aarau, Aargau, Schweiz",NEUTRAL,5
"Aarau, Aargau, Schweiz",POSITIVE,19
"Aarau, Aargau, Switzerland",NEGATIVE,3
"Aarau, Aargau, Switzerland",POSITIVE,1
"Aarau, Schweiz",NEGATIVE,49
"Aarau, Schweiz",NEUTRAL,1
"Aarau, Schweiz",POSITIVE,76
"Aarau, Switzerland",NEGATIVE,51
"Aarau, Switzerland",POSITIVE,52
"Aarau, Vogelsang AG",NEGATIVE,2
"Aarau, Vogelsang AG",POSITIVE,5
Aarau.,NEGATIVE,9
Aarau.,POSITIVE,12
Aarau/Marseille/East Germany,NEGATIVE,2
Aarau/Marseille/East Germany,POSITIVE,1
Aarberg,NEGATIVE,6
Aarberg,POSITIVE,6
"Aarberg, Schweiz",NEGATIVE,16
"Aarberg, Schweiz",POSITIVE,5
"Aarberg, Switzerland",NEGATIVE,1
Aarburg,NEGATIVE,6
Aarburg,NEUTRAL,1
Aarburg,POSITIVE,12
"Aarburg, Schweiz",NEGATIVE,11
"Aarburg, Schweiz",NEUTRAL,3
"Aarburg, Schweiz",POSITIVE,3
Aargau,NEGATIVE,146
Aargau,NEUTRAL,4
Aargau,POSITIVE,208
"Aargau, CH",NEGATIVE,1
"Aargau, CH",POSITIVE,7
"Aargau, CH / Liguria, I",NEGATIVE,76
