source_location,sentiment,0
Aarau,NEGATIVE,307
Aarau,NEUTRAL,5
Aarau,POSITIVE,503
Affoltern am Albis,NEGATIVE,1
Affoltern am Albis,POSITIVE,2
Altdorf,NEGATIVE,58
Altdorf,NEUTRAL,5
Altdorf,POSITIVE,107
Amden,NEGATIVE,1
Amden,NEUTRAL,1
Amden,POSITIVE,1
Andelfingen,NEGATIVE,1
Andelfingen,POSITIVE,1
Appenzell,NEGATIVE,3
Appenzell,POSITIVE,13
Arbon,NEGATIVE,8
Arbon,POSITIVE,12
Arlesheim,NEGATIVE,5
Arlesheim,POSITIVE,5
Arth,POSITIVE,1
Bad Zurzach,NEGATIVE,7
Bad Zurzach,POSITIVE,13
Baden,NEGATIVE,366
Baden,NEUTRAL,15
Baden,POSITIVE,699
Basel,NEGATIVE,3359
Basel,NEUTRAL,51
Basel,POSITIVE,8234
Basilea,NEGATIVE,2
Bellinzona,NEGATIVE,25
Bellinzona,POSITIVE,45
Bern,NEGATIVE,4886
Bern,NEUTRAL,76
Bern,POSITIVE,7388
Berna,NEGATIVE,2
Berna,NEUTRAL,3
Berna,POSITIVE,5
Biel,NEGATIVE,85
Biel,NEUTRAL,1
Biel,POSITIVE,144
Biel/Bienne,NEGATIVE,94
Biel/Bienne,NEUTRAL,3
Biel/Bienne,POSITIVE,190
Bienne,POSITIVE,1
Bremgarten,NEGATIVE,14
Bremgarten,POSITIVE,14
Brig,NEGATIVE,243
Brig,NEUTRAL,11
Brig,POSITIVE,260
Brugg,NEGATIVE,9
Brugg,NEUTRAL,1
Brugg,POSITIVE,23
Buchs,NEGATIVE,7
Buchs,POSITIVE,20
Bülach,NEGATIVE,177
Bülach,NEUTRAL,1
Bülach,POSITIVE,207
CH,NEGATIVE,801
CH,NEUTRAL,19
CH,POSITIVE,1129
Chur,NEGATIVE,324
Chur,NEUTRAL,11
Chur,POSITIVE,600
Confoederatio Helvetica,NEGATIVE,9
Confoederatio Helvetica,POSITIVE,12
Delémont,NEUTRAL,1
Delémont,POSITIVE,1
Dielsdorf,NEGATIVE,2
Dielsdorf,POSITIVE,4
Einsiedeln,NEGATIVE,20
Einsiedeln,POSITIVE,49
Flüelen,NEGATIVE,1
Frauenfeld,NEGATIVE,115
Frauenfeld,NEUTRAL,7
Frauenfeld,POSITIVE,327
Fribourg,NEGATIVE,310
Fribourg,NEUTRAL,28
Fribourg,POSITIVE,407
Frutigen,NEGATIVE,10
Frutigen,POSITIVE,20
Geneva,NEGATIVE,53
Geneva,NEUTRAL,12
Geneva,POSITIVE,145
Geneve,NEGATIVE,2
Geneve,POSITIVE,2
Genf,NEGATIVE,24
Genf,POSITIVE,27
Genève,NEGATIVE,44
Genève,NEUTRAL,12
Genève,POSITIVE,74
Gersau,NEGATIVE,2
Gersau,POSITIVE,3
Glarus,NEGATIVE,14
Glarus,POSITIVE,26
Gränichen,NEGATIVE,4
Gränichen,POSITIVE,1
Herisau,NEGATIVE,58
Herisau,NEUTRAL,1
Herisau,POSITIVE,118
Hochdorf,NEGATIVE,8
Hochdorf,POSITIVE,7
Horgen,NEGATIVE,2
Horgen,POSITIVE,4
Interlaken,NEGATIVE,179
Interlaken,NEUTRAL,60
Interlaken,POSITIVE,217
Kreuzlingen,NEGATIVE,10
Kreuzlingen,POSITIVE,11
Laufen,NEGATIVE,8
Laufen,POSITIVE,8
Laufenburg,NEGATIVE,10
Laufenburg,POSITIVE,13
Lausanne,NEGATIVE,148
Lausanne,NEUTRAL,7
Lausanne,POSITIVE,241
Lenzburg,NEGATIVE,189
Lenzburg,NEUTRAL,11
Lenzburg,POSITIVE,287
Leuk,NEGATIVE,1
Leuk,POSITIVE,2
Liestal,NEGATIVE,88
Liestal,NEUTRAL,2
Liestal,POSITIVE,248
Lucerne,NEGATIVE,211
Lucerne,NEUTRAL,5
Lucerne,POSITIVE,297
Lugano,NEGATIVE,10
Lugano,NEUTRAL,4
Lugano,POSITIVE,31
Luzern,NEGATIVE,1127
Luzern,NEUTRAL,19
Luzern,POSITIVE,1520
Meilen,NEGATIVE,3
Meilen,POSITIVE,8
Neuchatel,POSITIVE,1
Neuchâtel,NEGATIVE,38
Neuchâtel,NEUTRAL,1
Neuchâtel,POSITIVE,74
Olten,NEGATIVE,129
Olten,NEUTRAL,2
Olten,POSITIVE,264
Pfäffikon,NEGATIVE,1
Pfäffikon,POSITIVE,3
Poschiavo,POSITIVE,1
Raron,NEGATIVE,4
Rheinfelden,NEGATIVE,21
Rheinfelden,POSITIVE,88
Romanshorn,NEGATIVE,9
Romanshorn,POSITIVE,21
Saanen,NEGATIVE,23
Saanen,NEUTRAL,6
Saanen,POSITIVE,32
Sankt Gallen,NEGATIVE,296
Sankt Gallen,NEUTRAL,8
Sankt Gallen,POSITIVE,416
Sarnen,NEGATIVE,64
Sarnen,NEUTRAL,2
Sarnen,POSITIVE,31
Schaffhausen,NEGATIVE,384
Schaffhausen,NEUTRAL,1
Schaffhausen,POSITIVE,1729
Schenkon,NEGATIVE,153
Schenkon,NEUTRAL,2
Schenkon,POSITIVE,165
Schleitheim,POSITIVE,3
Schmerikon,NEGATIVE,2
Schmerikon,POSITIVE,3
Schweiz,NEGATIVE,17305
Schweiz,NEUTRAL,452
Schweiz,POSITIVE,31053
Schwyz,NEGATIVE,28
Schwyz,POSITIVE,44
Schüpfheim,NEGATIVE,1
Schüpfheim,POSITIVE,7
Scuol,NEGATIVE,1
Scuol,POSITIVE,5
Sissach,NEGATIVE,2
Sissach,POSITIVE,1
Solothurn,NEGATIVE,163
Solothurn,NEUTRAL,10
Solothurn,POSITIVE,287
St. Gallen,NEGATIVE,1003
St. Gallen,NEUTRAL,21
St. Gallen,POSITIVE,1698
Stans,NEGATIVE,29
Stans,NEUTRAL,2
Stans,POSITIVE,46
Steckborn,NEGATIVE,6
Steckborn,POSITIVE,21
Suisse,NEGATIVE,165
Suisse,NEUTRAL,26
Suisse,POSITIVE,233
Suiza,NEGATIVE,8
Suiza,NEUTRAL,2
Suiza,POSITIVE,5
Sursee,NEGATIVE,22
Sursee,NEUTRAL,2
Sursee,POSITIVE,38
Suíça,NEGATIVE,11
Suíça,POSITIVE,12
Suïssa,NEGATIVE,2
Suïssa,NEUTRAL,2
Svajcarska,NEGATIVE,6
Svajcarska,POSITIVE,1
Svizra,POSITIVE,1
Svizzera,NEGATIVE,6
Svizzera,POSITIVE,8
Swiss,NEGATIVE,678
Swiss,NEUTRAL,45
Swiss,POSITIVE,634
Switzerland,NEGATIVE,18148
Switzerland,NEUTRAL,759
Switzerland,POSITIVE,24312
Tafers,POSITIVE,1
Thun,NEGATIVE,153
Thun,NEUTRAL,1
Thun,POSITIVE,236
Uster,NEGATIVE,128
Uster,POSITIVE,148
Visp,NEGATIVE,49
Visp,NEUTRAL,1
Visp,POSITIVE,109
Waldenburg,NEGATIVE,254
Waldenburg,NEUTRAL,19
Waldenburg,POSITIVE,644
Wangen an der Aare,NEGATIVE,1
Wangen an der Aare,POSITIVE,4
Weinfelden,NEGATIVE,16
Weinfelden,POSITIVE,31
Wengen,NEGATIVE,4
Wengen,POSITIVE,10
Willisau,NEGATIVE,5
Willisau,POSITIVE,17
Winterthur,NEGATIVE,724
Winterthur,NEUTRAL,11
Winterthur,POSITIVE,1037
Wittnau,NEGATIVE,2
Wittnau,POSITIVE,2
Zermatt,NEGATIVE,15
Zermatt,NEUTRAL,1
Zermatt,POSITIVE,48
Zofingen,NEGATIVE,33
Zofingen,POSITIVE,88
Zuerich,NEGATIVE,81
Zuerich,NEUTRAL,1
Zuerich,POSITIVE,209
Zurich,NEGATIVE,2771
Zurich,NEUTRAL,58
Zurich,POSITIVE,4933
Zurigo,NEGATIVE,50
Zurigo,POSITIVE,64
Zwitserland,NEGATIVE,2
Zürich,NEGATIVE,13588
Zürich,NEUTRAL,274
Zürich,POSITIVE,23060
İsviçre,NEGATIVE,4
İsviçre,POSITIVE,6
スイス,NEGATIVE,13
スイス,POSITIVE,22
