source_location,sentiment,0
Aarau,NEGATIVE,194
Aarau,NEUTRAL,1
Aarau,POSITIVE,282
Affoltern am Albis,NEGATIVE,2
Affoltern am Albis,POSITIVE,2
Altdorf,NEGATIVE,34
Altdorf,NEUTRAL,1
Altdorf,POSITIVE,73
Amden,NEUTRAL,1
Amden,POSITIVE,2
Andelfingen,POSITIVE,2
Appenzell,NEGATIVE,2
Appenzell,POSITIVE,4
Apples,NEGATIVE,1
Arbon,NEGATIVE,5
Arbon,NEUTRAL,1
Arbon,POSITIVE,4
Arlesheim,NEGATIVE,3
Arlesheim,POSITIVE,8
Bad Zurzach,NEGATIVE,7
Bad Zurzach,POSITIVE,10
Baden,NEGATIVE,298
Baden,NEUTRAL,6
Baden,POSITIVE,418
Basel,NEGATIVE,2124
Basel,NEUTRAL,35
Basel,POSITIVE,5213
Bellinzona,NEGATIVE,11
Bellinzona,POSITIVE,23
Bern,NEGATIVE,3076
Bern,NEUTRAL,59
Bern,POSITIVE,4405
Berna,NEGATIVE,1
Berna,NEUTRAL,13
Berna,POSITIVE,7
Biel,NEGATIVE,56
Biel,NEUTRAL,2
Biel,POSITIVE,98
Biel/Bienne,NEGATIVE,30
Biel/Bienne,NEUTRAL,1
Biel/Bienne,POSITIVE,55
Bienne,NEGATIVE,3
Bremgarten,NEGATIVE,21
Bremgarten,NEUTRAL,1
Bremgarten,POSITIVE,23
Brig,NEGATIVE,141
Brig,NEUTRAL,5
Brig,POSITIVE,158
Brugg,POSITIVE,5
Buchs,NEGATIVE,3
Buchs,POSITIVE,9
Bülach,NEGATIVE,52
Bülach,POSITIVE,81
CH,NEGATIVE,607
CH,NEUTRAL,7
CH,POSITIVE,784
Chur,NEGATIVE,174
Chur,NEUTRAL,4
Chur,POSITIVE,377
Confoederatio Helvetica,NEGATIVE,3
Confoederatio Helvetica,POSITIVE,4
Delémont,POSITIVE,1
Dielsdorf,POSITIVE,3
Einsiedeln,NEGATIVE,15
Einsiedeln,POSITIVE,23
Frauenfeld,NEGATIVE,63
Frauenfeld,NEUTRAL,3
Frauenfeld,POSITIVE,149
Fribourg,NEGATIVE,215
Fribourg,NEUTRAL,19
Fribourg,POSITIVE,240
Frutigen,NEGATIVE,3
Frutigen,POSITIVE,11
Geneva,NEGATIVE,33
Geneva,NEUTRAL,1
Geneva,POSITIVE,79
Geneve,NEGATIVE,2
Geneve,POSITIVE,3
Genf,NEGATIVE,21
Genf,POSITIVE,16
Genève,NEGATIVE,25
Genève,NEUTRAL,6
Genève,POSITIVE,26
Gersau,NEGATIVE,1
Gersau,POSITIVE,1
Glarus,NEGATIVE,8
Glarus,POSITIVE,27
Helvetia,NEGATIVE,1
Helvetia,POSITIVE,1
Herisau,NEGATIVE,24
Herisau,NEUTRAL,1
Herisau,POSITIVE,55
Hinwil,NEGATIVE,7
Hinwil,POSITIVE,2
Hochdorf,NEGATIVE,34
Hochdorf,POSITIVE,59
Horgen,NEGATIVE,3
Horgen,POSITIVE,9
Interlaken,NEGATIVE,102
Interlaken,NEUTRAL,21
Interlaken,POSITIVE,162
Kreuzlingen,NEGATIVE,10
Kreuzlingen,POSITIVE,10
Laufen,NEGATIVE,12
Laufen,POSITIVE,19
Laufenburg,NEGATIVE,26
Laufenburg,POSITIVE,16
Lausanne,NEGATIVE,116
Lausanne,NEUTRAL,2
Lausanne,POSITIVE,180
Lenzburg,NEGATIVE,102
Lenzburg,NEUTRAL,2
Lenzburg,POSITIVE,175
Leuk,NEGATIVE,1
Leuk,POSITIVE,2
Liestal,NEGATIVE,65
Liestal,POSITIVE,150
Lucerna,POSITIVE,1
Lucerne,NEGATIVE,166
Lucerne,NEUTRAL,11
Lucerne,POSITIVE,211
Lugano,NEGATIVE,18
Lugano,NEUTRAL,5
Lugano,POSITIVE,34
Luzern,NEGATIVE,625
Luzern,NEUTRAL,15
Luzern,POSITIVE,915
Marly,NEUTRAL,1
Meilen,NEUTRAL,1
Meilen,POSITIVE,2
Monthey,NEUTRAL,1
Münchwilen,NEGATIVE,3
Neuchâtel,NEGATIVE,19
Neuchâtel,POSITIVE,28
Olten,NEGATIVE,69
Olten,NEUTRAL,2
Olten,POSITIVE,136
Payerne,POSITIVE,1
Pfäffikon,NEGATIVE,3
Pfäffikon,POSITIVE,3
Raron,NEGATIVE,4
Raron,POSITIVE,2
Rheinfelden,NEGATIVE,8
Rheinfelden,POSITIVE,32
Romanshorn,NEGATIVE,3
Romanshorn,POSITIVE,5
Saanen,NEGATIVE,9
Saanen,NEUTRAL,1
Saanen,POSITIVE,11
Samedan,NEGATIVE,2
Samedan,NEUTRAL,1
Samedan,POSITIVE,1
Sankt Gallen,NEGATIVE,197
Sankt Gallen,NEUTRAL,11
Sankt Gallen,POSITIVE,366
Sarnen,NEGATIVE,20
Sarnen,POSITIVE,17
Schaffhausen,NEGATIVE,201
Schaffhausen,NEUTRAL,1
Schaffhausen,POSITIVE,1172
Schenkon,NEGATIVE,151
Schenkon,NEUTRAL,2
Schenkon,POSITIVE,163
Schmerikon,POSITIVE,1
Schweiz,NEGATIVE,12991
Schweiz,NEUTRAL,283
Schweiz,POSITIVE,27261
Schwyz,NEGATIVE,8
Schwyz,POSITIVE,18
Schüpfheim,POSITIVE,8
Scuol,NEGATIVE,3
Scuol,POSITIVE,5
Sissach,NEGATIVE,1
Solothurn,NEGATIVE,125
Solothurn,NEUTRAL,10
Solothurn,POSITIVE,225
St. Gallen,NEGATIVE,617
St. Gallen,NEUTRAL,12
St. Gallen,POSITIVE,1078
Stans,NEGATIVE,17
Stans,POSITIVE,23
Steckborn,POSITIVE,1
Suisse,NEGATIVE,119
Suisse,NEUTRAL,13
Suisse,POSITIVE,149
Suiza,NEGATIVE,3
Suiza,POSITIVE,2
Sursee,NEGATIVE,7
Sursee,POSITIVE,26
Suíça,NEGATIVE,2
Suíça,POSITIVE,2
Suïssa,POSITIVE,3
Svajcarska,NEGATIVE,1
Svizzera,NEUTRAL,3
Svizzera,POSITIVE,1
Swiss,NEGATIVE,610
Swiss,NEUTRAL,24
Swiss,POSITIVE,483
Switzerland,NEGATIVE,11213
Switzerland,NEUTRAL,445
Switzerland,POSITIVE,15730
Thun,NEGATIVE,68
Thun,NEUTRAL,1
Thun,POSITIVE,124
Uster,NEGATIVE,52
Uster,POSITIVE,57
Visp,NEGATIVE,42
Visp,POSITIVE,31
Waldenburg,NEGATIVE,160
Waldenburg,NEUTRAL,14
Waldenburg,POSITIVE,273
Wangen an der Aare,POSITIVE,1
Weinfelden,NEGATIVE,9
Weinfelden,POSITIVE,18
Wengen,POSITIVE,5
Willisau,NEGATIVE,2
Winterthur,NEGATIVE,463
Winterthur,NEUTRAL,6
Winterthur,POSITIVE,703
Zermatt,NEGATIVE,14
Zermatt,POSITIVE,35
Zofingen,NEGATIVE,32
Zofingen,POSITIVE,57
Zuerich,NEGATIVE,56
Zuerich,POSITIVE,122
Zurich,NEGATIVE,1810
Zurich,NEUTRAL,36
Zurich,POSITIVE,2604
Zurigo,NEGATIVE,27
Zurigo,NEUTRAL,2
Zurigo,POSITIVE,36
Zwitserland,NEGATIVE,6
Zwitserland,POSITIVE,1
Zürich,NEGATIVE,8014
Zürich,NEUTRAL,159
Zürich,POSITIVE,13867
İsviçre,NEGATIVE,2
İsviçre,POSITIVE,2
スイス,NEUTRAL,2
スイス,POSITIVE,3
