source_location,sentiment,0
#InABUDHABI,NEGATIVE,1
"#glp Bezirk Baden, Aargau, CH",POSITIVE,2
#unterwegszuhause,NEGATIVE,2
"'Ragusa' District, Switzerland",NEGATIVE,2
"'Ragusa' District, Switzerland",POSITIVE,3
031,NEGATIVE,1
"1800, Vevey",NEGATIVE,11
"1800, Vevey",POSITIVE,40
22616✨,POSITIVE,1
"3000 Bern, Schweiz",POSITIVE,2
"3600 Thun, Schweiz",NEGATIVE,1
"3800 Interlaken, Switzerland",NEGATIVE,14
"3800 Interlaken, Switzerland",POSITIVE,22
4/6 ; AG ; SG,NEGATIVE,1
4/6 ; AG ; SG,NEUTRAL,1
"4056 Basel, Basel-Stadt",NEGATIVE,1
"4500 Solothurn, Switzerland",POSITIVE,2
"46.530002,6.621964",POSITIVE,8
"47.016767,7.663131",POSITIVE,1
"47.168182,8.296895",NEGATIVE,1
"47.168182,8.296895",POSITIVE,1
"47.259682,8.844828",NEGATIVE,9
"47.259682,8.844828",POSITIVE,22
"47.383622,8.024721",NEGATIVE,1
"47.419852,9.370023",POSITIVE,2
"47.443143,8.626668",POSITIVE,3
"4922 Thunstetten BE, Schweiz",NEGATIVE,1
"5h, ddl, ag, tk, NYD, 1D, t100",POSITIVE,1
"8304 Wallisellen, Zürich",POSITIVE,1
"8488 Turbenthal, Schweiz",NEGATIVE,11
"8488 Turbenthal, Schweiz",POSITIVE,12
"8510 Frauenfeld, Switzerland",NEGATIVE,1
"8510 Frauenfeld, Switzerland",POSITIVE,1
"8546 Islikon, Thurgau",NEGATIVE,2
"8546 Islikon, Thurgau",POSITIVE,5
"8800 Thalwil, Schweiz",NEUTRAL,1
"9055 Bühler, Schweiz",POSITIVE,1
"9500 Wil, St. Gallen",NEGATIVE,1
A Coruña,NEGATIVE,1
A'dam,POSITIVE,1
AG,NEUTRAL,1
"AG , organisation privée",NEUTRAL,1
Aadorf,NEGATIVE,3
Aadorf,POSITIVE,5
"Aadorf, Thurgau, Schweiz",NEGATIVE,1
Aarau,NEGATIVE,34
Aarau,NEUTRAL,1
Aarau,POSITIVE,51
"Aarau, Aargau, Schweiz",NEGATIVE,7
"Aarau, Aargau, Schweiz",NEUTRAL,1
"Aarau, Aargau, Schweiz",POSITIVE,16
"Aarau, Aargau, Switzerland",POSITIVE,1
"Aarau, Schweiz",NEGATIVE,5
"Aarau, Schweiz",POSITIVE,8
"Aarau, Switzerland",NEGATIVE,9
"Aarau, Switzerland",POSITIVE,5
Aarau.,NEGATIVE,1
"Aarberg, Schweiz",NEGATIVE,3
Aarburg,NEGATIVE,3
"Aarburg, Schweiz",POSITIVE,1
Aargau,NEGATIVE,12
Aargau,NEUTRAL,1
Aargau,POSITIVE,34
"Aargau, CH",NEGATIVE,1
"Aargau, CH / Liguria, I",NEGATIVE,9
"Aargau, CH / Liguria, I",NEUTRAL,2
"Aargau, CH / Liguria, I",POSITIVE,19
"Aargau, Schweiz",NEGATIVE,43
"Aargau, Schweiz",NEUTRAL,1
"Aargau, Schweiz",POSITIVE,78
"Aargau, Switzerland",NEGATIVE,84
"Aargau, Switzerland",NEUTRAL,2
"Aargau, Switzerland",POSITIVE,51
Abu Dhabi,POSITIVE,1
"Abu Dhabi, United Arab Emirates",POSITIVE,1
Adana-Kayseri,POSITIVE,1
"Adelaide, South Australia",NEGATIVE,1
"Adelaide, South Australia",POSITIVE,4
Adelboden,NEGATIVE,1
"Adligenswil, Schweiz",NEGATIVE,13
"Adligenswil, Schweiz",POSITIVE,4
Adliswil,NEGATIVE,1
Adorf,POSITIVE,1
"Aesch (BL), Schweiz",NEGATIVE,1
Aesch BL,POSITIVE,1
Aeschi,NEGATIVE,1
Aeschi,POSITIVE,1
"Aeschi (SO), Solothurn",POSITIVE,1
"Affoltern am Albis, Zürich",POSITIVE,2
"Al Adan, Kuwait",NEGATIVE,1
Al-Khobar,POSITIVE,1
Alicante,POSITIVE,1
All over the World,POSITIVE,1
Allschwil,NEUTRAL,1
Allschwil,POSITIVE,1
"Allschwil, Basel-Land",NEGATIVE,4
"Allschwil, Basel-Land",POSITIVE,5
"Allschwil, Schweiz",POSITIVE,1
"Allschwil, Switzerland",POSITIVE,4
Altdorf,NEGATIVE,12
Altdorf,POSITIVE,2
Altendorf,NEGATIVE,2
Altstaetten,NEUTRAL,1
"Altstätten, Switzerland",POSITIVE,1
Amden,NEGATIVE,1
Amden,NEUTRAL,2
"Amriswil, Schweiz",POSITIVE,1
Anápolis,POSITIVE,1
"Apes,Melina,Ju,Luca,Lou,Ks",NEGATIVE,32
"Apes,Melina,Ju,Luca,Lou,Ks",NEUTRAL,1
"Apes,Melina,Ju,Luca,Lou,Ks",POSITIVE,43
Appenzell,NEGATIVE,1
Appenzell Innerrhoden,NEGATIVE,1
"Appenzell Innerrhoden, Schweiz",NEGATIVE,3
"Appenzell Innerrhoden, Schweiz",POSITIVE,4
"Appenzell, Switzerland",POSITIVE,1
"Arisdorf, Schweiz",POSITIVE,2
Arlesheim,POSITIVE,2
"Arlesheim, Schweiz",POSITIVE,1
Arnhem/Tiel/Eindhoven,POSITIVE,1
"Arolla, Schweiz",POSITIVE,1
Arosa,POSITIVE,9
Arosa | Graubünden | Schweiz,POSITIVE,1
"Arosa, Graubünden, CH",POSITIVE,1
Arouca,POSITIVE,1
"Ascona, Switzerland",POSITIVE,1
"Assen, The Netherlands",NEGATIVE,1
Asunción - Paraguay,POSITIVE,1
Atlántica,NEGATIVE,1
"Auenstein, Aargau, Schweiz",NEGATIVE,1
Augsburg,NEGATIVE,4
Augsburg,POSITIVE,5
"Augsburg, Germany",NEGATIVE,2
"Augsburg, Germany",POSITIVE,1
Austria,POSITIVE,4
"Avenue de Rumine 4, Lausanne",POSITIVE,1
BASEL,NEGATIVE,7
BASEL,POSITIVE,12
"BERN,LCHVRSM",NEGATIVE,13
"BERN,LCHVRSM",NEUTRAL,2
"BERN,LCHVRSM",POSITIVE,16
BSBS,POSITIVE,1
Baar,NEGATIVE,1
Baar,POSITIVE,1
"Baar, CH",NEGATIVE,3
"Baar, Schweiz",NEGATIVE,1
"Baar, Schweiz",NEUTRAL,1
"Baar, Schweiz",POSITIVE,6
Bad Zurzach,NEGATIVE,1
Bad Zurzach,POSITIVE,2
"Bad Zurzach, Switzerland",POSITIVE,9
Baden,NEGATIVE,120
Baden,NEUTRAL,5
Baden,POSITIVE,136
Baden AG,NEGATIVE,1
"Baden, Aargau",NEGATIVE,3
"Baden, Aargau",POSITIVE,2
"Baden, Schweiz",NEGATIVE,7
"Baden, Schweiz",POSITIVE,11
"Baden, Switzerland",NEGATIVE,31
"Baden, Switzerland",POSITIVE,33
"Baden-Dättwil, Switzerland",NEGATIVE,1
"Baden-Dättwil, Switzerland",POSITIVE,1
"Baden-WürttemberDE, Lörrach",POSITIVE,1
"Bahnhofplatz 11, 3001 Bern",POSITIVE,3
Balgach,POSITIVE,1
"Balgach, Rheintal, Switzerland",NEGATIVE,2
"Balgach, Rheintal, Switzerland",NEUTRAL,1
"Balgach, Rheintal, Switzerland",POSITIVE,1
Bar,NEUTRAL,1
Barcelona,POSITIVE,4
Basel,NEGATIVE,484
Basel,NEUTRAL,6
Basel,POSITIVE,897
"Basel City, Switzerland",NEGATIVE,5
"Basel City, Switzerland",POSITIVE,2
"Basel | Zürich, Schweiz",POSITIVE,1
"Basel, Arlesheim, Switzerland",NEGATIVE,1
"Basel, Basel-Stadt",NEGATIVE,20
"Basel, Basel-Stadt",POSITIVE,22
"Basel, Berlin",POSITIVE,1
"Basel, CHE",POSITIVE,1
"Basel, Helvetia",NEGATIVE,1
"Basel, Helvetia",POSITIVE,1
"Basel, Helvetia (& Ireland)",NEGATIVE,13
"Basel, Helvetia (& Ireland)",POSITIVE,10
"Basel, Klybeck/Kleinhüningen",POSITIVE,1
"Basel, Münchenstein",POSITIVE,3
"Basel, Münchenstein, Schweiz",NEGATIVE,3
"Basel, Münchenstein, Schweiz",POSITIVE,2
"Basel, Rheinsulz",NEGATIVE,1
"Basel, Rheinsulz",POSITIVE,1
"Basel, Schweiz",NEGATIVE,58
"Basel, Schweiz",NEUTRAL,1
"Basel, Schweiz",POSITIVE,41
"Basel, Schweiz, Milky Way",NEGATIVE,2
"Basel, Schweiz, Milky Way",POSITIVE,1
"Basel, Switzerland",NEGATIVE,201
"Basel, Switzerland",NEUTRAL,6
"Basel, Switzerland",POSITIVE,349
"Basel, Switzerland (Europe)",POSITIVE,1
"Basel, Switzerland, スイスのバーセル市",NEGATIVE,2
"Basel, Switzerland, スイスのバーセル市",POSITIVE,2
"Basel, Zurich - Switzerland",POSITIVE,2
"Basel, dah",POSITIVE,1
"Basel-City, Switzerland",NEGATIVE,69
"Basel-City, Switzerland",NEUTRAL,4
"Basel-City, Switzerland",POSITIVE,229
"Basel-Country, Switzerland",NEGATIVE,9
"Basel-Country, Switzerland",NEUTRAL,1
"Basel-Country, Switzerland",POSITIVE,27
"Basel-Land, Schweiz",NEGATIVE,2
"Basel-Land, Schweiz",POSITIVE,4
"Basel-Stadt, Schweiz",NEGATIVE,41
"Basel-Stadt, Schweiz",NEUTRAL,2
"Basel-Stadt, Schweiz",POSITIVE,60
Basel. Switzerland,POSITIVE,2
Basel/Zürich,NEGATIVE,1
"Baselland, Schweiz",NEGATIVE,2
"Baselland, Schweiz",POSITIVE,2
Basilea,POSITIVE,4
"Basle, Basel City",NEGATIVE,5
"Basle, Basel City",POSITIVE,2
"Basle, Switzerland",NEGATIVE,3
"Basle, Switzerland",POSITIVE,1
Bassersdorf,POSITIVE,1
Bauma,NEGATIVE,1
Bauma,POSITIVE,1
"Bauwagen, St. Gallen",NEGATIVE,1
"Bauwagen, St. Gallen",POSITIVE,1
"Bayrampaşa, İstanbul",POSITIVE,1
Beacon Hills,POSITIVE,1
Beatenberg,NEGATIVE,5
Beatenberg,POSITIVE,7
"Belarus, Minsk",POSITIVE,2
"Bellach, Switzerland",NEGATIVE,1
"Bellach, Switzerland",POSITIVE,1
Bellinzona,NEGATIVE,2
Bellinzona,POSITIVE,11
Belp,POSITIVE,1
"Belp, Bern",POSITIVE,2
"Benken SG, Schweiz",NEGATIVE,1
"Benken SG, Schweiz",POSITIVE,2
"Bennwil, Switzerland",POSITIVE,1
"Ber(li)n, Switzerland",POSITIVE,2
"Berg TG, Switzerland",NEGATIVE,2
"Berg TG, Switzerland",POSITIVE,2
"Berikon, Schweiz",POSITIVE,3
"Beringen, Schweiz",POSITIVE,2
Berlin,NEGATIVE,7
Berlin,NEUTRAL,1
Berlin,POSITIVE,14
Berlin & Słupsk,NEGATIVE,1
"Berlin, Germany",NEGATIVE,1
"Berlin, Germany",POSITIVE,4
Berlin/Zürich,POSITIVE,1
Bern,NEGATIVE,512
Bern,NEUTRAL,7
Bern,POSITIVE,894
Bern (Schweiz),NEGATIVE,1
Bern (Schweiz/Switzerland),POSITIVE,1
Bern (Switzerland),NEUTRAL,1
Bern (Switzerland),POSITIVE,1
"Bern 72, Switzerland",NEGATIVE,52
"Bern 72, Switzerland",POSITIVE,59
Bern und 3.0 NM LSZB ILS RWY14,NEGATIVE,3
Bern und 3.0 NM LSZB ILS RWY14,POSITIVE,2
"Bern und Zürich, Switzerland",NEGATIVE,1
"Bern und Zürich, Switzerland",POSITIVE,1
"Bern ⇄ Zürich, Schweiz",NEGATIVE,1
"Bern ⇄ Zürich, Schweiz",POSITIVE,4
"Bern, 20 Meter ü. Aare",NEGATIVE,1
"Bern, 20 Meter ü. Aare",POSITIVE,4
"Bern, Bern CH",NEGATIVE,2
"Bern, Bern CH",POSITIVE,3
"Bern, Berne",NEGATIVE,11
"Bern, Berne",POSITIVE,17
"Bern, CH",NEGATIVE,1
"Bern, CH",NEUTRAL,1
"Bern, CH",POSITIVE,2
"Bern, Fribourg, Lausanne",NEGATIVE,2
"Bern, Fribourg, Lausanne",POSITIVE,7
"Bern, Genève, Züri, Stockholm",POSITIVE,1
"Bern, Luzern - Welt",NEGATIVE,3
