source_location,sentiment,0
"47.168182,8.296895",NEGATIVE,1
"47.168182,8.296895",POSITIVE,3
5200 Brugg AG,POSITIVE,1
AARON RUCKER!!!! ❤️,POSITIVE,1
Aarau,NEGATIVE,344
Aarau,NEUTRAL,9
Aarau,POSITIVE,496
"Aargau, Schweiz",NEGATIVE,1
"Aargau, Schweiz",POSITIVE,3
Affoltern am Albis,NEGATIVE,1
"Alpnach, Switzerland",NEGATIVE,1
Altdorf,NEGATIVE,72
Altdorf,NEUTRAL,1
Altdorf,POSITIVE,69
Amden,NEGATIVE,2
Amden,NEUTRAL,3
Amden,POSITIVE,2
Andelfingen,NEGATIVE,1
Andelfingen,POSITIVE,4
Appenzell,NEGATIVE,4
Appenzell,POSITIVE,16
Arbon,NEGATIVE,1
Arbon,NEUTRAL,1
Arbon,POSITIVE,3
Arlesheim,NEGATIVE,4
Arlesheim,POSITIVE,10
Bad Zurzach,NEGATIVE,8
Bad Zurzach,NEUTRAL,1
Bad Zurzach,POSITIVE,20
Baden,NEGATIVE,297
Baden,NEUTRAL,9
Baden,POSITIVE,583
Basel,NEGATIVE,3103
Basel,NEUTRAL,94
Basel,POSITIVE,7584
"Basel, Switzerland",NEGATIVE,1
Basilea,NEGATIVE,14
Basilea,NEUTRAL,1
Basilea,POSITIVE,8
Bellinzona,NEGATIVE,31
Bellinzona,POSITIVE,56
Bern,NEGATIVE,4251
Bern,NEUTRAL,122
Bern,POSITIVE,6911
Bern / Salzburg,POSITIVE,1
"Bern, Schweiz",NEGATIVE,1
Berna,NEGATIVE,2
Berna,POSITIVE,1
"Berne, Switzerland",NEGATIVE,1
"Berne, Switzerland",NEUTRAL,1
"Berne, Switzerland",POSITIVE,3
Biel,NEGATIVE,56
Biel,NEUTRAL,4
Biel,POSITIVE,81
Biel/Bienne,NEGATIVE,50
Biel/Bienne,POSITIVE,88
Bremgarten,NEGATIVE,1
Bremgarten,NEUTRAL,2
Bremgarten,POSITIVE,11
Brig,NEGATIVE,370
Brig,NEUTRAL,6
Brig,POSITIVE,344
Brugg,NEGATIVE,23
Brugg,NEUTRAL,1
Brugg,POSITIVE,39
Buchs,NEGATIVE,1
Buchs,POSITIVE,6
Bulle,POSITIVE,1
Bâle,POSITIVE,1
Bülach,NEGATIVE,72
Bülach,POSITIVE,135
CH,NEGATIVE,1038
CH,NEUTRAL,35
CH,POSITIVE,1436
CH-St.Gallen,POSITIVE,2
Chur,NEGATIVE,418
Chur,NEUTRAL,14
Chur,POSITIVE,655
Cologne,NEGATIVE,1
Colombia,NEGATIVE,1
Confoederatio Helvetica,NEGATIVE,9
Confoederatio Helvetica,NEUTRAL,1
Confoederatio Helvetica,POSITIVE,15
DC and Baltimore,POSITIVE,1
Delémont,POSITIVE,1
Deutschland,NEGATIVE,4
Deutschland,NEUTRAL,1
Deutschland,POSITIVE,13
Deutschland | Österreich | CH,POSITIVE,1
Dielsdorf,NEGATIVE,2
Dielsdorf,NEUTRAL,1
Dielsdorf,POSITIVE,3
Digital Services,POSITIVE,1
Effretikon,POSITIVE,2
Einsiedeln,NEGATIVE,9
Einsiedeln,POSITIVE,35
Flüelen,NEGATIVE,47
Flüelen,POSITIVE,1
Frauenfeld,NEGATIVE,37
Frauenfeld,NEUTRAL,4
Frauenfeld,POSITIVE,128
Fribourg,NEGATIVE,407
Fribourg,NEUTRAL,37
Fribourg,POSITIVE,525
Fribourg Switzerland,NEGATIVE,2
Fribourg Switzerland,POSITIVE,1
