source_location,sentiment,0
Aarau,NEGATIVE,421
Aarau,NEUTRAL,7
Aarau,POSITIVE,630
Affoltern am Albis,NEGATIVE,1
Affoltern am Albis,POSITIVE,3
Aigle,POSITIVE,1
Altdorf,NEGATIVE,48
Altdorf,NEUTRAL,6
Altdorf,POSITIVE,63
Amden,NEGATIVE,1
Amden,POSITIVE,2
Andelfingen,NEGATIVE,1
Appenzell,NEGATIVE,7
Appenzell,NEUTRAL,1
Appenzell,POSITIVE,21
Arbon,NEGATIVE,4
Arbon,NEUTRAL,2
Arbon,POSITIVE,13
Arlesheim,NEGATIVE,5
Arlesheim,POSITIVE,4
Arth,POSITIVE,1
Bad Zurzach,NEGATIVE,8
Bad Zurzach,POSITIVE,15
Baden,NEGATIVE,402
Baden,NEUTRAL,13
Baden,POSITIVE,771
Basel,NEGATIVE,3642
Basel,NEUTRAL,44
Basel,POSITIVE,9101
Basilea,NEGATIVE,3
Bellinzona,NEGATIVE,36
Bellinzona,POSITIVE,23
Bern,NEGATIVE,5191
Bern,NEUTRAL,99
Bern,POSITIVE,8125
Berna,NEGATIVE,2
Berna,POSITIVE,2
Biel,NEGATIVE,78
Biel,NEUTRAL,1
Biel,POSITIVE,108
Biel/Bienne,NEGATIVE,85
Biel/Bienne,NEUTRAL,1
Biel/Bienne,POSITIVE,114
Bremgarten,NEGATIVE,32
Bremgarten,NEUTRAL,1
Bremgarten,POSITIVE,43
Brig,NEGATIVE,382
Brig,NEUTRAL,15
Brig,POSITIVE,352
Brugg,NEGATIVE,19
Brugg,POSITIVE,35
Buchs,NEGATIVE,8
Buchs,POSITIVE,9
Bulle,POSITIVE,3
Bülach,NEGATIVE,121
Bülach,NEUTRAL,2
Bülach,POSITIVE,159
CH,NEGATIVE,1170
CH,NEUTRAL,9
CH,POSITIVE,1664
Chur,NEGATIVE,419
Chur,NEUTRAL,13
Chur,POSITIVE,715
Confoederatio Helvetica,NEGATIVE,4
Confoederatio Helvetica,POSITIVE,9
Delémont,NEGATIVE,4
Delémont,POSITIVE,1
Dielsdorf,NEGATIVE,1
Dielsdorf,POSITIVE,6
Einsiedeln,NEGATIVE,15
Einsiedeln,NEUTRAL,1
Einsiedeln,POSITIVE,47
Flüelen,NEGATIVE,2
Flüelen,POSITIVE,1
Frauenfeld,NEGATIVE,106
Frauenfeld,NEUTRAL,14
Frauenfeld,POSITIVE,349
Fribourg,NEGATIVE,428
Fribourg,NEUTRAL,42
Fribourg,POSITIVE,554
Frutigen,NEGATIVE,7
Frutigen,POSITIVE,14
Geneva,NEGATIVE,73
Geneva,NEUTRAL,10
Geneva,POSITIVE,126
Geneve,NEGATIVE,3
Geneve,POSITIVE,3
Genf,NEGATIVE,21
Genf,NEUTRAL,1
Genf,POSITIVE,17
Genève,NEGATIVE,32
Genève,NEUTRAL,10
Genève,POSITIVE,42
Gersau,NEGATIVE,1
Glarus,NEGATIVE,16
Glarus,POSITIVE,30
Gränichen,NEGATIVE,1
Gränichen,POSITIVE,1
Helvetia,POSITIVE,1
Herisau,NEGATIVE,62
Herisau,POSITIVE,116
Hinwil,NEGATIVE,1
Hinwil,POSITIVE,2
Hochdorf,NEGATIVE,4
Hochdorf,POSITIVE,5
Horgen,NEGATIVE,1
Horgen,POSITIVE,3
Interlaken,NEGATIVE,175
Interlaken,NEUTRAL,62
Interlaken,POSITIVE,286
Kreuzlingen,NEGATIVE,10
Kreuzlingen,POSITIVE,14
Laufen,NEGATIVE,21
Laufen,POSITIVE,19
Laufenburg,NEGATIVE,6
Laufenburg,POSITIVE,10
Lausanne,NEGATIVE,197
Lausanne,NEUTRAL,3
Lausanne,POSITIVE,262
Lauterbrunnen,POSITIVE,1
Lenzburg,NEGATIVE,302
Lenzburg,NEUTRAL,6
Lenzburg,POSITIVE,415
Leuk,NEGATIVE,1
Leuk,POSITIVE,1
Liestal,NEGATIVE,96
Liestal,NEUTRAL,1
Liestal,POSITIVE,263
Lucerne,NEGATIVE,260
Lucerne,NEUTRAL,11
Lucerne,POSITIVE,290
Lugano,NEGATIVE,13
Lugano,NEUTRAL,3
Lugano,POSITIVE,19
Luzern,NEGATIVE,1299
Luzern,NEUTRAL,22
Luzern,POSITIVE,1694
Marly,NEGATIVE,1
Marly,NEUTRAL,1
Marly,POSITIVE,1
Meilen,NEGATIVE,3
Meilen,POSITIVE,7
Monthey,NEGATIVE,1
Münchwilen,NEGATIVE,1
Münchwilen,POSITIVE,2
Neuchâtel,NEGATIVE,60
Neuchâtel,NEUTRAL,1
Neuchâtel,POSITIVE,107
Olten,NEGATIVE,235
Olten,NEUTRAL,2
Olten,POSITIVE,342
Pfäffikon,NEGATIVE,1
Pfäffikon,POSITIVE,2
Poschiavo,NEGATIVE,2
Rheinfelden,NEGATIVE,23
Rheinfelden,NEUTRAL,1
Rheinfelden,POSITIVE,81
Romanshorn,NEGATIVE,11
Romanshorn,NEUTRAL,1
Romanshorn,POSITIVE,21
Saanen,NEGATIVE,24
Saanen,NEUTRAL,6
Saanen,POSITIVE,67
Samedan,POSITIVE,1
Sankt Gallen,NEGATIVE,193
Sankt Gallen,NEUTRAL,5
Sankt Gallen,POSITIVE,280
Sarnen,NEGATIVE,45
Sarnen,NEUTRAL,1
Sarnen,POSITIVE,47
Schaffhausen,NEGATIVE,471
Schaffhausen,NEUTRAL,2
Schaffhausen,POSITIVE,1956
Schenkon,NEGATIVE,171
Schenkon,NEUTRAL,1
Schenkon,POSITIVE,202
Schleitheim,POSITIVE,1
Schmerikon,NEGATIVE,3
Schmerikon,POSITIVE,5
Schweiz,NEGATIVE,16282
Schweiz,NEUTRAL,365
Schweiz,POSITIVE,25726
Schwyz,NEGATIVE,21
Schwyz,NEUTRAL,1
Schwyz,POSITIVE,36
Schüpfheim,NEGATIVE,1
Schüpfheim,POSITIVE,1
Scuol,POSITIVE,3
Sissach,NEGATIVE,1
Sissach,POSITIVE,2
Solothurn,NEGATIVE,259
Solothurn,NEUTRAL,9
Solothurn,POSITIVE,313
St. Gallen,NEGATIVE,748
St. Gallen,NEUTRAL,13
St. Gallen,POSITIVE,1250
Stans,NEGATIVE,33
Stans,POSITIVE,36
Steckborn,NEGATIVE,2
Steckborn,POSITIVE,2
Suhr,NEGATIVE,1
Suhr,NEUTRAL,1
Suhr,POSITIVE,1
Suisse,NEGATIVE,202
Suisse,NEUTRAL,27
Suisse,POSITIVE,340
Suiza,NEGATIVE,8
Suiza,NEUTRAL,1
Suiza,POSITIVE,3
Sursee,NEGATIVE,16
Sursee,NEUTRAL,2
Sursee,POSITIVE,39
Suíça,NEGATIVE,19
Suíça,POSITIVE,16
Suïssa,NEGATIVE,1
Svajcarska,NEGATIVE,14
Svajcarska,POSITIVE,4
Svizra,NEGATIVE,2
Svizra,POSITIVE,6
Svizzera,NEGATIVE,2
Svizzera,POSITIVE,6
Swiss,NEGATIVE,827
Swiss,NEUTRAL,26
Swiss,POSITIVE,680
Switzerland,NEGATIVE,20091
Switzerland,NEUTRAL,664
Switzerland,POSITIVE,25753
Thun,NEGATIVE,164
Thun,NEUTRAL,5
Thun,POSITIVE,280
Uster,NEGATIVE,72
Uster,POSITIVE,131
Visp,NEGATIVE,42
Visp,NEUTRAL,1
Visp,POSITIVE,74
Waldenburg,NEGATIVE,257
Waldenburg,NEUTRAL,10
Waldenburg,POSITIVE,384
Wangen an der Aare,NEGATIVE,2
Wangen an der Aare,POSITIVE,1
Weinfelden,NEGATIVE,12
Weinfelden,POSITIVE,37
Wengen,NEGATIVE,1
Wengen,POSITIVE,8
Willisau,NEGATIVE,15
Willisau,POSITIVE,7
Winterthur,NEGATIVE,744
Winterthur,NEUTRAL,15
Winterthur,POSITIVE,1119
Wittnau,NEGATIVE,2
Wittnau,POSITIVE,2
Zermatt,NEGATIVE,16
Zermatt,POSITIVE,54
Zofingen,NEGATIVE,51
Zofingen,POSITIVE,89
Zuerich,NEGATIVE,136
Zuerich,NEUTRAL,2
Zuerich,POSITIVE,295
Zurich,NEGATIVE,2767
Zurich,NEUTRAL,61
Zurich,POSITIVE,4989
Zurigo,NEGATIVE,60
Zurigo,POSITIVE,80
Zwitserland,NEGATIVE,7
Zwitserland,POSITIVE,1
Zürich,NEGATIVE,15089
Zürich,NEUTRAL,296
Zürich,POSITIVE,24836
İsviçre,NEGATIVE,2
