source_location,sentiment,0
#DMV,POSITIVE,11
"#glp Bezirk Baden, Aargau, CH",NEGATIVE,23
"#glp Bezirk Baden, Aargau, CH",NEUTRAL,1
"#glp Bezirk Baden, Aargau, CH",POSITIVE,41
#unterwegszuhause,NEGATIVE,1
#unterwegszuhause,POSITIVE,3
"'Ragusa' District, Switzerland",NEGATIVE,4
"'Ragusa' District, Switzerland",POSITIVE,8
(201) & (212),POSITIVE,1
+62,POSITIVE,1
+8GMT.马来西亚.ماليزيا.Malesia,POSITIVE,1
+965,POSITIVE,5
",Schweiz",NEGATIVE,1
",Schweiz",POSITIVE,8
.ch,POSITIVE,1
.وُكْالَه الفِضٌاء,NEUTRAL,1
"///Basel, Switzerland",POSITIVE,1
031,NEGATIVE,4
031,POSITIVE,1
"100,000 people in 72 countries",POSITIVE,1
13,NEGATIVE,24
13,NEUTRAL,3
13,POSITIVE,25
"13 (Augsburg), 4254 (Neuburg)",NEGATIVE,23
"13 (Augsburg), 4254 (Neuburg)",POSITIVE,21
"13.82847,100.741373",NEGATIVE,1
14//05//16 19:59,NEGATIVE,1
15x in der ganzen Schweiz,POSITIVE,2
16 ft kupsis,POSITIVE,1
1700 Fribourg,POSITIVE,1
"1800, Vevey",NEGATIVE,73
"1800, Vevey",POSITIVE,114
1Dfandom (tryna escape drama),NEGATIVE,1
1Dfandom (tryna escape drama),POSITIVE,1
21.C Global Multilateral World,POSITIVE,1
23.,POSITIVE,4
"25.094884,55.175486",NEGATIVE,3
"25.094884,55.175486",POSITIVE,4
"25.101813,55.163426",POSITIVE,1
"25.317147,51.396177",POSITIVE,1
29,NEGATIVE,1
"3000 Bern, Schweiz",NEGATIVE,12
"3000 Bern, Schweiz",POSITIVE,13
3001 Bern,NEGATIVE,8
3001 Bern,POSITIVE,7
"3084 Wabern, Schweiz",POSITIVE,3
"3125 Toffen, Switzerland",NEGATIVE,2
"3125 Toffen, Switzerland",POSITIVE,3
"3600 Thun, Schweiz",NEGATIVE,1
"3800 Interlaken, Switzerland",NEGATIVE,162
"3800 Interlaken, Switzerland",POSITIVE,187
"3rd rock from sol, Menzingen",NEGATIVE,184
"3rd rock from sol, Menzingen",NEUTRAL,2
"3rd rock from sol, Menzingen",POSITIVE,256
4/6 ; AG ; SG,NEUTRAL,1
"4056 Basel, Basel-Stadt",NEGATIVE,14
"4056 Basel, Basel-Stadt",NEUTRAL,1
"4056 Basel, Basel-Stadt",POSITIVE,11
"43.000781,-78.725865",POSITIVE,2
"4460 Gelterkinden, Schweiz",NEGATIVE,2
"4460 Gelterkinden, Schweiz",POSITIVE,8
"4500 Solothurn, Switzerland",NEGATIVE,4
"4500 Solothurn, Switzerland",POSITIVE,6
"46.004752,8.933852",POSITIVE,1
"46.530002,6.621964",POSITIVE,4
"46.897617,7.354039",NEGATIVE,1
"46.959,7.4425",NEGATIVE,2
"47.016552,8.657611",NEGATIVE,1
"47.016767,7.663131",NEUTRAL,1
"47.048822,8.544923",NEGATIVE,1
"47.168182,8.296895",NEGATIVE,13
"47.168182,8.296895",POSITIVE,15
"47.259682,8.844828",NEGATIVE,21
"47.259682,8.844828",POSITIVE,33
"47.272961,8.856174",NEGATIVE,1
"47.272961,8.856174",POSITIVE,2
"47.344588,8.695852",NEGATIVE,1
"47.344588,8.695852",NEUTRAL,2
"47.344588,8.695852",POSITIVE,3
"47.3667° N, 8.5500° E",POSITIVE,1
"47.383622,8.024721",NEGATIVE,1
"47.417155,9.26309",NEGATIVE,1
"47.417155,9.26309",POSITIVE,1
"47.419852,9.370023",NEGATIVE,15
"47.419852,9.370023",NEUTRAL,1
"47.419852,9.370023",POSITIVE,38
"47.443143,8.626668",NEGATIVE,3
"47.443143,8.626668",POSITIVE,3
"47.491815,19.057608",NEGATIVE,3
"47.491815,19.057608",POSITIVE,2
"47.506339,8.748451",NEGATIVE,1
"47.506339,8.748451",POSITIVE,1
"4922 Thunstetten BE, Schweiz",NEGATIVE,3
"4922 Thunstetten BE, Schweiz",POSITIVE,4
"50.950078,6.95804",NEGATIVE,1
"50.950078,6.95804",POSITIVE,2
"5037 Muhen, Switzerland",NEGATIVE,1
505,NEUTRAL,1
505,POSITIVE,2
"53.075713,8.820751",NEGATIVE,1
"53.075713,8.820751",POSITIVE,1
5600 Lenzburg,NEGATIVE,2
5600 Lenzburg,POSITIVE,1
"58.411327,15.561502",POSITIVE,1
"59.321024,18.074135",POSITIVE,1
"5h, ddl, ag, tk, NYD, 1D, t100",NEGATIVE,1
"5h, ddl, ag, tk, NYD, 1D, t100",POSITIVE,2
5th New Century. Love District,NEGATIVE,1
642 536 / 260 929,NEGATIVE,2
642 536 / 260 929,POSITIVE,5
