source_location,sentiment,0
Aarau,NEGATIVE,2
Aarau,POSITIVE,4
Aigle,NEGATIVE,88
Aigle,NEUTRAL,2
Aigle,POSITIVE,33
Amden,POSITIVE,1
Baden,POSITIVE,9
Basel,NEGATIVE,36
Basel,NEUTRAL,9
Basel,POSITIVE,283
Bellinzona,NEGATIVE,1
Bellinzona,NEUTRAL,1
Bellinzona,POSITIVE,17
Bern,NEGATIVE,161
Bern,NEUTRAL,6
Bern,POSITIVE,403
Berna,NEGATIVE,5
Berna,POSITIVE,7
Biel,NEGATIVE,3
Biel,NEUTRAL,1
Biel,POSITIVE,6
Biel/Bienne,NEGATIVE,8
Biel/Bienne,POSITIVE,35
Bienne,NEGATIVE,173
Bienne,NEUTRAL,1
Bienne,POSITIVE,264
Brig,NEUTRAL,1
Brig,POSITIVE,1
Brugg,NEGATIVE,2
Brugg,POSITIVE,11
Bulle,NEGATIVE,64
Bulle,POSITIVE,124
Bâle,NEGATIVE,8
Bâle,POSITIVE,18
CH,NEGATIVE,245
CH,NEUTRAL,3
CH,POSITIVE,225
Chur,NEGATIVE,1
Chur,POSITIVE,1
Conthey,NEGATIVE,7
Conthey,POSITIVE,3
Delémont,NEGATIVE,26
Delémont,NEUTRAL,1
Delémont,POSITIVE,106
Ennetbürgen,POSITIVE,1
Evolène,NEGATIVE,1
Fribourg,NEGATIVE,443
Fribourg,NEUTRAL,4
Fribourg,POSITIVE,759
Geneva,NEGATIVE,4247
Geneva,NEUTRAL,34
Geneva,POSITIVE,3879
Geneve,NEGATIVE,717
Geneve,NEUTRAL,3
Geneve,POSITIVE,429
Genf,NEGATIVE,127
Genf,NEUTRAL,2
Genf,POSITIVE,58
Genève,NEGATIVE,13599
Genève,NEUTRAL,115
Genève,POSITIVE,14893
Ginevra,POSITIVE,13
Helvetia,NEGATIVE,13
Helvetia,NEUTRAL,1
Helvetia,POSITIVE,39
Interlaken,POSITIVE,2
La Sarraz,NEGATIVE,1
La Sarraz,POSITIVE,2
Laufenburg,POSITIVE,1
Lausanne,NEGATIVE,3596
Lausanne,NEUTRAL,31
Lausanne,POSITIVE,6066
Le Locle,NEGATIVE,8
Le Locle,POSITIVE,13
Lenzburg,NEUTRAL,1
Lenzburg,POSITIVE,3
Liestal,POSITIVE,1
Lucerne,NEGATIVE,3
Lucerne,POSITIVE,13
Lugano,NEGATIVE,52
Lugano,NEUTRAL,21
Lugano,POSITIVE,99
Luzern,NEGATIVE,1
Luzern,NEUTRAL,2
Luzern,POSITIVE,11
Marly,NEGATIVE,552
Marly,NEUTRAL,3
Marly,POSITIVE,544
Monthey,NEGATIVE,152
Monthey,NEUTRAL,2
Monthey,POSITIVE,157
Neuchatel,POSITIVE,3
Neuchâtel,NEGATIVE,232
Neuchâtel,NEUTRAL,1
Neuchâtel,POSITIVE,262
Olten,POSITIVE,1
Payerne,NEGATIVE,5
Payerne,POSITIVE,7
Porrentruy,NEGATIVE,5
Porrentruy,POSITIVE,7
Renens,POSITIVE,5
Rheinfelden,POSITIVE,2
Saanen,POSITIVE,1
Saint-Maurice,NEGATIVE,8
Saint-Maurice,POSITIVE,8
Sankt Gallen,POSITIVE,3
Sarnen,POSITIVE,1
Schaffhausen,NEGATIVE,1
Schaffhausen,POSITIVE,5
Schweiz,NEGATIVE,487
Schweiz,NEUTRAL,22
Schweiz,POSITIVE,490
St. Gallen,POSITIVE,4
Suica,POSITIVE,1
Suisse,NEGATIVE,23334
Suisse,NEUTRAL,206
Suisse,POSITIVE,29232
Suiza,NEGATIVE,12
Suiza,NEUTRAL,1
Suiza,POSITIVE,51
Sursee,NEUTRAL,1
Sursee,POSITIVE,3
Suíça,NEGATIVE,2
Suíça,NEUTRAL,2
Suíça,POSITIVE,4
Suïssa,NEGATIVE,1
Svajcarska,POSITIVE,1
Svizzera,NEGATIVE,4
Svizzera,NEUTRAL,1
Svizzera,POSITIVE,8
Swiss,NEGATIVE,1374
Swiss,NEUTRAL,5
Swiss,POSITIVE,1980
Switzerland,NEGATIVE,16459
Switzerland,NEUTRAL,193
Switzerland,POSITIVE,17181
Thun,POSITIVE,2
Visp,NEGATIVE,1
Visp,POSITIVE,8
Winterthur,NEGATIVE,4
Winterthur,NEUTRAL,1
Winterthur,POSITIVE,16
Zermatt,POSITIVE,1
Zofingen,POSITIVE,2
Zuerich,POSITIVE,2
Zurich,NEGATIVE,151
Zurich,NEUTRAL,7
Zurich,POSITIVE,662
Zurigo,POSITIVE,2
Zürich,NEGATIVE,439
Zürich,NEUTRAL,15
Zürich,POSITIVE,594
Швейцария,NEGATIVE,1
スイス,NEGATIVE,7
スイス,POSITIVE,9
