source_location,sentiment,0
#Annecy #Genève Franche-Comté,POSITIVE,1
"#Chateauform-Champéry, Suissey",NEGATIVE,1
"#Chateauform-Champéry, Suissey",POSITIVE,3
#TeamMinaj #TeamTinashe,NEGATIVE,3
#TeamMinaj #TeamTinashe,POSITIVE,1
#Yverdon-les-Bains - #Suisse,POSITIVE,1
#netball #squash #uitmperlis,NEUTRAL,1
(0.9),NEGATIVE,101
(0.9),NEUTRAL,4
(0.9),POSITIVE,53
(Reality)KSA(Mentally) Lugano♥,NEGATIVE,1
(here),NEUTRAL,3
***Karless,NEGATIVE,7
***Karless,POSITIVE,2
- Genève,NEGATIVE,12
- Genève,POSITIVE,6
-العين-,POSITIVE,1
.. alone in the dark ..,POSITIVE,1
".fr, .be, .ch, .eu | Lausanne",NEGATIVE,10
".fr, .be, .ch, .eu | Lausanne",POSITIVE,11
/dev/null,NEGATIVE,1
/dev/null,POSITIVE,1
"1006, Lausanne, Suisse",NEGATIVE,1
"1006, Lausanne, Suisse",POSITIVE,10
"1012 Lausanne, Switzerland",POSITIVE,6
"1095 Lutry, Suisse",POSITIVE,1
"1110 Morges, Suisse",POSITIVE,1
13,NEGATIVE,21
13,POSITIVE,3
"1337 Vallorbe, Schweiz",NEGATIVE,2
15x in der ganzen Schweiz,POSITIVE,1
16092,NEGATIVE,7
16092,NEUTRAL,1
16092,POSITIVE,1
1724 Praroman-Le-Mouret Suisse,POSITIVE,1
18 Student,NEUTRAL,1
"1907 Saxon, Suisse",POSITIVE,1
1920 Martigny / VS,POSITIVE,4
1968 Mase Suisse,NEGATIVE,4
1968 Mase Suisse,NEUTRAL,2
1968 Mase Suisse,POSITIVE,49
"1997 Haute-Nendaz, Suisse",POSITIVE,1
1d ; 5h ; ag ; sg ; jb ; hg,NEGATIVE,1
"2 place des Eaux-Vives, Genève",NEGATIVE,1
"2 place des Eaux-Vives, Genève",POSITIVE,6
"2001 Neuchâtel, Switzerland",NEGATIVE,1
2034,NEGATIVE,4
21 - 34,POSITIVE,1
"21 rue de Monthoux, Geneve",NEGATIVE,2
"21 rue de Monthoux, Geneve",POSITIVE,7
25 Rue du Perron 1204 Genève,POSITIVE,1
"2555 Brügg, Suisse",POSITIVE,2
"26 rue de Strasbourg, Nantes",NEGATIVE,1
2635,POSITIVE,1
2718 Lajoux,NEGATIVE,3
2718 Lajoux,POSITIVE,12
2950 Courgenay,POSITIVE,1
"2m2c, Montreux, Suisse",NEGATIVE,7
"2m2c, Montreux, Suisse",POSITIVE,16
"35 rue du Simplon, Lausanne",POSITIVE,1
"37°33′57″ Nord,126°58′41″ Est",POSITIVE,1
"3800 Interlaken, Switzerland",NEGATIVE,5
"3800 Interlaken, Switzerland",POSITIVE,45
3fav de Mathieu&Sofia,POSITIVE,9
4/6 ; AG ; SG,NEGATIVE,4
4/6 ; AG ; SG,NEUTRAL,8
"43.6163,6.9721",POSITIVE,1
"46.198818,6.091466",NEGATIVE,1
"46.519226,6.639824",POSITIVE,1
"46.530002,6.621964",POSITIVE,9
"46.801236,7.146669",NEGATIVE,1
"46.801236,7.146669",POSITIVE,3
"46.996904,6.934439",NEGATIVE,1
"46.996904,6.934439",POSITIVE,2
