source_location,sentiment,0
Aarau,POSITIVE,3
Aigle,NEGATIVE,64
Aigle,NEUTRAL,1
Aigle,POSITIVE,42
Baden,NEGATIVE,6
Baden,POSITIVE,5
Basel,NEGATIVE,51
Basel,NEUTRAL,3
Basel,POSITIVE,175
Basilea,NEUTRAL,1
Basilea,POSITIVE,1
Bellinzona,NEGATIVE,5
Bellinzona,POSITIVE,19
Bern,NEGATIVE,168
Bern,NEUTRAL,8
Bern,POSITIVE,402
Berna,NEGATIVE,2
Berna,POSITIVE,5
Biel,NEGATIVE,1
Biel,POSITIVE,4
Biel/Bienne,NEGATIVE,9
Biel/Bienne,POSITIVE,80
Bienne,NEGATIVE,156
Bienne,POSITIVE,214
Brig,NEGATIVE,1
Brugg,NEGATIVE,5
Brugg,POSITIVE,7
Bulle,NEGATIVE,48
Bulle,POSITIVE,110
Bâle,NEGATIVE,10
Bâle,POSITIVE,24
CH,NEGATIVE,430
CH,NEUTRAL,2
CH,POSITIVE,324
Chur,NEGATIVE,1
Chur,POSITIVE,6
Confoederatio Helvetica,POSITIVE,3
Conthey,NEGATIVE,13
Conthey,NEUTRAL,1
Conthey,POSITIVE,6
Delémont,NEGATIVE,38
Delémont,POSITIVE,108
Evolène,POSITIVE,1
Frauenfeld,NEGATIVE,1
Frauenfeld,POSITIVE,8
Fribourg,NEGATIVE,369
Fribourg,NEUTRAL,2
Fribourg,POSITIVE,672
Geneva,NEGATIVE,3861
Geneva,NEUTRAL,20
Geneva,POSITIVE,3584
Geneve,NEGATIVE,970
Geneve,NEUTRAL,7
Geneve,POSITIVE,539
Genf,NEGATIVE,160
Genf,NEUTRAL,3
Genf,POSITIVE,72
Genève,NEGATIVE,13175
Genève,NEUTRAL,99
Genève,POSITIVE,14241
Ginevra,NEGATIVE,5
Ginevra,POSITIVE,3
Helvetia,NEGATIVE,15
Helvetia,POSITIVE,24
Kreuzlingen,POSITIVE,1
La Sarraz,POSITIVE,4
Laufenburg,POSITIVE,1
Lausanne,NEGATIVE,3934
Lausanne,NEUTRAL,29
Lausanne,POSITIVE,8862
Le Locle,NEGATIVE,13
Le Locle,POSITIVE,12
Lenzburg,POSITIVE,1
Lucerne,NEGATIVE,2
Lucerne,POSITIVE,32
Lugano,NEGATIVE,416
Lugano,NEUTRAL,14
Lugano,POSITIVE,1687
Luzern,NEGATIVE,5
Luzern,POSITIVE,8
Marly,NEGATIVE,339
Marly,NEUTRAL,1
Marly,POSITIVE,398
Monthey,NEGATIVE,102
Monthey,POSITIVE,147
Neuchatel,NEGATIVE,1
Neuchatel,POSITIVE,2
Neuchâtel,NEGATIVE,159
Neuchâtel,POSITIVE,270
Olten,POSITIVE,1
Payerne,NEGATIVE,6
Payerne,POSITIVE,12
Porrentruy,NEGATIVE,18
Porrentruy,POSITIVE,10
Poschiavo,POSITIVE,1
Renens,NEGATIVE,1
Renens,POSITIVE,9
Rheinfelden,POSITIVE,1
Saint-Maurice,NEGATIVE,18
Saint-Maurice,POSITIVE,2
Sankt Gallen,NEGATIVE,1
Sankt Gallen,POSITIVE,1
Schaffhausen,POSITIVE,2
Schweiz,NEGATIVE,397
Schweiz,NEUTRAL,12
Schweiz,POSITIVE,634
Schwiz,POSITIVE,2
St. Gallen,NEGATIVE,6
St. Gallen,POSITIVE,3
Suisse,NEGATIVE,20264
Suisse,NEUTRAL,146
Suisse,POSITIVE,24013
Suiza,NEGATIVE,12
Suiza,NEUTRAL,1
Suiza,POSITIVE,38
Suíça,NEGATIVE,6
Suíça,POSITIVE,3
Suïssa,POSITIVE,3
Svajcarska,POSITIVE,1
Svizra,POSITIVE,1
Svizzera,NEGATIVE,2
Svizzera,POSITIVE,8
Swiss,NEGATIVE,1243
Swiss,NEUTRAL,5
Swiss,POSITIVE,1768
Switzerland,NEGATIVE,17129
Switzerland,NEUTRAL,153
Switzerland,POSITIVE,16591
Uster,NEGATIVE,10
Uster,POSITIVE,1
Visp,POSITIVE,7
Winterthur,NEGATIVE,3
Winterthur,NEUTRAL,1
Winterthur,POSITIVE,17
Zermatt,POSITIVE,2
Zuerich,POSITIVE,1
Zurich,NEGATIVE,163
Zurich,NEUTRAL,9
Zurich,POSITIVE,621
Zurigo,NEGATIVE,2
Zurigo,POSITIVE,2
Zürich,NEGATIVE,362
Zürich,NEUTRAL,15
Zürich,POSITIVE,523
سويسرا,POSITIVE,1
スイス,NEGATIVE,7
スイス,POSITIVE,8
