source_location,sentiment,0
Aarau,NEGATIVE,1
Aarau,POSITIVE,3
Aigle,NEGATIVE,112
Aigle,POSITIVE,53
Baden,NEGATIVE,1
Baden,POSITIVE,8
Basel,NEGATIVE,15
Basel,NEUTRAL,1
Basel,POSITIVE,154
Bellinzona,NEGATIVE,2
Bellinzona,POSITIVE,13
Bern,NEGATIVE,60
Bern,NEUTRAL,6
Bern,POSITIVE,167
Berna,NEGATIVE,4
Berna,POSITIVE,10
Biel,NEGATIVE,1
Biel,POSITIVE,1
Biel/Bienne,NEGATIVE,5
Biel/Bienne,POSITIVE,19
Bienne,NEGATIVE,103
Bienne,NEUTRAL,1
Bienne,POSITIVE,192
Brugg,POSITIVE,2
Bulle,NEGATIVE,49
Bulle,NEUTRAL,1
Bulle,POSITIVE,63
Bâle,NEGATIVE,6
Bâle,POSITIVE,16
CH,NEGATIVE,280
CH,NEUTRAL,4
CH,POSITIVE,223
Chur,NEGATIVE,2
Chur,POSITIVE,1
Conthey,NEGATIVE,12
Conthey,POSITIVE,4
Delémont,NEGATIVE,21
Delémont,NEUTRAL,1
Delémont,POSITIVE,58
Frauenfeld,POSITIVE,1
Fribourg,NEGATIVE,303
Fribourg,NEUTRAL,3
Fribourg,POSITIVE,448
Geneva,NEGATIVE,3137
Geneva,NEUTRAL,26
Geneva,POSITIVE,2505
Geneve,NEGATIVE,871
Geneve,NEUTRAL,7
Geneve,POSITIVE,385
Genf,NEGATIVE,225
Genf,POSITIVE,88
Genève,NEGATIVE,10815
Genève,NEUTRAL,74
Genève,POSITIVE,10044
Ginevra,POSITIVE,1
Helvetia,NEGATIVE,17
Helvetia,POSITIVE,18
Interlaken,POSITIVE,1
La Sarraz,POSITIVE,2
Laufenburg,POSITIVE,1
Lausanne,NEGATIVE,2719
Lausanne,NEUTRAL,12
Lausanne,POSITIVE,5751
Le Locle,NEGATIVE,11
Le Locle,POSITIVE,12
Lenzburg,POSITIVE,1
Lucerne,NEGATIVE,4
Lucerne,POSITIVE,8
Lugano,NEGATIVE,253
Lugano,NEUTRAL,20
Lugano,POSITIVE,1155
Luzern,NEGATIVE,2
Luzern,POSITIVE,3
Marly,NEGATIVE,173
Marly,NEUTRAL,2
Marly,POSITIVE,216
Monthey,NEGATIVE,76
Monthey,POSITIVE,103
Neuchâtel,NEGATIVE,154
Neuchâtel,NEUTRAL,2
Neuchâtel,POSITIVE,156
Payerne,POSITIVE,5
Porrentruy,NEGATIVE,11
Porrentruy,POSITIVE,5
Renens,NEGATIVE,1
Renens,POSITIVE,9
Saint-Maurice,NEGATIVE,19
Saint-Maurice,POSITIVE,16
Sankt Gallen,POSITIVE,2
Schaffhausen,POSITIVE,2
Schweiz,NEGATIVE,542
Schweiz,NEUTRAL,3
Schweiz,POSITIVE,791
Solothurn,NEGATIVE,1
St. Gallen,NEGATIVE,1
St. Gallen,NEUTRAL,1
St. Gallen,POSITIVE,4
Suisse,NEGATIVE,14520
Suisse,NEUTRAL,118
Suisse,POSITIVE,15701
Suiza,NEGATIVE,6
Suiza,NEUTRAL,2
Suiza,POSITIVE,43
Suíça,NEGATIVE,5
Suíça,POSITIVE,2
Suïssa,NEGATIVE,1
Suïssa,POSITIVE,1
Svizzera,POSITIVE,6
Swiss,NEGATIVE,1191
Swiss,NEUTRAL,3
Swiss,POSITIVE,1868
Switzerland,NEGATIVE,12497
Switzerland,NEUTRAL,108
Switzerland,POSITIVE,11142
Thun,POSITIVE,1
Visp,POSITIVE,7
Winterthur,NEGATIVE,2
Winterthur,POSITIVE,12
Zermatt,POSITIVE,1
Zuerich,POSITIVE,2
Zurich,NEGATIVE,106
Zurich,NEUTRAL,3
Zurich,POSITIVE,354
Zurigo,NEGATIVE,1
Zurigo,POSITIVE,1
Zürich,NEGATIVE,148
Zürich,NEUTRAL,9
Zürich,POSITIVE,271
Швейцария,NEGATIVE,1
スイス,NEGATIVE,11
スイス,POSITIVE,11
