source_location,sentiment,0
#Annecy #Genève Franche-Comté,NEGATIVE,1
#Bruxelles,NEGATIVE,1
"#Chateauform-Champéry, Suissey",NEGATIVE,1
#Follow The #Leaders - W2L ;),NEGATIVE,1
#TeamMinaj #TeamTinashe,NEGATIVE,1
#TeamMinaj #TeamTinashe,POSITIVE,2
***Karless,NEGATIVE,2
+965,POSITIVE,1
".fr, .be, .ch, .eu | Lausanne",NEGATIVE,1
".fr, .be, .ch, .eu | Lausanne",POSITIVE,3
"1012 Lausanne, Switzerland",POSITIVE,1
"11, ch. Delay, 1214 Vernier",POSITIVE,1
"17, xypher, intesaberians 1115",NEGATIVE,1
18 Student,POSITIVE,1
1920 Martigny / VS,POSITIVE,1
1968 Mase Suisse,POSITIVE,6
"21 rue de Monthoux, Geneve",NEGATIVE,1
"21 rue de Monthoux, Geneve",POSITIVE,3
"23 Avenue de France, Genève",NEGATIVE,1
"237 Route des Fayards, Versoix",POSITIVE,1
"2m2c, Montreux, Suisse",NEGATIVE,2
"2m2c, Montreux, Suisse",POSITIVE,5
"3800 Interlaken, Switzerland",POSITIVE,7
"39800 Poligny, Jura, France",POSITIVE,1
"46.314741,6.86896",POSITIVE,2
"46.530002,6.621964",POSITIVE,4
"46.801236,7.146669",NEGATIVE,2
"47.111425,6.830974",NEGATIVE,3
"47.111425,6.830974",POSITIVE,3
53 route de Suisse-1295 Mies,NEGATIVE,7
53 route de Suisse-1295 Mies,POSITIVE,6
6 rue des Jeûneurs 75002 Paris,POSITIVE,2
94,NEGATIVE,3
94,POSITIVE,1
"@coldplay 110616, Zurigo",NEUTRAL,1
"@ya mama's house, Switzerland",NEGATIVE,1
"@ya mama's house, Switzerland",POSITIVE,2
A E S T H E T I C,NEGATIVE,1
AG,NEGATIVE,1
"AG , organisation privée",NEGATIVE,23
"AG , organisation privée",POSITIVE,13
AI,POSITIVE,1
"Aarberg, Switzerland",POSITIVE,1
"Aargau, CH / Liguria, I",POSITIVE,1
"Aargau, Schweiz",NEGATIVE,1
"Aargau, Switzerland",POSITIVE,3
AbuDhabi❤️,POSITIVE,1
Aigle,NEGATIVE,3
"Aigle, Suisse",NEGATIVE,3
"Aigle, Suisse",POSITIVE,3
"Aigle, Suisse 23 ans",NEGATIVE,1
"Aigle, Switzerland",POSITIVE,3
"Allaman, Suisse",POSITIVE,2
"Allschwil, Basel-Land",POSITIVE,1
"Alsace, France",POSITIVE,1
"Ambérieu-en-Bugey, France",NEGATIVE,3
"Ambérieu-en-Bugey, France",POSITIVE,2
Annecy / Montpellier,NEGATIVE,1
Annecy / Montpellier,POSITIVE,1
Annemasse (74),NEGATIVE,1
"Apples, Suisse",NEGATIVE,25
"Apples, Suisse",POSITIVE,15
"Arau, Perlis",NEGATIVE,2
"Arau, Perlis / Senawang, N9",NEUTRAL,1
"Ardon, Valais",NEGATIVE,1
Arnhem/Tiel/Eindhoven,NEGATIVE,1
Arosa,POSITIVE,1
Arouca,POSITIVE,1
Arth,NEGATIVE,1
Ascona,POSITIVE,1
"Ascona, Ticino Svizzera",NEUTRAL,1
"Asuncion, Paraguay",POSITIVE,1
Attalens,POSITIVE,1
"Attalens, Suisse",POSITIVE,1
Au Paradis Des Diablesses,POSITIVE,1
Au Pays Des Merveilles,POSITIVE,1
"Au stade/bar, ou les deux.",POSITIVE,1
"Aubonne, Switzerland",POSITIVE,6
"Avenches, Switzerland",POSITIVE,1
"Avenue de Rumine 4, Lausanne",NEGATIVE,2
"Avenue de Rumine 4, Lausanne",POSITIVE,2
"Avenue de la Gare 47, Martigny",POSITIVE,1
"Avry, Fribourg",POSITIVE,1
Ayent,NEGATIVE,1
"BE, CA, FR, CH",NEGATIVE,3
"BE, CA, FR, CH",POSITIVE,3
Baden,NEGATIVE,1
Baden,NEUTRAL,2
"Baden, Switzerland",POSITIVE,1
Bagnes,NEGATIVE,7
"Bagnes, Valais",POSITIVE,1
Bahrain,POSITIVE,4
"Bangkok, Thailand",NEGATIVE,1
Bar,NEGATIVE,1
Barcelona - España,POSITIVE,1
"Barcelona, España",POSITIVE,1
Basel,NEGATIVE,22
Basel,POSITIVE,90
"Basel City, Switzerland",NEGATIVE,1
Basel Switzerland,NEGATIVE,1
Basel Switzerland,NEUTRAL,1
"Basel, Basel-Stadt",NEUTRAL,1
"Basel, CH",NEGATIVE,1
"Basel, Switzerland",NEGATIVE,54
"Basel, Switzerland",POSITIVE,86
"Basel, Switzerland - East Ldn",NEGATIVE,26
"Basel, Switzerland - East Ldn",POSITIVE,15
"Basel-City, Switzerland",NEGATIVE,20
"Basel-City, Switzerland",POSITIVE,89
Basel. Switzerland,POSITIVE,1
"Basilea, Suiza.",NEUTRAL,1
"Basle, Basel City",POSITIVE,3
Begnins,NEGATIVE,1
Begnins,POSITIVE,1
"Belfaux, Fribourg",POSITIVE,1
"Belfort, France",NEGATIVE,1
"Bellach, Switzerland",POSITIVE,1
Bellinzona,POSITIVE,8
Bellmund b. Biel/Bienne,POSITIVE,1
"Belmont, Switzerland",POSITIVE,1
Bergerac,NEGATIVE,1
"Berikon, Schweiz",POSITIVE,1
Bern,NEGATIVE,35
Bern,NEUTRAL,4
Bern,POSITIVE,93
Bern (Switzerland),NEUTRAL,1
"Bern 72, Switzerland",NEGATIVE,2
"Bern 72, Switzerland",NEUTRAL,1
"Bern, Berne",NEGATIVE,2
"Bern, Berne",POSITIVE,10
"Bern, Schweiz",NEGATIVE,5
"Bern, Schweiz",NEUTRAL,2
"Bern, Schweiz",POSITIVE,8
"Bern, Switzerland",NEGATIVE,3
"Bern, Switzerland",POSITIVE,38
"Bern-Berner Oberland, Schweiz",POSITIVE,1
Berna,NEGATIVE,1
Berna,POSITIVE,2
"Berna, Svizzera",NEGATIVE,1
Berne,NEGATIVE,21
Berne,POSITIVE,43
"Berne, Bienne",POSITIVE,1
"Berne, Genève",NEGATIVE,1
"Berne, Hamburg, Bremen, Munich",POSITIVE,1
"Berne, Suisse",NEGATIVE,14
"Berne, Suisse",POSITIVE,28
"Berne, Switzerland",NEGATIVE,5
"Berne, Switzerland",POSITIVE,15
"Bernex, Gnv",NEGATIVE,5
"Bernex, Gnv",POSITIVE,1
Besançon,NEGATIVE,1
"Bevaix, Neuchâtel",POSITIVE,5
Bex,NEGATIVE,1
"Bex, Suisse",POSITIVE,1
"Bex, Vaud",POSITIVE,3
"Bex, switzerland",NEGATIVE,1
"Bex, switzerland",POSITIVE,1
Biel,NEGATIVE,1
Biel,POSITIVE,1
"Biel, Bern",POSITIVE,2
"Biel, Switzerland",NEGATIVE,3
"Biel, Switzerland",NEUTRAL,1
"Biel, Switzerland",POSITIVE,14
Biel-Bienne,NEGATIVE,1
"Biel-Bienne, Switzerland",POSITIVE,1
Biel/Bienne,NEGATIVE,2
Biel/Bienne,POSITIVE,12
"Biel/Bienne, Suisse",POSITIVE,1
Biel/bienne,NEGATIVE,2
Biel/bienne,POSITIVE,1
Bienne,NEGATIVE,20
Bienne,POSITIVE,29
"Bienne, Suisse",NEGATIVE,46
"Bienne, Suisse",POSITIVE,11
"Bienne, Switzerland",NEGATIVE,1
"Bienne, Switzerland",POSITIVE,4
Blonay,POSITIVE,3
"Blonay, Vaud",NEGATIVE,1
"Bogotá, Colombia",POSITIVE,1
"Bois-d'Amont, Franche-Comté",NEUTRAL,1
Bolivia,NEGATIVE,1
"Bolton, ON",NEGATIVE,2
"Boncourt, Suisse",NEGATIVE,3
"Boncourt, Suisse",POSITIVE,1
