source_location,sentiment,0
Aarau,NEGATIVE,7
Aarau,POSITIVE,10
Aigle,NEGATIVE,152
Aigle,POSITIVE,43
Arlesheim,POSITIVE,1
Baden,NEGATIVE,5
Baden,POSITIVE,7
Basel,NEGATIVE,33
Basel,NEUTRAL,2
Basel,POSITIVE,211
Bellinzona,NEGATIVE,3
Bellinzona,POSITIVE,11
Bern,NEGATIVE,156
Bern,NEUTRAL,9
Bern,POSITIVE,377
Berna,NEGATIVE,6
Berna,POSITIVE,13
Biel,NEGATIVE,3
Biel,POSITIVE,4
Biel/Bienne,NEGATIVE,10
Biel/Bienne,POSITIVE,50
Bienne,NEGATIVE,165
Bienne,POSITIVE,247
Brig,POSITIVE,1
Brugg,NEGATIVE,2
Brugg,POSITIVE,10
Bulle,NEGATIVE,42
Bulle,POSITIVE,129
Bâle,NEGATIVE,15
Bâle,POSITIVE,38
CH,NEGATIVE,322
CH,NEUTRAL,5
CH,POSITIVE,259
Confoederatio Helvetica,NEUTRAL,1
Confoederatio Helvetica,POSITIVE,2
Conthey,NEGATIVE,9
Conthey,POSITIVE,3
Delémont,NEGATIVE,44
Delémont,POSITIVE,138
Dielsdorf,NEGATIVE,1
Evolène,POSITIVE,2
Frauenfeld,NEGATIVE,1
Fribourg,NEGATIVE,456
Fribourg,NEUTRAL,4
Fribourg,POSITIVE,749
Geneva,NEGATIVE,4319
Geneva,NEUTRAL,30
Geneva,POSITIVE,4058
Geneve,NEGATIVE,702
Geneve,NEUTRAL,5
Geneve,POSITIVE,437
Genf,NEGATIVE,294
Genf,NEUTRAL,1
Genf,POSITIVE,95
Genève,NEGATIVE,15005
Genève,NEUTRAL,101
Genève,POSITIVE,15953
Ginevra,NEGATIVE,1
Ginevra,POSITIVE,5
Helvetia,NEGATIVE,17
Helvetia,POSITIVE,30
Interlaken,NEGATIVE,1
Interlaken,NEUTRAL,1
Interlaken,POSITIVE,1
Kreuzlingen,POSITIVE,1
La Sarraz,NEUTRAL,1
La Sarraz,POSITIVE,4
Laufenburg,POSITIVE,2
Lausanne,NEGATIVE,3698
Lausanne,NEUTRAL,25
Lausanne,POSITIVE,7915
Le Locle,NEGATIVE,2
Le Locle,POSITIVE,6
Lenzburg,NEUTRAL,1
Lenzburg,POSITIVE,1
Lucerne,NEGATIVE,1
Lucerne,NEUTRAL,1
Lucerne,POSITIVE,17
Lugano,NEGATIVE,99
Lugano,NEUTRAL,14
Lugano,POSITIVE,243
Luzern,NEGATIVE,2
Luzern,NEUTRAL,1
Luzern,POSITIVE,6
Marly,NEGATIVE,371
Marly,NEUTRAL,3
Marly,POSITIVE,438
Monthey,NEGATIVE,123
Monthey,NEUTRAL,1
Monthey,POSITIVE,149
Neuchatel,NEGATIVE,1
Neuchatel,POSITIVE,1
Neuchâtel,NEGATIVE,186
Neuchâtel,POSITIVE,242
Olten,POSITIVE,1
Payerne,NEGATIVE,6
Payerne,POSITIVE,7
Porrentruy,NEGATIVE,4
Porrentruy,POSITIVE,6
Renens,NEGATIVE,2
Renens,POSITIVE,13
Rheinfelden,NEGATIVE,1
Rheinfelden,POSITIVE,1
Saint-Maurice,NEGATIVE,18
Saint-Maurice,POSITIVE,16
Schaffhausen,POSITIVE,2
Schweiz,NEGATIVE,567
Schweiz,NEUTRAL,11
Schweiz,POSITIVE,573
Solothurn,POSITIVE,1
St. Gallen,NEUTRAL,1
St. Gallen,POSITIVE,2
Suisse,NEGATIVE,24889
Suisse,NEUTRAL,170
Suisse,POSITIVE,31269
Suiza,NEGATIVE,9
Suiza,NEUTRAL,1
Suiza,POSITIVE,34
Sursee,POSITIVE,1
Suíça,NEGATIVE,5
Suíça,POSITIVE,7
Suïssa,POSITIVE,1
Svizzera,NEGATIVE,3
Svizzera,POSITIVE,4
Swiss,NEGATIVE,1503
Swiss,NEUTRAL,5
Swiss,POSITIVE,2149
Switzerland,NEGATIVE,16797
Switzerland,NEUTRAL,144
Switzerland,POSITIVE,16755
Thun,NEGATIVE,1
Thun,POSITIVE,1
Uster,NEGATIVE,1
Uster,POSITIVE,1
Visp,POSITIVE,10
Winterthur,NEGATIVE,3
Winterthur,POSITIVE,15
Zermatt,NEGATIVE,1
Zermatt,POSITIVE,4
Zuerich,NEGATIVE,1
Zuerich,POSITIVE,1
Zurich,NEGATIVE,144
Zurich,NEUTRAL,5
Zurich,POSITIVE,663
Zurigo,NEGATIVE,1
Zurigo,POSITIVE,2
Zürich,NEGATIVE,395
Zürich,NEUTRAL,21
Zürich,POSITIVE,608
スイス,NEGATIVE,6
スイス,POSITIVE,7
