source_location,sentiment,0
"#Chateauform-Champéry, Suissey",POSITIVE,1
#Paris #Philadelphia #Zürich,POSITIVE,3
#TeamEetS,NEGATIVE,23
#TeamEetS,POSITIVE,16
#TeamMinaj #TeamTinashe,NEGATIVE,9
#TeamMinaj #TeamTinashe,POSITIVE,3
#Tours,NEGATIVE,1
#Tours,POSITIVE,2
"(94170) Paris, France",NEGATIVE,1
(95)(238)(244) w/ David Luiz✈️,NEGATIVE,3
(Ubicacion) Europa.,POSITIVE,1
* Anime World * CH,NEGATIVE,3
* Anime World * CH,NEUTRAL,1
- Genève -,NEGATIVE,3
- Genève -,POSITIVE,3
.252.,POSITIVE,2
".fr, .be, .ch, .eu | Lausanne",NEGATIVE,24
".fr, .be, .ch, .eu | Lausanne",POSITIVE,36
"1095 Lutry, Suisse",POSITIVE,1
1220,NEGATIVE,138
1220,POSITIVE,56
1400 Yverdon,POSITIVE,5
1800 Vevey- Suisse,NEGATIVE,1
1920 Martigny / VS,POSITIVE,1
1968 Mase Suisse,POSITIVE,3
"21 rue de Monthoux, Geneve",POSITIVE,2
252,POSITIVE,2
3rd Rock from the Sun,POSITIVE,1
"3rd rock from sol, Menzingen",NEUTRAL,1
"46.193268,6.199111",POSITIVE,1
"46.314741,6.86896",POSITIVE,1
"46.375656,6.919652",NEGATIVE,3
"46.375656,6.919652",POSITIVE,7
"46.464697,6.869727",POSITIVE,2
"46.530002,6.621964",POSITIVE,2
"46.801236,7.146669",NEGATIVE,4
"46.801236,7.146669",POSITIVE,2
"46.996904,6.934439",POSITIVE,1
"47.377181,8.539306",POSITIVE,1
"47.419852,9.370023",POSITIVE,1
"47.4518,7.145965",POSITIVE,1
"48.782460, 2.041098",NEGATIVE,1
57155 MARLY,POSITIVE,1
"59 Montée du Chemin Neuf, Lyon",POSITIVE,2
614⌨♡,POSITIVE,2
69009,NEGATIVE,1
69009,POSITIVE,1
"8488 Turbenthal, Schweiz",NEGATIVE,1
93,POSITIVE,2
93370,POSITIVE,1
94 / Paris V diago zoo,NEGATIVE,1
94410,NEGATIVE,62
94410,POSITIVE,76
"98,ocpeqg",NEGATIVE,2
@tokiohotel follow,NEGATIVE,10
@tokiohotel follow,POSITIVE,2
A,NEGATIVE,198
A,NEUTRAL,3
A,POSITIVE,38
Aarau,NEGATIVE,1
Aarau,POSITIVE,2
Aarau.,POSITIVE,1
Aarau/Marseille/East Germany,NEUTRAL,1
Abu Dhabi,POSITIVE,1
"Agadir, Maroc",POSITIVE,1
"Aguilas, Región de Murcia",NEGATIVE,6
"Aguilas, Región de Murcia",POSITIVE,3
Aigle,NEGATIVE,69
Aigle,POSITIVE,28
Aigle (Suisse),NEGATIVE,2
Aigle (Suisse),POSITIVE,2
"Aigle, Suisse",NEGATIVE,2
"Aigle, Suisse",POSITIVE,1
Alacant,POSITIVE,2
"Aleksinac, Srbija",NEGATIVE,1
"Aleksinac, Srbija",NEUTRAL,1
"Aleksinac, Srbija",POSITIVE,2
Allemagne,POSITIVE,6
"Alsace, France",NEGATIVE,2
"Alsace, France",POSITIVE,2
Always with Louis,NEGATIVE,1
"Amsterdam, North Holland",NEGATIVE,1
Amélie-Ellysa-Estelle-Ilou-Geo,NEGATIVE,2
Amélie-Ellysa-Estelle-Ilou-Geo,POSITIVE,2
Annecy,NEGATIVE,1
Annecy (France),POSITIVE,1
Annecy (Maison de Savoie),NEGATIVE,1
Annecy (Maison de Savoie),POSITIVE,1
"Annecy, France",POSITIVE,1
"Annecy, Rhône-Alpes",NEGATIVE,1
Annemasse (74),POSITIVE,1
"Aquitaine, France",POSITIVE,1
Arkham,NEGATIVE,38
Arkham,POSITIVE,6
Around the world,POSITIVE,1
"Ascona, Ticino Svizzera",NEGATIVE,1
"Ascona, Ticino Svizzera",NEUTRAL,1
Au Paradis Des Diablesses,NEGATIVE,3
Au Paradis Des Diablesses,POSITIVE,1
Au repere (78),NEGATIVE,1
"Augio, Val Calanca Switzerland",NEGATIVE,1
"Augio, Val Calanca Switzerland",POSITIVE,3
Austrália,POSITIVE,1
Autour de Lausanne,POSITIVE,3
BIOTOPE - ZERO,POSITIVE,1
Baden,NEGATIVE,3
Baden,POSITIVE,3
"Baden, Schweiz",POSITIVE,1
Badisches Exil,POSITIVE,1
Bahrain,POSITIVE,1
Bangkok,POSITIVE,3
Bangkok Thailand,POSITIVE,4
"Bangkok, Thailand",NEUTRAL,1
Barcelona,POSITIVE,1
Barcelona - 1997 - Málaga,NEGATIVE,1
Barcelona-España,POSITIVE,1
Basel,NEGATIVE,71
Basel,NEUTRAL,9
Basel,POSITIVE,330
Basel - Dubai,POSITIVE,1
"Basel City, Switzerland (Bâle)",POSITIVE,2
"Basel, Suiza",NEUTRAL,1
"Basel, Switzerland",NEGATIVE,1
"Basel, Switzerland",POSITIVE,1
Basel-Stadt / Riehen,POSITIVE,1
Basel_bsl,POSITIVE,1
Basilea,NEGATIVE,2
Belfort,NEGATIVE,2
Bellevue,POSITIVE,1
Bellinzona,NEGATIVE,3
Bellinzona,NEUTRAL,1
Bellinzona,POSITIVE,16
"Bellinzona, CH",NEUTRAL,14
"Bellinzona, CH",POSITIVE,2
"Belmont, Switzerland",POSITIVE,1
Berlin,POSITIVE,2
Berlin | Lausanne,POSITIVE,1
Bern,NEGATIVE,167
Bern,NEUTRAL,11
Bern,POSITIVE,405
Bern (Switzerland),POSITIVE,1
Bern - ursprünglich Altstätten,POSITIVE,1
"Bern, Fribourg, Lausanne",NEGATIVE,1
"Bern, Fribourg, Lausanne",POSITIVE,2
"Bern, Schweiz",POSITIVE,1
"Bern, Switzerland",POSITIVE,2
"Bern, Zürich, Basel",POSITIVE,1
Berna,NEGATIVE,1
Berna,POSITIVE,8
Berne,NEGATIVE,3
Berne,POSITIVE,4
"Berne, Switzerland",NEGATIVE,1
"Berne, Switzerland",POSITIVE,3
"Bevaix, Neuchâtel",NEGATIVE,1
"Bevaix, Neuchâtel",POSITIVE,1
Biel,NEGATIVE,1
Biel,NEUTRAL,4
Biel,POSITIVE,10
"Biel, Bern",POSITIVE,3
Biel/Bienne,NEGATIVE,9
Biel/Bienne,POSITIVE,72
"Biel/Bienne, Switzerland",POSITIVE,1
Bienne,NEGATIVE,166
Bienne,NEUTRAL,1
Bienne,POSITIVE,289
Bienne - Bucarest,NEGATIVE,1
Bienne - Bucarest,POSITIVE,2
"Bienne, Suisse",NEGATIVE,16
"Bienne, Suisse",POSITIVE,3
Bikinibottom,NEGATIVE,5
Bikinibottom,POSITIVE,1
"Blonay, Suisse",POSITIVE,1
"Blonay, Vaud",POSITIVE,1
"Bloomington, IN",POSITIVE,1
Bordeaux,NEGATIVE,1
Bordeaux,POSITIVE,3
Bordeaux/Poitiers/Nantes/Paris,NEGATIVE,2
Bordeaux/Poitiers/Nantes/Paris,POSITIVE,4
"Bornival, Belgium",NEGATIVE,1
"Bornival, Belgium",POSITIVE,14
Boston,NEGATIVE,2
Boston,POSITIVE,1
"Bougy-Villars, Switzerland",POSITIVE,1
"Bougy-Villars, Vaud",NEGATIVE,4
"Bougy-Villars, Vaud",POSITIVE,1
Boulogne Billancourt,POSITIVE,2
Bourg-Saint-Maurice,NEGATIVE,10
Bourg-Saint-Maurice,POSITIVE,8
Bourges,POSITIVE,1
Bourgogne,NEGATIVE,1
Bourgogne,POSITIVE,3
Bouveret Suisse,POSITIVE,5
Bretagne,NEGATIVE,1
Bretagne,POSITIVE,4
Bretagne et un peu partout✌️,POSITIVE,1
Brig,NEGATIVE,1
Brig,NEUTRAL,1
Brig,POSITIVE,2
"Brou, Centre",NEGATIVE,1
"Brou, Centre",POSITIVE,1
Brugg,NEGATIVE,10
Brugg,POSITIVE,17
"Brussels, Belgium",POSITIVE,1
Bruxelles,NEGATIVE,1
Bruxelles,POSITIVE,2
Bruxelles / Cotonou,NEGATIVE,2
"Buchrain, Switzerland",POSITIVE,3
Bulle,NEGATIVE,50
Bulle,POSITIVE,151
"Bulle, Switzerland",NEGATIVE,1
Bâle,NEGATIVE,11
Bâle,POSITIVE,22
"Bâle, Suisse",NEGATIVE,7
"Bâle, Suisse",POSITIVE,8
"Bärn, Bienne",NEGATIVE,1
"Bärn, Bienne",POSITIVE,3
"Bémont, Neuchâtel Suisse",NEGATIVE,3
"Bémont, Neuchâtel Suisse",POSITIVE,4
CALI,POSITIVE,2
CH,NEGATIVE,293
CH,NEUTRAL,9
CH,POSITIVE,259
CH Nidau Suisse,POSITIVE,5
CH ✈,POSITIVE,3
"CH, FR",NEGATIVE,1
"CH, FR",POSITIVE,6
"Caen, France",NEGATIVE,1
"Cambrai, Nord-Pas-de-Calais",NEGATIVE,2
"Cambrai, Nord-Pas-de-Calais",NEUTRAL,1
Cambridge,POSITIVE,1
Caminando hacia la meta,NEUTRAL,1
Canada,POSITIVE,1
Carouge (GE),POSITIVE,1
Carouge GE,POSITIVE,6
"Carouge, GE, Suisse",NEGATIVE,2
"Carouge, GE, Suisse",NEUTRAL,1
"Carouge, GE, Suisse",POSITIVE,6
"Cartigny, Genève",NEGATIVE,5
Central City,NEGATIVE,3
Central City,POSITIVE,4
"Chambéry, FR / Manchester, UK",NEGATIVE,6
"Chambéry, FR / Manchester, UK",POSITIVE,2
Chamonix Mont Blanc,POSITIVE,1
"Champéry, Valais",POSITIVE,1
Charmey,POSITIVE,1
"Charmey, Suisse",POSITIVE,2
Charmilles,NEGATIVE,4
Charmilles,POSITIVE,3
Chatham/United Kingdom,POSITIVE,1
Chaux-de-Fonds,NEGATIVE,5
Chaux-de-Fonds,POSITIVE,2
"Chexbres, Vaud",NEGATIVE,5
"Chexbres, Vaud",POSITIVE,12
"Chicago, IL",NEGATIVE,1
"Chicago, IL",POSITIVE,4
Chiraq - Pakiraq - Englewood,NEGATIVE,2
Chur,NEGATIVE,2
Chur,POSITIVE,4
"Chur, Graubünden",POSITIVE,1
"Chur, Graubünden, Schweiz",NEGATIVE,1
Château l'Abb,POSITIVE,1
Châteauneuf Du Rhône,NEGATIVE,1
Châtelaine - Genève,POSITIVE,1
"Chãtelaine, Vernier, Genève",NEGATIVE,1
"Chãtelaine, Vernier, Genève",POSITIVE,4
Cité de Calvin & Novum Castrum,NEGATIVE,45
Cité de Calvin & Novum Castrum,POSITIVE,58
Clarens Suisse,POSITIVE,1
"Colombes, Ile-de-France",NEGATIVE,1
"Columbus, OH",POSITIVE,1
Confoederatio Helvetica,NEGATIVE,1
Confoederatio Helvetica,NEUTRAL,1
Confoederatio Helvetica,POSITIVE,1
Confédération Helvétique,POSITIVE,1
Conthey,NEGATIVE,4
Conthey,POSITIVE,14
"Conthey, Valais",NEGATIVE,66
"Conthey, Valais",POSITIVE,15
"Cousset, district de la Broye",POSITIVE,1
Coventry,POSITIVE,1
