source_location,sentiment,0
# Switzerland #Valais,POSITIVE,4
"#Chateauform-Champéry, Suissey",NEGATIVE,2
"#Chateauform-Champéry, Suissey",POSITIVE,5
#TeamMinaj #TeamTinashe,NEGATIVE,14
#TeamMinaj #TeamTinashe,POSITIVE,6
#Tours,NEGATIVE,1
#Tours,POSITIVE,1
"'Ragusa' District, Switzerland",POSITIVE,3
(JEAN 3;8 ) GENEVE,NEGATIVE,18
(JEAN 3;8 ) GENEVE,POSITIVE,8
(here),NEUTRAL,3
***Karless,NEGATIVE,27
***Karless,POSITIVE,48
+65,POSITIVE,2
- Genève,NEGATIVE,8
- Genève,POSITIVE,4
.::MDX STREET::. SWITZERLAND,POSITIVE,6
".fr, .be, .ch, .eu | Lausanne",NEGATIVE,21
".fr, .be, .ch, .eu | Lausanne",POSITIVE,57
"1006, Lausanne, Suisse",POSITIVE,6
"1012 Lausanne, Switzerland",POSITIVE,2
"1095 Lutry, Suisse",NEGATIVE,1
"1095 Lutry, Suisse",POSITIVE,3
"11, ch. Delay, 1214 Vernier",POSITIVE,2
"1110 Morges, Suisse",NEGATIVE,1
"1110 Morges, Suisse",POSITIVE,2
1205 Geneve,POSITIVE,1
"13 (Augsburg), 4254 (Neuburg)",POSITIVE,1
"1337 Vallorbe, Schweiz",NEUTRAL,2
1807 Blonay / Suisse,POSITIVE,1
"1860 Aigle, Switzerland",POSITIVE,1
"1907 Saxon, Suisse",NEGATIVE,1
"1907 Saxon, Suisse",POSITIVE,6
1920 Martigny / VS,POSITIVE,4
"1963 Vétroz, Switzerland",POSITIVE,2
1968 Mase Suisse,NEGATIVE,9
1968 Mase Suisse,POSITIVE,39
"1997 Haute-Nendaz, Suisse",POSITIVE,3
2034,NEGATIVE,16
2034,POSITIVE,9
"21 rue de Monthoux, Geneve",POSITIVE,28
"221b, Baker Street.",POSITIVE,1
"237 Route des Fayards, Versoix",POSITIVE,1
2718 Lajoux,NEGATIVE,7
2718 Lajoux,POSITIVE,11
2950 Courgenay,POSITIVE,1
"2m2c, Montreux, Suisse",NEGATIVE,10
"2m2c, Montreux, Suisse",POSITIVE,38
"3, rue du Levant, 1201 Genève",NEGATIVE,1
"3, rue du Levant, 1201 Genève",POSITIVE,30
34,NEGATIVE,6
34,POSITIVE,2
"35 rue du Simplon, Lausanne",POSITIVE,2
"3800 Interlaken, Switzerland",NEGATIVE,8
"3800 Interlaken, Switzerland",POSITIVE,11
"39800 Poligny, Jura, France",POSITIVE,1
"3rd rock from sol, Menzingen",POSITIVE,1
4/6 ; AG ; SG,NEGATIVE,9
4/6 ; AG ; SG,NEUTRAL,6
4/6 ; AG ; SG,POSITIVE,13
46.1833 6.125,NEGATIVE,1
46.1833 6.125,POSITIVE,1
"46.193268,6.199111",POSITIVE,1
"46.198818,6.091466",NEGATIVE,11
"46.198818,6.091466",POSITIVE,9
"46.464697,6.869727",NEGATIVE,3
"46.464697,6.869727",POSITIVE,3
"46.519226,6.639824",POSITIVE,1
"46.530002,6.621964",POSITIVE,2
"46.801236,7.146669",NEGATIVE,8
"46.801236,7.146669",POSITIVE,18
"46.996904,6.934439",POSITIVE,7
"47.419852,9.370023",POSITIVE,2
"47.46967,7.805795",POSITIVE,1
575km / 106km,NEGATIVE,18
575km / 106km,POSITIVE,4
"5h, ddl, ag, tk, NYD, 1D, t100",NEGATIVE,1
"6 rue du Pré Jérôme, Genève",POSITIVE,2
6230.500,NEGATIVE,16
6230.500,POSITIVE,7
81200,NEGATIVE,1
84,POSITIVE,1
"8800 Thalwil, Schweiz",NEUTRAL,9
@Harry_Styles,NEGATIVE,4
"@coldplay 110616, Zurigo",POSITIVE,2
"@ya mama's house, Switzerland",NEGATIVE,15
"@ya mama's house, Switzerland",NEUTRAL,2
"@ya mama's house, Switzerland",POSITIVE,11
A Rouen pour le moment :-),POSITIVE,1
AD ♥,POSITIVE,4
AG,NEUTRAL,1
"AG , LM , 1D",NEUTRAL,1
"AG , organisation privée",NEGATIVE,205
"AG , organisation privée",NEUTRAL,4
"AG , organisation privée",POSITIVE,80
"AG, MO",NEUTRAL,1
"AG,1D,5H,TVD,Ü",NEGATIVE,1
"AG,1D,5H,TVD,Ü",NEUTRAL,2
AI,POSITIVE,2
AOR,NEUTRAL,1
