source_location,sentiment,0
#Barcelona,POSITIVE,1
#Brussels,POSITIVE,1
"#Chateauform-Champéry, Suissey",NEGATIVE,5
"#Chateauform-Champéry, Suissey",POSITIVE,6
#JetSetLife✈️,POSITIVE,2
#TeamMinaj #TeamTinashe,NEGATIVE,6
#TeamMinaj #TeamTinashe,POSITIVE,2
#taken #study,NEUTRAL,1
(JEAN 3;8 ) GENEVE,NEGATIVE,19
(JEAN 3;8 ) GENEVE,NEUTRAL,1
(JEAN 3;8 ) GENEVE,POSITIVE,10
***Karless,NEGATIVE,4
***Karless,NEUTRAL,1
***Karless,POSITIVE,9
",Schweiz",POSITIVE,1
- Genève,NEGATIVE,17
- Genève,NEUTRAL,1
- Genève,POSITIVE,8
.::MDX STREET::. SWITZERLAND,POSITIVE,1
".fr, .be, .ch, .eu | Lausanne",NEGATIVE,9
".fr, .be, .ch, .eu | Lausanne",POSITIVE,10
.الشرقية,POSITIVE,1
"1006, Lausanne, Suisse",POSITIVE,15
"1012 Lausanne, Switzerland",NEGATIVE,2
"1012 Lausanne, Switzerland",POSITIVE,3
"1095 Lutry, Suisse",POSITIVE,1
"11, ch. Delay, 1214 Vernier",POSITIVE,3
"1110 Morges, Suisse",POSITIVE,5
"1187 St-Oyens, Suisse",POSITIVE,1
"1200 19th St., NW",POSITIVE,1
1203,POSITIVE,1
"1337 Vallorbe, Schweiz",NEGATIVE,1
"1337 Vallorbe, Schweiz",POSITIVE,1
1544 Gletterens (Suisse ),NEGATIVE,1
"1860 Aigle, Switzerland",POSITIVE,3
"1907 Saxon, Suisse",POSITIVE,5
1920 Martigny / VS,NEGATIVE,2
1920 Martigny / VS,POSITIVE,3
1936 Verbier,POSITIVE,1
"1963 Vétroz, Switzerland",POSITIVE,3
1968 Mase Suisse,NEGATIVE,5
1968 Mase Suisse,NEUTRAL,1
1968 Mase Suisse,POSITIVE,47
"1997 Haute-Nendaz, Suisse",POSITIVE,1
"2001 Neuchâtel, Switzerland",NEGATIVE,2
"2001 Neuchâtel, Switzerland",POSITIVE,6
2034,NEGATIVE,6
2034,POSITIVE,1
"21 rue de Monthoux, Geneve",POSITIVE,18
25 Rue du Perron 1204 Genève,POSITIVE,3
"25, rue Münster Luxembourg",NEGATIVE,1
2718 Lajoux,NEGATIVE,1
2718 Lajoux,POSITIVE,6
28fevrier2012 P❤️,NEGATIVE,4
28fevrier2012 P❤️,POSITIVE,2
"2m2c, Montreux, Suisse",NEGATIVE,6
"2m2c, Montreux, Suisse",POSITIVE,33
"3125 Toffen, Switzerland",NEGATIVE,1
"3125 Toffen, Switzerland",POSITIVE,1
"35 rue du Simplon, Lausanne",POSITIVE,2
"3800 Interlaken, Switzerland",NEGATIVE,3
"3800 Interlaken, Switzerland",POSITIVE,24
"39800 Poligny, Jura, France",NEGATIVE,1
"39800 Poligny, Jura, France",POSITIVE,1
"3rd rock from sol, Menzingen",NEGATIVE,1
"3rd rock from sol, Menzingen",POSITIVE,2
4/6 ; AG ; SG,NEGATIVE,5
4/6 ; AG ; SG,NEUTRAL,6
4/6 ; AG ; SG,POSITIVE,7
"40.427795,-3.686308",POSITIVE,1
"41.570042,2.002116",POSITIVE,1
"43, Route des Acacias | Genève",POSITIVE,3
"45.862832,6.142899",POSITIVE,1
"46.464697,6.869727",NEGATIVE,1
"46.464697,6.869727",POSITIVE,2
"46.519226,6.639824",POSITIVE,6
"46.530002,6.621964",POSITIVE,3
"46.801236,7.146669",NEGATIVE,4
"46.801236,7.146669",POSITIVE,11
"46.996904,6.934439",NEGATIVE,4
"46.996904,6.934439",POSITIVE,5
"47.111425,6.830974",NEGATIVE,3
"47.111425,6.830974",NEUTRAL,1
"47.111425,6.830974",POSITIVE,4
"47.155783,7.275922",POSITIVE,1
"47.882639,7.05636",POSITIVE,1
53 route de Suisse-1295 Mies,NEGATIVE,9
53 route de Suisse-1295 Mies,POSITIVE,39
"5h, ddl, ag, tk, NYD, 1D, t100",NEGATIVE,1
"5h, ddl, ag, tk, NYD, 1D, t100",NEUTRAL,1
"6 rue du Pré Jérôme, Genève",NEGATIVE,2
6230.500,NEGATIVE,9
6230.500,POSITIVE,1
78,POSITIVE,1
8 Ball Pool ID: 127-225-586-6,POSITIVE,1
81200,NEUTRAL,1
85100 les sables d olonne,POSITIVE,1
"8800 Thalwil, Schweiz",NEUTRAL,1
@Lausanne - Switzerland,POSITIVE,2
"@ya mama's house, Switzerland",NEGATIVE,12
"@ya mama's house, Switzerland",POSITIVE,5
A Coruña,POSITIVE,2
AG,NEUTRAL,2
AG,POSITIVE,1
"AG , organisation privée",NEGATIVE,256
"AG , organisation privée",NEUTRAL,5
"AG , organisation privée",POSITIVE,112
"AG,Melaka - Seremban,NS",NEGATIVE,1
AI,NEGATIVE,1
AI,POSITIVE,2
AMSTERDAM!!!!,POSITIVE,1
"ARAU, PERLIS",NEGATIVE,1
Aarau,NEGATIVE,1
