"Luzern","NEUTRAL","2533"
"Safenwil, Schweiz","NEUTRAL","13"
"Sattel, Schweiz","POSITIVE","143"
"Thalwil / Zurich, Switzerland","NEUTRAL","33"
"Fribourg/Freiburg, Switzerland","NEUTRAL","18"
"Joinville SC","NEUTRAL","6"
"Ehrendingen, Switzerland","NEUTRAL","9"
"Aarau.","NEUTRAL","21"
"Zürich,Seebach","NEUTRAL","11"
"Grisons, Switzerland","NEUTRAL","1"
"Switzerland,Zurich","NEUTRAL","4"
"Mering","NEUTRAL","1"
"Sargans, Switzerland","POSITIVE","1"
"İzmit, Kocaeli","NEUTRAL","2"
"Laufen BL, Schweiz","NEUTRAL","2"
"Volkshaus, Aarau","NEUTRAL","1"
"Zürich, Basel, Winterthur, Zug","POSITIVE","1"
"bangkok thailand","NEUTRAL","1"
"St-Maurice, Suisse","NEUTRAL","1"
"Chur (Switzerland)","NEUTRAL","1"
"Rolle, Suisse","NEUTRAL","5"
"Freiburg","NEUTRAL","2"
"Chiasso, Ticino","NEUTRAL","1"
"Switzerland","POSITIVE","2568"
"Walenstadt","NEUTRAL","38"
"Eschenz, Schweiz","NEUTRAL","15"
"Luzern / Emmenbrücke","NEUTRAL","4"
"Obergösgen","NEUTRAL","8"
"Unterägeri, Schweiz","NEUTRAL","15"
"Dulliken, Schweiz","NEUTRAL","3"
"MADRID","NEUTRAL","1"
"Zürich, Lagos, on the road ...","NEUTRAL","2"
"Kanton Bern CH","POSITIVE","6"
"Glattbrugg","POSITIVE","1"
"Bolligen, Schweiz","NEUTRAL","2"
"Baar, CH","POSITIVE","5"
"Kriens, Luzern, Schweiz","NEUTRAL","17"
"Switzerland, Zurich Aera","NEUTRAL","12"
"Uster","POSITIVE","2"
"schweiz/zh - schalkermarkt","NEUTRAL","6"
"Zuerich, CH","NEUTRAL","1"
"Kriens, Schweiz","POSITIVE","4"
"Pratteln, Schweiz","POSITIVE","4"
"Augustinergasse 9","NEUTRAL","4"
"3400 11th Street, NW","NEUTRAL","1"
"Speicher AR, Schweiz","NEGATIVE","1"
"Grabs","NEUTRAL","2"
"Dietikon","NEGATIVE","1"
"Washington DC","NEUTRAL","1"
"Malibu, Montréal, Varese","NEUTRAL","1"
"Freiburg im Breisgau, Baden-Württemberg","NEUTRAL","7"
"Chur, Lachen, St.Moritz","NEUTRAL","1"
"Nyon","NEUTRAL","3"
"Winterthur","POSITIVE","68"
"Definitly not next to you","NEUTRAL","92"
"Greifensee, Switzerland","NEUTRAL","9"
"Arisdorf","NEUTRAL","3"
"Ostholstein, SH, Germany","NEGATIVE","1"
"the hive, switzerland","POSITIVE","2"
"Ber(li)n, Switzerland","NEUTRAL","31"
"Engelberg, Switzerland","NEUTRAL","27"
"جنيف","NEUTRAL","1"
"Arau, Perlis","NEUTRAL","6"
"Jona SG","NEUTRAL","6"
"Kerzers, Freiburg","POSITIVE","1"
"rüthi","NEUTRAL","8"
"Pennsylvania","NEUTRAL","1"
"Locarno, Svizzera","NEUTRAL","2"
"Nidau, Schweiz","POSITIVE","4"
"Valposchiavo (GR), Switzerland","NEUTRAL","2"
"Grindelwald | Switzerland","NEUTRAL","6"
"Zürich & Basel","POSITIVE","2"
"switzerland; planet jeds","NEUTRAL","1"
"Bern 72, Switzerland","POSITIVE","74"
"genelde Türkiye","NEUTRAL","1"
"Gruet (Gossau ZH), Switzerland","NEUTRAL","36"
"Basel (Switzerland)","NEUTRAL","5"
"Zug, Switzerland","POSITIVE","8"
"9473 Gams","NEUTRAL","2"
"winterthur, ch","NEUTRAL","11"
"Luthern, Schweiz","NEUTRAL","4"
"Sursee","POSITIVE","2"
"Effingen, Switzerland","NEUTRAL","4"
"Monte, Baires.","NEUTRAL","1"
"Oberdorf","NEUTRAL","1"
"St. Louis","NEUTRAL","2"
"Algarve-Portugal","NEUTRAL","1"
"Ettingen, Schweiz","POSITIVE","1"
"Pfäffikon, SZ","POSITIVE","1"
