"Luzern","NEUTRAL","1533"
"Switzerland","POSITIVE","904"
"Uster","POSITIVE","6"
"Winterthur","POSITIVE","35"
"Sursee","POSITIVE","1"
"Meilen","NEUTRAL","3"
"Baden","NEUTRAL","690"
"Saanen","NEUTRAL","21"
"Svajcarska","NEUTRAL","1"
"Waldenburg","NEUTRAL","443"
"Frauenfeld","NEUTRAL","214"
"Willisau","NEUTRAL","2"
"スイス","NEUTRAL","4"
"Biel","POSITIVE","1"
"Lausanne","NEUTRAL","291"
"Buchs","NEUTRAL","12"
"Zurigo","POSITIVE","1"
"Swiss","NEUTRAL","1111"
"Thun","NEUTRAL","180"
"Bülach","POSITIVE","5"
"Arlesheim","POSITIVE","1"
"Horgen","POSITIVE","1"
"Arbon","NEUTRAL","10"
"Stans","NEUTRAL","40"
"Hochdorf","NEGATIVE","1"
"Schwyz","NEUTRAL","26"
"Kreuzlingen","NEUTRAL","20"
"Chur","NEUTRAL","537"
"Sankt Gallen","NEUTRAL","555"
"Brig","POSITIVE","1"
"Altdorf","POSITIVE","1"
"Schweiz","POSITIVE","876"
"Switzerland","NEGATIVE","61"
"Romanshorn","NEUTRAL","8"
"Winterthur","NEGATIVE","6"
"Geneva","NEUTRAL","111"
"Zürich","POSITIVE","489"
"Schmerikon","NEUTRAL","1"
"St. Gallen","POSITIVE","238"
"Delémont","NEUTRAL","1"
"Suiza","NEUTRAL","5"
"Interlaken","NEUTRAL","285"
"Brugg","NEUTRAL","5"
"Bremgarten","NEUTRAL","45"
"Hinwil","NEUTRAL","9"
"Biel/Bienne","POSITIVE","3"
"Zuerich","NEUTRAL","164"
"Fribourg","POSITIVE","1"
"CH","POSITIVE","41"
"Apples","NEUTRAL","1"
"Olten","NEUTRAL","195"
"Schweiz","NEGATIVE","81"
"Liestal","NEUTRAL","214"
"Zofingen","NEUTRAL","86"
"Suisse","POSITIVE","3"
"Monthey","NEUTRAL","1"
"Glarus","NEUTRAL","34"
"Lucerne","NEUTRAL","385"
"Einsiedeln","POSITIVE","1"
"Altdorf","NEUTRAL","107"
"Svizzera","NEUTRAL","4"
"Rheinfelden","POSITIVE","3"
"Aarau","POSITIVE","10"
"Zermatt","POSITIVE","1"
"Affoltern am Albis","NEUTRAL","4"
"Genève","NEGATIVE","1"
"Laufenburg","NEUTRAL","42"
"Dielsdorf","NEUTRAL","3"
"Luzern","POSITIVE","22"
"St. Gallen","NEGATIVE","22"
"Baden","POSITIVE","31"
"Pfäffikon","NEUTRAL","6"
"Lenzburg","NEUTRAL","275"
"Zürich","NEUTRAL","21525"
"Frutigen","NEUTRAL","14"
"Waldenburg","POSITIVE","3"
"Frauenfeld","POSITIVE","1"
"Suïssa","NEUTRAL","3"
"スイス","POSITIVE","1"
"Schüpfheim","NEUTRAL","6"
"Appenzell","NEUTRAL","6"
"Lausanne","POSITIVE","6"
"CH","NEGATIVE","6"
"Bienne","NEUTRAL","3"
"Swiss","POSITIVE","2"
"Basel","NEUTRAL","7174"
"Thun","POSITIVE","12"
"Samedan","NEUTRAL","4"
"Marly","NEUTRAL","1"
"Weinfelden","NEUTRAL","25"
"Visp","NEUTRAL","72"
"Bellinzona","NEUTRAL","34"
"Aarau","NEGATIVE","2"
"Chur","POSITIVE","17"
"Sankt Gallen","POSITIVE","19"
"Bern","NEUTRAL","7331"
"Zurich","NEUTRAL","4259"
"Leuk","NEUTRAL","2"
"Baden","NEGATIVE","1"
"Geneva","POSITIVE","1"
"Herisau","NEUTRAL","77"
"Waldenburg","NEGATIVE","1"
"Solothurn","POSITIVE","12"
"Raron","NEUTRAL","6"
"Payerne","NEUTRAL","1"
"Confoederatio Helvetica","NEUTRAL","7"
"Lausanne","NEGATIVE","1"
"Schenkon","NEUTRAL","314"
"Swiss","NEGATIVE","4"
"Berna","NEUTRAL","21"
"Scuol","NEUTRAL","8"
"Lucerna","NEUTRAL","1"
"Thun","NEGATIVE","1"
"Münchwilen","NEUTRAL","3"
"Zuerich","POSITIVE","11"
"Chur","NEGATIVE","1"
"Olten","POSITIVE","11"
"Suíça","NEUTRAL","4"
"Zwitserland","NEUTRAL","7"
"Wangen an der Aare","NEUTRAL","1"
"Zofingen","POSITIVE","3"
"Liestal","POSITIVE","1"
"Hochdorf","NEUTRAL","78"
"Steckborn","NEUTRAL","1"
"Lucerne","POSITIVE","3"
"Glarus","POSITIVE","1"
"Geneva","NEGATIVE","1"
"Amden","NEUTRAL","3"
"Switzerland","NEUTRAL","26423"
"Uster","NEUTRAL","103"
"Winterthur","NEUTRAL","1131"
"Sursee","NEUTRAL","32"
"Wengen","NEUTRAL","5"
"Neuchâtel","POSITIVE","1"
"Solothurn","NEUTRAL","348"
"Andelfingen","NEUTRAL","2"
"Lenzburg","POSITIVE","4"
"Biel","NEUTRAL","155"
"Sarnen","NEUTRAL","37"
"Zurigo","NEUTRAL","64"
"Schüpfheim","POSITIVE","2"
"Lugano","NEUTRAL","57"
"Zuerich","NEGATIVE","3"
"Bad Zurzach","NEUTRAL","17"
"Genf","NEUTRAL","37"
"Olten","NEGATIVE","1"
"Bülach","NEUTRAL","128"
"Gersau","NEUTRAL","2"
"Arlesheim","NEUTRAL","10"
"Horgen","NEUTRAL","11"
"Schaffhausen","POSITIVE","55"
"Basel","POSITIVE","195"
"Weinfelden","POSITIVE","2"
"Visp","POSITIVE","1"
"Brig","NEUTRAL","303"
"Schweiz","NEUTRAL","39578"
"Helvetia","NEUTRAL","2"
"Bern","POSITIVE","191"
"Zurich","POSITIVE","179"
"Leuk","POSITIVE","1"
"Zürich","NEGATIVE","26"
"Herisau","POSITIVE","3"
"Genève","NEUTRAL","56"
"Laufen","NEUTRAL","31"
"Neuchâtel","NEUTRAL","46"
"St. Gallen","NEUTRAL","1447"
"Schenkon","POSITIVE","2"
"Geneve","NEUTRAL","5"
"Basel","NEGATIVE","3"
"Biel/Bienne","NEUTRAL","83"
"Fribourg","NEUTRAL","473"
"CH","NEUTRAL","1351"
"Schaffhausen","NEUTRAL","1319"
"Suisse","NEUTRAL","278"
"Sissach","NEUTRAL","1"
"Einsiedeln","NEUTRAL","37"
"Rheinfelden","NEUTRAL","37"
"Bern","NEGATIVE","18"
"Zurich","NEGATIVE","12"
"İsviçre","NEUTRAL","4"
"Hochdorf","POSITIVE","14"
"Aarau","NEUTRAL","465"
"Zermatt","NEUTRAL","48"
