"Luzern","NEUTRAL","304"
"Sattel, Schweiz","POSITIVE","20"
"Chur (Switzerland)","NEUTRAL","1"
"Thalwil / Zurich, Switzerland","NEUTRAL","6"
"Aarau.","NEUTRAL","1"
"Urdorf, Zürich, Schweiz","POSITIVE","1"
"Switzerland","POSITIVE","331"
"Obergösgen","NEUTRAL","1"
"Eschenz, Schweiz","NEUTRAL","5"
"Luzern / Emmenbrücke","NEUTRAL","1"
"schweiz/zh - schalkermarkt","NEUTRAL","1"
"Southern California U.S.A.","NEUTRAL","1"
"Walenstadt","NEUTRAL","6"
"Zuerich, CH","NEUTRAL","1"
"Pratteln, Schweiz","POSITIVE","2"
"Unterägeri, Schweiz","NEUTRAL","1"
"Winterthur","POSITIVE","12"
"Jona SG","NEUTRAL","14"
"Greifensee, Switzerland","NEUTRAL","2"
"Grindelwald | Switzerland","NEUTRAL","1"
"rüthi","NEUTRAL","1"
"Schweiz, Suisse, Switzerland","POSITIVE","1"
"Ber(li)n, Switzerland","NEUTRAL","1"
"Sursee","POSITIVE","1"
"Bern 72, Switzerland","POSITIVE","5"
"Gruet (Gossau ZH), Switzerland","NEUTRAL","2"
"winterthur, ch","NEUTRAL","1"
"Zug, Switzerland","POSITIVE","1"
"Baden","NEUTRAL","256"
"Saanen","NEUTRAL","4"
"Seegräben","NEUTRAL","1"
"SWITZERLAND, zurich","NEUTRAL","2"
"Freienbach, Schweiz","NEUTRAL","1"
"Meilen","NEUTRAL","1"
"Zürich, Basel","POSITIVE","1"
"Horw","NEUTRAL","1"
"Lucerne, Switzerland","NEUTRAL","514"
"Gstaad, Switzerland","NEUTRAL","1"
"Safenwil","NEUTRAL","3"
"Baden, Aargau","NEUTRAL","4"
"Uerikon","NEUTRAL","1"
"Oftringen, Switzerland","NEUTRAL","1"
"Münchenstein","NEUTRAL","4"
"Münchwilen (TG), Schweiz","NEUTRAL","1"
"Luzern, Zürich","NEUTRAL","1"
"Schweiz, Aargau","POSITIVE","19"
"Wetzikon ZH, Switzerland","NEUTRAL","1"
"sleep: basel | work: zürich |","NEUTRAL","4"
"Bern, Fribourg, Lausanne","NEUTRAL","8"
"Erlinsbach SO, Switzerland","NEUTRAL","3"
"Bern, 20 Meter ü. Aare","POSITIVE","2"
"Bern, Weinfelden","NEUTRAL","2"
"Malans, Zürich, Alvaneu Dorf","NEUTRAL","2"
"Weiningen ZH","NEUTRAL","1"
"suisse","NEUTRAL","2"
"Zug & Zürich, Switzerland","NEUTRAL","1"
"Switzerland, Aargau","NEUTRAL","2"
"Sachseln, Switzerland","NEUTRAL","1"
"Greifensee, Schweiz","NEUTRAL","1"
"Waldenburg","NEUTRAL","13"
"Chur, Graubünden","NEUTRAL","9"
"Berikon, Schweiz","NEUTRAL","3"
"Zofingen, Switzerland","NEUTRAL","12"
"St.Gallen, CH","POSITIVE","3"
"Winterthur, Zürich, Wädenswil","NEUTRAL","3"
"Trabzon, İsviçre","NEUTRAL","7"
"South East, England","NEUTRAL","1"
"Zurich, Swizerland","NEUTRAL","1"
"Brienz","NEUTRAL","128"
"Frauenfeld","NEUTRAL","67"
"Willisau","NEUTRAL","2"
"Bennwil, Switzerland","NEUTRAL","1"
"Berne, Switzerland","POSITIVE","18"
"Rome - Rieti","NEUTRAL","1"
"Zurich, Berne","POSITIVE","5"
"Frick, Aargau, Switzerland","NEUTRAL","1"
"スイス","NEUTRAL","1"
"Termen, Wallis /Zwitserland","NEUTRAL","1"
"Val Terbi, Switzerland","POSITIVE","1"
"Luzern, Alpnach, Sarnen","POSITIVE","2"
"Zürich, Schweiz, Multikultopia","NEUTRAL","5"
"Team Rocket HQ","NEUTRAL","1"
"Borlänge","NEUTRAL","1"
"Berlin/Zürich","NEUTRAL","1"
"Lausanne","NEUTRAL","38"
"Schweiz, Wallisellen","NEUTRAL","3"
"Switzerland, Valais","NEUTRAL","12"
"Villigen, Schweiz","NEUTRAL","1"
"spiez","NEUTRAL","4"
"None","NEGATIVE","2"
"Social Media : @FawwazAlenezi","NEUTRAL","2"
"Bollwerk, Bern","NEUTRAL","1"
"Hünenberg, Switzerland","NEUTRAL","10"
"Coimbra","NEUTRAL","1"
"Bern, Luzern - Welt","NEUTRAL","6"
"Cunter, Svizra","NEUTRAL","1"
"Halifax/Manchester","NEUTRAL","1"
"Zernez","NEUTRAL","10"
"Sankt Gallen, Sankt Gallen","POSITIVE","2"
"Lausen","NEUTRAL","2"
"Wil, Schweiz","NEUTRAL","15"
"sursee, kanton luzern, schweiz","POSITIVE","4"
"Allschwil","NEUTRAL","2"
"Geneva, CH","NEUTRAL","2"
"Schwyz, Schweiz","NEUTRAL","2"
"Wädenswil, Switzerland","NEUTRAL","1"
"Buchs","NEUTRAL","1"
"Basel/Zürich","NEUTRAL","1"
"Fällanden","NEUTRAL","1"
"Saudi Arabia","NEUTRAL","1"
"zurich, switzerland","NEUTRAL","11"
"bern, Switzerland","NEUTRAL","13"
"Switzerland - 35000 ft - Hong Kong","POSITIVE","4"
"Swiss","NEUTRAL","282"
"Basel-Country, Switzerland","NEUTRAL","25"
"Disentis, Graubünden, Schweiz","NEUTRAL","3"
"Basel, Helvetia","NEUTRAL","2"
"luzern","NEUTRAL","14"
"Earth","NEUTRAL","21"
"Regensdorf, Zürich","POSITIVE","1"
"World","NEUTRAL","3"
"Pratteln","NEUTRAL","4"
"Bönigen; Bernese Oberland","NEUTRAL","4"
"Oberwil BL","NEUTRAL","2"
"Wädenswil","POSITIVE","1"
"♡","NEUTRAL","1"
"A'dam","NEUTRAL","1"
"Thonex, Genf","NEUTRAL","2"
"Lyss, Schweiz","POSITIVE","1"
"Thun","NEUTRAL","54"
"Hettlingen, Schweiz","NEUTRAL","35"
"Thurgau, Switzerland","NEUTRAL","7"
"Visp, Switzerland","NEUTRAL","6"
"İstanbul","NEUTRAL","8"
"Weesen","NEUTRAL","2"
"Gotthard Base Tunnel, Swiss","NEUTRAL","2"
"Wetzikon","NEGATIVE","1"
"Zürich, Bäckeranlage","NEUTRAL","3"
"Altstaetten","NEUTRAL","1"
"Berne, CH","NEUTRAL","1"
"Brasil","NEUTRAL","1"
"Halle (Saale); Deutschland","NEUTRAL","3"
"گعبه المضـيوم | Qatar","NEUTRAL","1"
"Sursee, Luzern, Schweiz","NEUTRAL","8"
"8546 Islikon, Thurgau","NEUTRAL","6"
"Zug","NEGATIVE","1"
"Suisse, Fribourg","NEUTRAL","1"
"BSBS","NEUTRAL","1"
"Muhen","NEUTRAL","80"
"Bundesstadt","NEUTRAL","2"
"Bülach","POSITIVE","3"
"Kandersteg, Bern","NEUTRAL","2"
"Schweiz, Aargau,Boniswil","NEUTRAL","2"
"Emmenbrücke, Switzerland","NEUTRAL","1"
"Grenchen, Schweiz","NEUTRAL","1"
"Zürich, Schweiz","NEUTRAL","728"
"Rheineck, Switzerland","NEUTRAL","8"
"Basel, Schweiz","POSITIVE","4"
"Gossau (ZH), Zürich","NEGATIVE","1"
"Hohenrain","NEUTRAL","1"
"Schlieren, Schweiz","POSITIVE","2"
"Herisau, Switzerland","NEUTRAL","1"
"Cholula, Puebla","NEUTRAL","4"
"Zürich/Switzerland","NEUTRAL","2"
"Gosau","POSITIVE","1"
"Bar","NEUTRAL","1"
"Freiburg, Schweiz","NEUTRAL","23"
"Münsingen, Schweiz","NEUTRAL","9"
"Luzern, Adligenswil","NEUTRAL","2"
"Worb, Schweiz","NEUTRAL","1"
"Teufen, AR, Schweiz","NEUTRAL","2"
"zürich","POSITIVE","1"
"Kloten, Switzerland","NEUTRAL","3"
"Sydney, Australia.","NEUTRAL","1"
"Zuoz","NEUTRAL","1"
"kuningan,jawa barat","NEUTRAL","1"
"Stans","NEUTRAL","10"
"Saas-Grund","NEUTRAL","1"
"mostly Switzerland","NEUTRAL","1"
"Sion,Suisse","NEUTRAL","1"
"Thunstetten, Schweiz","NEUTRAL","1"
"Kreuzlingen","NEUTRAL","3"
"Schweiz, Deutschland","NEUTRAL","26"
"Zurich, SWI","NEUTRAL","1"
"Palermo","NEUTRAL","1"
"Schwyz","NEUTRAL","4"
"Steffisburg","POSITIVE","2"
"Switzerland, Zürich","NEUTRAL","3"
"Weinfelden, Thurgau, Schweiz","NEUTRAL","1"
"Sierre, Suisse","NEUTRAL","1"
"Swiss eGovernment Forum, Bern","NEUTRAL","3"
"Gipf-Oberfrick, Switzerland","NEUTRAL","1"
"Matzingen, Thurgau","NEUTRAL","3"
"Waltenschwil","NEUTRAL","1"
"Schweiz, Buchrain","NEUTRAL","14"
"#glp Bezirk Baden, Aargau, CH","NEUTRAL","2"
"Switzerland, quite often","NEUTRAL","1"
"Boston, MA","NEUTRAL","1"
"SCHWEIZ","NEUTRAL","3"
"Fribourg, CH","POSITIVE","1"
"Wohlen (AG), Aargau","POSITIVE","2"
"Effretikon","NEUTRAL","1"
"Chur","NEUTRAL","105"
"Sankt Gallen","NEUTRAL","78"
"Wald","NEUTRAL","25"
"Genève Suisse","NEUTRAL","1"
"Ebertswil, Switzerland","POSITIVE","1"
"Grindelwald, Switzerland","NEUTRAL","1"
"SWITZERLAND, CH","NEUTRAL","1"
"Kandor - Zürich, Switzerland","NEUTRAL","2"
"Nähe Bern, Schweiz","POSITIVE","1"
"Stein am Rhein","NEUTRAL","190"
"Basel, Schweiz, Milky Way","NEUTRAL","3"
"Zofingen, Schweiz","NEUTRAL","1"
"Kloten","NEUTRAL","4"
"Plainfield, IL","NEUTRAL","1"
"Meisterschwanden, Aargau","NEUTRAL","3"
"Rheinfelden, Schweiz","NEUTRAL","7"
"Domat/Ems","NEUTRAL","1"
"Wollerau, Switzerland","NEUTRAL","38"
"Uster, Schweiz","POSITIVE","1"
"LUGANO","NEUTRAL","1"
"Thusis","NEUTRAL","4"
"031","NEUTRAL","1"
"Lugano, Ticino","NEUTRAL","1"
"Dietikon, Zürich","NEUTRAL","8"
"Biel-Bienne","NEUTRAL","2"
"Sattel, Schweiz","NEGATIVE","1"
"Zürich, Schweiz, Europa, Erde","POSITIVE","4"
"Romanshorn","NEUTRAL","2"
"Switzerland","NEGATIVE","15"
"Schweiz","POSITIVE","227"
"Aargau","NEUTRAL","41"
"BASEL","NEUTRAL","18"
"Eichberg","NEUTRAL","2"
"basel, swissland","NEUTRAL","2"
"Zurich, Suiza","NEUTRAL","7"
"Kreis Schleswig-Flensburg, SH","NEUTRAL","7"
"Ticino, Switzerland","NEUTRAL","2"
"iPhone: 46.955950,8.386532","NEUTRAL","2"
"Zurich, Rio, Barcelona, Miami","NEUTRAL","1"
"Kramgasse 8, Bern","NEUTRAL","1"
"Zürichsee, Schweiz","POSITIVE","1"
"Schweiz & Deutschland","NEUTRAL","5"
"ZRH","NEUTRAL","53"
"Lachen, SZ","NEUTRAL","3"
"Küsnacht, Schweiz","NEUTRAL","1"
"Random Private Tracker","NEUTRAL","1"
