"Luzern","NEUTRAL","2850"
"Uster","POSITIVE","6"
"Switzerland","POSITIVE","2338"
"Winterthur","POSITIVE","55"
"Sursee","POSITIVE","1"
"Meilen","NEUTRAL","13"
"Saanen","NEUTRAL","92"
"Baden","NEUTRAL","850"
"Svajcarska","NEUTRAL","2"
"Waldenburg","NEUTRAL","47"
"Schleitheim","NEUTRAL","5"
"Frauenfeld","NEUTRAL","169"
"Willisau","NEUTRAL","25"
"スイス","NEUTRAL","24"
"Lausanne","NEUTRAL","347"
"Buchs","NEUTRAL","7"
"Zurigo","POSITIVE","1"
"Swiss","NEUTRAL","1751"
"Thun","NEUTRAL","557"
"Bad Zurzach","POSITIVE","2"
"Bülach","POSITIVE","5"
"AARON RUCKER!!!! ❤️","NEUTRAL","1"
"Arbon","NEUTRAL","5"
"Stans","NEUTRAL","100"
"Kreuzlingen","NEUTRAL","28"
"Schwyz","NEUTRAL","47"
"Effretikon","NEUTRAL","2"
"DC and Baltimore","NEUTRAL","1"
"Sankt Gallen","NEUTRAL","496"
"Chur","NEUTRAL","1056"
"Altdorf","POSITIVE","1"
"Brig","POSITIVE","1"
"Romanshorn","NEUTRAL","32"
"Schweiz","POSITIVE","2640"
"Switzerland","NEGATIVE","136"
"Winterthur","NEGATIVE","5"
"Geneva","NEUTRAL","167"
"Zurich Switzerland","NEUTRAL","2"
"Langnau","NEUTRAL","1"
"Zürich","POSITIVE","1129"
"Lausanne, Suisse","NEUTRAL","3"
"meistens in Graubünden","NEUTRAL","1"
"Schmerikon","NEUTRAL","3"
"Deutschland | Österreich | CH","NEUTRAL","1"
"St. Gallen","POSITIVE","223"
"Suiza","NEUTRAL","41"
"Zurich, Switzerland","NEUTRAL","15"
"Brugg","NEUTRAL","63"
"Interlaken","NEUTRAL","455"
"Hinwil","NEUTRAL","7"
"Bremgarten","NEUTRAL","14"
"Biel/Bienne","POSITIVE","8"
"Digital Services","POSITIVE","1"
"5200 Brugg AG","NEUTRAL","1"
"Zuerich","NEUTRAL","369"
"Fribourg","POSITIVE","1"
"CH","POSITIVE","146"
"Olten","NEUTRAL","444"
"Solothurn/Zurich Switzerland","NEUTRAL","1"
"Bâle","NEUTRAL","1"
"Schweiz","NEGATIVE","162"
"Zofingen","NEUTRAL","107"
"Liestal","NEUTRAL","291"
"Suisse","POSITIVE","7"
"Monthey","NEUTRAL","2"
"Sissach","POSITIVE","1"
"Glarus","NEUTRAL","41"
"Lucerne","NEUTRAL","177"
"Einsiedeln","POSITIVE","2"
"Altdorf","NEUTRAL","141"
"Svizzera","NEUTRAL","13"
"Rheinfelden","POSITIVE","1"
"Suica","NEUTRAL","1"
"Aarau","POSITIVE","37"
"Zermatt","POSITIVE","1"
"Genève","NEGATIVE","1"
"Affoltern am Albis","NEUTRAL","1"
"Laufenburg","NEUTRAL","26"
"Dielsdorf","NEUTRAL","6"
"Luzern","POSITIVE","64"
"St. Gallen","NEGATIVE","4"
"Svizra","NEUTRAL","4"
"Baden","POSITIVE","38"
"Meilen","POSITIVE","2"
"Lenzburg","NEUTRAL","723"
"Zürich","NEUTRAL","33344"
"Frutigen","NEUTRAL","21"
"Waldenburg","POSITIVE","6"
"Switzerland, Zurich","NEUTRAL","1"
"スイス","POSITIVE","7"
"Suïssa","NEUTRAL","1"
"Schüpfheim","NEUTRAL","4"
"Appenzell","NEUTRAL","18"
"Lachen","NEUTRAL","2"
"Lausanne","POSITIVE","4"
"CH","NEGATIVE","14"
"Swiss","POSITIVE","6"
"Thun","POSITIVE","67"
"Basel","NEUTRAL","10482"
"Marly","NEUTRAL","1"
"Suisse","NEGATIVE","2"
"Weinfelden","NEUTRAL","27"
"Visp","NEUTRAL","57"
"Bellinzona","NEUTRAL","87"
"Munich","NEUTRAL","1"
"Oberer Zürichsee","NEUTRAL","6"
"Alpnach, Switzerland","NEUTRAL","1"
"Flüelen","NEUTRAL","48"
"Kreuzlingen","POSITIVE","2"
"Aarau","NEGATIVE","3"
"India/Switzerland","NEUTRAL","1"
"Chur","POSITIVE","31"
"Sankt Gallen","POSITIVE","11"
"Fribourg Switzerland","NEUTRAL","3"
"Aargau, Schweiz","NEUTRAL","4"
"Luzern","NEGATIVE","3"
"Bulle","NEUTRAL","1"
"Suhr","POSITIVE","1"
"Bern","NEUTRAL","10923"
"Zurich","NEUTRAL","6223"
"Leuk","NEUTRAL","10"
"Baden","NEGATIVE","1"
"Geneva","POSITIVE","1"
"Herisau","NEUTRAL","109"
"Deutschland","NEUTRAL","18"
"Waldenburg","NEGATIVE","3"
