"Luzern","NEUTRAL","271"
"Bethesda, MD USA","NEUTRAL","21"
"Zurich, Swiss","NEUTRAL","116"
"Zurich & Arosa, Switzerland","POSITIVE","7"
"Newcastle upon Tyne/Leeds","POSITIVE","6"
"Lillehammer","POSITIVE","1"
"Zürich, Basel, Winterthur, Zug","POSITIVE","2"
"HQ Geneva, Switzerland","NEUTRAL","61"
"Mongolia - Switzerland","NEUTRAL","3"
"LDN PAR NYC GVA NBO LX SPQR","POSITIVE","1"
"Geneva, London, Paris, Zurich","POSITIVE","5"
"Chiasso, Ticino","NEUTRAL","48"
"Lausanne - Alger - Berne","NEGATIVE","3"
"hamburg / germany","POSITIVE","3"
"Lisboa, Portugal","NEUTRAL","4"
"Nashville","NEGATIVE","1"
"Sargans, Switzerland","POSITIVE","4"
"Zurich - ZUG","NEUTRAL","2"
"Welschland, Switzerland","NEGATIVE","9"
"KUL - PLS","POSITIVE","1"
"Los Leopolis, Ukraine","POSITIVE","1"
"Renens (VD), Vaud","NEUTRAL","5"
"France/Suisse","NEUTRAL","1"
"Bulle, Fribourg","POSITIVE","11"
"Avenches, Switzerland","POSITIVE","1"
"Blackheath Standard London","POSITIVE","1"
"Wahlern, Bern","POSITIVE","11"
"VS, NY","POSITIVE","3"
"Sattel, Schweiz","POSITIVE","5"
"neben boateng","NEGATIVE","1"
"Montreux, Suisse","NEGATIVE","2"
"Cadempino, Svizzera","NEGATIVE","2"
"Machang | Arau","NEGATIVE","4"
"Tokyo, Japan","POSITIVE","3"
"2m2c, Montreux, Suisse","NEGATIVE","1"
"Portuguese, Switzerland","NEGATIVE","1"
"THE DARK SIDE","NEUTRAL","1"
"Lancaster, PA","NEGATIVE","2"
"Gin Lane","NEUTRAL","5"
"Socuéllamos - Toledo.","NEUTRAL","1"
"Cham, Schweiz","NEGATIVE","7"
"SwitzerIand, Las Vegas, CA","NEGATIVE","19"
"Sungai Petani","NEGATIVE","2"
"Milwaukee, WI","POSITIVE","2"
"Dubai | LA","NEUTRAL","9"
"ticino","POSITIVE","1"
"Zürich, Zürich","POSITIVE","2"
"cj7's planet","POSITIVE","1"
"south swiss","NEGATIVE","1"
"St-Maurice, Suisse","NEUTRAL","1"
"about.me/ProtectAllWildlife","POSITIVE","1"
"Zurich-Kloten - Pune - Davos","POSITIVE","2"
"Corbières, Suisse","NEUTRAL","1"
"Ehrendingen, Switzerland","NEUTRAL","1"
