"Luzern","NEUTRAL","298"
"Switzerland","POSITIVE","38262"
"Uster","POSITIVE","6"
"Porrentruy","NEUTRAL","4"
"Winterthur","POSITIVE","79"
"Payerne","NEGATIVE","2"
"Confoederatio Helvetica","NEGATIVE","5"
"Sursee","POSITIVE","1"
"Baden","NEUTRAL","121"
"Meilen","NEUTRAL","1"
"Saanen","NEUTRAL","2"
"Wengen","POSITIVE","7"
"Svajcarska","NEUTRAL","36"
"Waldenburg","NEUTRAL","6"
"Schleitheim","NEUTRAL","1"
"Neuchatel","NEGATIVE","1"
"Frauenfeld","NEUTRAL","48"
"Willisau","NEUTRAL","1"
"Berna","NEGATIVE","1"
"スイス","NEUTRAL","33"
"Tafers","NEUTRAL","1"
"Biel","POSITIVE","96"
"Lausanne","NEUTRAL","1783"
"Sarnen","POSITIVE","2"
"สวิตเซอร์แลนด์","POSITIVE","3"
"Arth","POSITIVE","1"
"Zurigo","POSITIVE","5"
"Swiss","NEUTRAL","3711"
"Lugano","POSITIVE","392"
"Thun","NEUTRAL","70"
"Genf","POSITIVE","3"
"Bülach","POSITIVE","4"
"Suíça","NEGATIVE","2"
"Horgen","POSITIVE","4"
"Zwitserland","NEGATIVE","1"
"Arbon","NEUTRAL","4"
"Le Locle","POSITIVE","3"
"Schwyz","NEUTRAL","66"
"Kreuzlingen","NEUTRAL","5"
"Sankt Gallen","NEUTRAL","13"
"Chur","NEUTRAL","60"
"Altdorf","POSITIVE","5"
"Brig","POSITIVE","5"
"Schweiz","POSITIVE","2232"
"Switzerland","NEGATIVE","14532"
"Uster","NEGATIVE","1"
"Romanshorn","NEUTRAL","2"
"Aigle","NEUTRAL","19"
"Winterthur","NEGATIVE","42"
"Geneva","NEUTRAL","16215"
"Wengen","NEGATIVE","1"
"Helvetia","POSITIVE","1"
"Solothurn","NEGATIVE","14"
"Zürich","POSITIVE","7797"
"Genève","POSITIVE","593"
"Biel","NEGATIVE","34"
"Sarnen","NEGATIVE","1"
"La Sarraz","NEUTRAL","2"
"St. Gallen","POSITIVE","98"
"Zurigo","NEGATIVE","1"
"Delémont","NEUTRAL","25"
"Szwajcaria","POSITIVE","1"
"Suiza","NEUTRAL","145"
"Lugano","NEGATIVE","207"
"Genf","NEGATIVE","13"
"Interlaken","NEUTRAL","158"
"Brugg","NEUTRAL","1"
"สวิตเซอร์แลนด์","NEUTRAL","8"
"Geneve","POSITIVE","84"
"Hinwil","NEUTRAL","3"
"Bremgarten","NEUTRAL","3"
"Horgen","NEGATIVE","1"
"Biel/Bienne","POSITIVE","18"
"Le Locle","NEGATIVE","1"
"Zuerich","NEUTRAL","116"
"Fribourg","POSITIVE","74"
"Poschiavo","POSITIVE","4"
"Apples","NEUTRAL","22"
"CH","POSITIVE","464"
"Olten","NEUTRAL","29"
"Brig","NEGATIVE","6"
"Bâle","NEUTRAL","1"
"Schweiz","NEGATIVE","993"
"Zofingen","NEUTRAL","24"
"Monthey","NEUTRAL","19"
"Liestal","NEUTRAL","5"
"Suisse","POSITIVE","1484"
"Lucerne","NEUTRAL","304"
"Glarus","NEUTRAL","2"
"Einsiedeln","POSITIVE","2"
"Svizzera","NEUTRAL","243"
"Altdorf","NEUTRAL","16"
"Helvetia","NEGATIVE","2"
"Rheinfelden","POSITIVE","4"
"Suica","NEUTRAL","16"
"Aarau","POSITIVE","48"
"Zermatt","POSITIVE","71"
"Affoltern am Albis","NEUTRAL","23"
"Genève","NEGATIVE","318"
"Evolène","NEUTRAL","1"
"Laufenburg","NEUTRAL","11"
"Lauterbrunnen","POSITIVE","7"
"Luzern","POSITIVE","112"
"St. Gallen","NEGATIVE","40"
"سويسرا","NEUTRAL","9"
"Switzerland","None","1"
"Baden","POSITIVE","47"
"Zürich","NEUTRAL","12365"
"Lenzburg","NEUTRAL","13"
"Svajcarska","POSITIVE","2"
"Geneve","NEGATIVE","30"
"Frauenfeld","POSITIVE","5"
"Willisau","POSITIVE","1"
"Tafers","POSITIVE","1"
"スイス","POSITIVE","10"
"Suïssa","NEUTRAL","28"
"Biel/Bienne","NEGATIVE","2"
"Lausanne","POSITIVE","682"
"Appenzell","NEUTRAL","1"
"Fribourg","NEGATIVE","48"
"Poschiavo","NEGATIVE","3"
"Conthey","NEGATIVE","10"
"CH","NEGATIVE","224"
"Ginevra","NEUTRAL","3"
"Bienne","NEUTRAL","24"
"Swiss","POSITIVE","727"
"Marly","NEUTRAL","52"
"Basel","NEUTRAL","3177"
"Samedan","NEUTRAL","3"
"Thun","POSITIVE","25"
"Suisse","NEGATIVE","668"
"Weinfelden","NEUTRAL","1"
"Bellinzona","NEUTRAL","151"
"Einsiedeln","NEGATIVE","1"
"Arbon","POSITIVE","3"
"Rheinfelden","NEGATIVE","1"
"İsviçre","NEGATIVE","1"
"Kreuzlingen","POSITIVE","2"
"Schwyz","POSITIVE","15"
"Aarau","NEGATIVE","6"
"Zermatt","NEGATIVE","16"
"Chur","POSITIVE","26"
"Sankt Gallen","POSITIVE","6"
"Lauterbrunnen","NEGATIVE","1"
"Bulle","NEUTRAL","37"
"Luzern","NEGATIVE","25"
"Aigle","POSITIVE","8"
"Porrentruy","NEGATIVE","1"
"Bern","NEUTRAL","2931"
"Zurich","NEUTRAL","12199"
"Geneva","POSITIVE","5280"
"Baden","NEGATIVE","33"
"Meilen","NEGATIVE","1"
"Herisau","NEUTRAL","20"
"Waldenburg","NEGATIVE","1"
"Solothurn","POSITIVE","17"
"Willisau","NEGATIVE","1"
"Frauenfeld","NEGATIVE","1"
"スイス","NEGATIVE","3"
"Payerne","NEUTRAL","6"
"Confoederatio Helvetica","NEUTRAL","56"
"Lausanne","NEGATIVE","242"
"Basilea","NEUTRAL","3"
"Schenkon","NEUTRAL","4"
"Swiss","NEGATIVE","649"
"Neuchatel","NEUTRAL","2"
"Delémont","POSITIVE","4"
"Berna","NEUTRAL","64"
"Suiza","POSITIVE","43"
"Ennetbürgen","NEUTRAL","3"
"Thun","NEGATIVE","9"
"Interlaken","POSITIVE","25"
"Brugg","POSITIVE","1"
"Münchwilen","NEUTRAL","1"
"Bremgarten","POSITIVE","1"
"Arbon","NEGATIVE","1"
"Stans","NEGATIVE","1"
"Zuerich","POSITIVE","46"
"Schwyz","NEGATIVE","13"
"Küssnacht","NEUTRAL","2"
"Kreuzlingen","NEGATIVE","2"
"Apples","POSITIVE","15"
"Olten","POSITIVE","5"
"Chur","NEGATIVE","12"
"Suíça","NEUTRAL","20"
"Zwitserland","NEUTRAL","1"
"Aigle","NEGATIVE","1"
"Zofingen","POSITIVE","2"
"Liestal","POSITIVE","3"
"Monthey","POSITIVE","3"
"Steckborn","NEUTRAL","1"
"Geneva","NEGATIVE","3600"
"Lucerne","POSITIVE","57"
"Svizzera","POSITIVE","114"
"Amden","NEUTRAL","2"
"Suica","POSITIVE","2"
"Uster","NEUTRAL","22"
"Switzerland","NEUTRAL","100038"
"Winterthur","NEUTRAL","251"
"Evolène","POSITIVE","1"
"Affoltern am Albis","POSITIVE","1"
"Sursee","NEUTRAL","5"
"Laufenburg","POSITIVE","1"
"Wengen","NEUTRAL","7"
"Neuchâtel","POSITIVE","46"
"سويسرا","POSITIVE","1"
"Solothurn","NEUTRAL","40"
"Suiza","NEGATIVE","21"
"Lenzburg","POSITIVE","4"
"Biel","NEUTRAL","362"
"Sarnen","NEUTRAL","6"
"Interlaken","NEGATIVE","10"
"สวิตเซอร์แลนด์","NEGATIVE","1"
"Suïssa","POSITIVE","8"
"Hinwil","NEGATIVE","1"
"Arth","NEUTRAL","1"
"Zurigo","NEUTRAL","33"
"Lugano","NEUTRAL","1794"
"Zuerich","NEGATIVE","13"
"Conthey","POSITIVE","1"
"Apples","NEGATIVE","3"
"Genf","NEUTRAL","39"
"Olten","NEGATIVE","2"
"Bülach","NEUTRAL","7"
"Gersau","NEUTRAL","2"
"Bienne","POSITIVE","2"
"Arlesheim","NEUTRAL","9"
"Basel","POSITIVE","873"
"Horgen","NEUTRAL","2"
"Schaffhausen","POSITIVE","41"
"Samedan","POSITIVE","2"
"Marly","POSITIVE","10"
"Le Locle","NEUTRAL","18"
"Monthey","NEGATIVE","2"
"Liestal","NEGATIVE","2"
"Lucerne","NEGATIVE","23"
"Bellinzona","POSITIVE","26"
"Brig","NEUTRAL","54"
"Altdorf","NEGATIVE","1"
"Svizzera","NEGATIVE","27"
"Suica","NEGATIVE","18"
"Schweiz","NEUTRAL","6936"
"Laufenburg","NEGATIVE","3"
"Bulle","POSITIVE","5"
"Neuchâtel","NEGATIVE","6"
"Helvetia","NEUTRAL","20"
"سويسرا","NEGATIVE","2"
"Bern","POSITIVE","871"
"Zurich","POSITIVE","5892"
"Zürich","NEGATIVE","1323"
"Herisau","POSITIVE","5"
"Lenzburg","NEGATIVE","4"
"Genève","NEUTRAL","2714"
"Laufen","NEUTRAL","1"
"Neuchâtel","NEUTRAL","160"
"Suïssa","NEGATIVE","7"
"St. Gallen","NEUTRAL","284"
"Payerne","POSITIVE","1"
"Confoederatio Helvetica","POSITIVE","8"
"Szwajcaria","NEUTRAL","2"
"Swiss Confederation","NEUTRAL","2"
"Bienne","NEGATIVE","3"
"Neuchatel","POSITIVE","1"
"Geneve","NEUTRAL","299"
"Berna","POSITIVE","10"
"Lucerna","POSITIVE","1"
"Basel","NEGATIVE","529"
"Schaffhausen","NEGATIVE","16"
"Samedan","NEGATIVE","1"
"Ennetbürgen","POSITIVE","1"
"Biel/Bienne","NEUTRAL","68"
"Poschiavo","NEUTRAL","32"
"Conthey","NEUTRAL","16"
"Fribourg","NEUTRAL","411"
"Bellinzona","NEGATIVE","20"
"CH","NEUTRAL","1362"
"Küssnacht","POSITIVE","1"
"Schaffhausen","NEUTRAL","173"
"Suisse","NEUTRAL","5440"
"Suíça","POSITIVE","7"
"Einsiedeln","NEUTRAL","10"
"Bulle","NEGATIVE","4"
"Rheinfelden","NEUTRAL","9"
"İsviçre","NEUTRAL","54"
"Zurich","NEGATIVE","2227"
"Bern","NEGATIVE","447"
"Aarau","NEUTRAL","113"
"Zermatt","NEUTRAL","201"
"Lauterbrunnen","NEUTRAL","4"
