"Luzern","NEUTRAL","365"
"Switzerland","POSITIVE","2593"
"Winterthur","POSITIVE","3"
"Meilen","NEUTRAL","2"
"Baden","NEUTRAL","152"
"Svajcarska","NEUTRAL","35"
"Waldenburg","NEUTRAL","6"
"Frauenfeld","NEUTRAL","20"
"Willisau","NEUTRAL","5"
"スイス","NEUTRAL","67"
"Biel","POSITIVE","1"
"Lausanne","NEUTRAL","1546"
"Sarnen","POSITIVE","2"
"Swiss","NEUTRAL","5204"
"Lugano","POSITIVE","6"
"Thun","NEUTRAL","42"
"Bülach","POSITIVE","3"
"Arbon","NEUTRAL","2"
"Schwyz","NEUTRAL","18"
"Kreuzlingen","NEUTRAL","1"
"Chur","NEUTRAL","51"
"Sankt Gallen","NEUTRAL","22"
"Schweiz","POSITIVE","218"
"Switzerland","NEGATIVE","319"
"Romanshorn","NEUTRAL","2"
"Aigle","NEUTRAL","12"
"Winterthur","NEGATIVE","1"
"Geneva","NEUTRAL","12190"
"Langnau","NEUTRAL","1"
"Zürich","POSITIVE","279"
"Genève","POSITIVE","38"
"Biel","NEGATIVE","1"
"St. Gallen","POSITIVE","26"
"Delémont","NEUTRAL","47"
"Szwajcaria","POSITIVE","1"
"Suiza","NEUTRAL","166"
"Lugano","NEGATIVE","3"
"Interlaken","NEUTRAL","181"
"สวิตเซอร์แลนด์","NEUTRAL","17"
"Geneve","POSITIVE","4"
"Hinwil","NEUTRAL","52"
"Bremgarten","NEUTRAL","1"
"Biel/Bienne","POSITIVE","2"
"Zuerich","NEUTRAL","110"
"Fribourg","POSITIVE","10"
"Poschiavo","POSITIVE","1"
"Apples","NEUTRAL","18"
"CH","POSITIVE","20"
"Olten","NEUTRAL","21"
"Bâle","NEUTRAL","1"
"Schweiz","NEGATIVE","14"
"Monthey","NEUTRAL","21"
"Liestal","NEUTRAL","11"
"Suisse","POSITIVE","104"
"Zofingen","NEUTRAL","4"
"Lucerne","NEUTRAL","190"
"Glarus","NEUTRAL","1"
"Einsiedeln","POSITIVE","1"
"Altdorf","NEUTRAL","13"
"Svizzera","NEUTRAL","438"
"Suica","NEUTRAL","25"
"Zermatt","POSITIVE","1"
"Affoltern am Albis","NEUTRAL","13"
"Genève","NEGATIVE","7"
"Laufenburg","NEUTRAL","4"
"Luzern","POSITIVE","7"
"Thuy Si","NEUTRAL","1"
"سويسرا","NEUTRAL","1"
"Baden","POSITIVE","24"
"Lenzburg","NEUTRAL","69"
"Zürich","NEUTRAL","11907"
"Svajcarska","POSITIVE","1"
"Geneve","NEGATIVE","1"
"Suïssa","NEUTRAL","34"
"スイス","POSITIVE","1"
"Lausanne","POSITIVE","43"
"Appenzell","NEUTRAL","1"
"Fribourg","NEGATIVE","1"
"CH","NEGATIVE","13"
"Ginevra","NEUTRAL","1"
