"Luzern","NEUTRAL","385"
"Switzerland","POSITIVE","66165"
"Uster","POSITIVE","11"
"College Station, TX","POSITIVE","1"
"Tampa, FL","POSITIVE","1"
"Brisbane City, Brisbane","NEUTRAL","1"
"Winterthur","POSITIVE","164"
"Chennai","POSITIVE","1"
"Payerne","NEGATIVE","2"
"Porrentruy","NEUTRAL","2"
"Confoederatio Helvetica","NEGATIVE","28"
"Exeter","NEUTRAL","2"
"Sursee","POSITIVE","2"
"Zug, Switzerland","POSITIVE","1"
"Baden","NEUTRAL","143"
"London","POSITIVE","4"
"Saanen","NEUTRAL","11"
"Wengen","POSITIVE","2"
"Svajcarska","NEUTRAL","126"
"Suisse - Berne","NEGATIVE","1"
"Basilea","NEGATIVE","2"
"Schenkon","NEGATIVE","1"
"Málaga, España","NEUTRAL","2"
"Waldenburg","NEUTRAL","13"
"Neuchatel","NEGATIVE","3"
"Westchase, FL","POSITIVE","1"
"Frauenfeld","NEUTRAL","24"
"Berna","NEGATIVE","4"
"Willisau","NEUTRAL","4"
"Colombia","POSITIVE","1"
"ank","POSITIVE","1"
"London Ontario Canada","NEUTRAL","1"
"Lucerna","NEGATIVE","1"
"スイス","NEUTRAL","33"
"Tafers","NEUTRAL","2"
"Berne, Switzerland","POSITIVE","30"
"Ennetbürgen","NEGATIVE","1"
"OP or UT","NEUTRAL","1"
"Biel","POSITIVE","201"
"Austin, TX","NEUTRAL","1"
"Lausanne","NEUTRAL","1970"
"None","NEGATIVE","64"
"Dubai","NEUTRAL","1"
"Sarnen","POSITIVE","1"
"สวิตเซอร์แลนด์","POSITIVE","10"
"Omaha, NE","POSITIVE","1"
"Arth","POSITIVE","2"
"ORANGE ,NEW JERSEY,USA","NEUTRAL","2"
"anchorage alaska","NEUTRAL","1"
"Zurigo","POSITIVE","15"
"Bern Switzerland","POSITIVE","1"
"Swiss","NEUTRAL","2709"
"Brussels","POSITIVE","8"
"sgsc soccer","NEGATIVE","1"
"Lugano","POSITIVE","625"
"Küssnacht","NEGATIVE","4"
"justin & shawn followed","POSITIVE","7"
"Zug (Schweiz)","POSITIVE","1"
"Baku, Azerbaijan","NEGATIVE","2"
"Thun","NEUTRAL","65"
"India","NEGATIVE","1"
"Engineering/Investment Banking","NEUTRAL","5"
"Los Angeles - San Francisco","NEUTRAL","1"
"Genf","POSITIVE","27"
"España","NEUTRAL","1"
"Switzerland but I'd say usa","POSITIVE","3"
"Dubai, United Arab Emirates","POSITIVE","1"
"Bülach","POSITIVE","2"
"Suíça","NEGATIVE","14"
"Montréal, Québec","NEUTRAL","2"
"Arlesheim","POSITIVE","3"
"AARON RUCKER!!!! ❤️","NEUTRAL","1"
"Horgen","POSITIVE","10"
"Zwitserland","NEGATIVE","3"
"Le Locle","POSITIVE","19"
"Arbon","NEUTRAL","10"
"London, NYC & Seattle, WA.","NEGATIVE","1"
"Stans","NEUTRAL","8"
"On my podium","POSITIVE","1"
"mostly Switzerland","NEUTRAL","1"
"Gurgaon","NEUTRAL","1"
"Schwyz","NEUTRAL","13"
"Sydney.","NEUTRAL","1"
"Kreuzlingen","NEUTRAL","1"
"Boston, MA","NEUTRAL","2"
"Effretikon","NEUTRAL","2"
"Harrisonburg, VA","POSITIVE","2"
"Sankt Gallen","NEUTRAL","25"
"Brig","POSITIVE","29"
"Chur","NEUTRAL","45"
"London and occasionally NYC","POSITIVE","1"
"Altdorf","POSITIVE","6"
"CLE","NEUTRAL","1"
"Scotland, United Kingdom","NEGATIVE","1"
"UK : Northumberland","POSITIVE","1"
"#VnAmuzik","NEUTRAL","3"
"Schweiz","POSITIVE","4631"
"Switzerland","NEGATIVE","30707"
"Uster","NEGATIVE","8"
"Outcheaaa","POSITIVE","1"
"Bath & London","POSITIVE","1"
"Aigle","NEUTRAL","97"
"Winterthur","NEGATIVE","87"
"essex","NEUTRAL","1"
"Chennai","NEGATIVE","1"
"Phoenix, AZ","POSITIVE","1"
"ATL. World CitiZen","POSITIVE","1"
"Info RSI televisione svizzera","NEUTRAL","1"
"ѕωιтzєяℓαи∂","POSITIVE","1"
"Sursee","NEGATIVE","1"
"Geneva","NEUTRAL","11482"
"Valley Stream, New York","NEUTRAL","3"
"Helvetia","POSITIVE","30"
"Genève - Lausanne - Zürich","NEUTRAL","2"
"Essex","POSITIVE","1"
"Zurich Switzerland","NEUTRAL","1"
"London / Zug","POSITIVE","17"
"London, England","POSITIVE","1"
"Solothurn","NEGATIVE","12"
"Zürich, Switzerland","POSITIVE","2"
"Zürich","POSITIVE","6555"
"Lausanne, Suisse","NEUTRAL","5"
"Berne, Switzerland","NEGATIVE","1"
"Genève","POSITIVE","1092"
"Biel","NEGATIVE","30"
"Lausanne, Switzerland","NEUTRAL","2"
"Sarnen","NEGATIVE","1"
"301296","NEUTRAL","1"
"Laufen","POSITIVE","2"
"✨the blur øf the stars✨","POSITIVE","1"
"Paris France","NEUTRAL","1"
"La Sarraz","NEUTRAL","1"
"St. Gallen","POSITIVE","195"
"Zurigo","NEGATIVE","11"
"Delémont","NEUTRAL","21"
"Aigle, Switzerland","NEUTRAL","1"
"Brussels","NEGATIVE","1"
"Ebikon, LU - Switzerland","POSITIVE","1"
"Suiza","NEUTRAL","120"
"Lugano","NEGATIVE","248"
"le Bronx, NYC","POSITIVE","4"
"Out and about","POSITIVE","1"
"iPhone: 40.708070,-74.013560","NEGATIVE","1"
"LA,ATL,OH,NYC","POSITIVE","1"
"#Syria","NEUTRAL","2"
"Zurich, Switzerland","NEUTRAL","11"
"Genf","NEGATIVE","55"
"Bad Zurzach","NEGATIVE","1"
"Switzerland but I'd say usa","NEGATIVE","1"
"Interlaken","NEUTRAL","278"
"none of your business :)","NEUTRAL","1"
"Nebraska","POSITIVE","1"
"Brugg","NEUTRAL","2"
"Geneve","POSITIVE","213"
"สวิตเซอร์แลนด์","NEUTRAL","10"
"Arlesheim","NEGATIVE","2"
"Camelot","POSITIVE","1"
"Bremgarten","NEUTRAL","2"
"Biel/Bienne","POSITIVE","43"
"Knoxville, TN","NEUTRAL","1"
"Sion, Suisse","NEUTRAL","1"
"Yalta","NEGATIVE","1"
"Poschiavo","POSITIVE","17"
"Zuerich","NEUTRAL","62"
"Fribourg","POSITIVE","112"
"Manchester","NEGATIVE","1"
"CH","POSITIVE","985"
"Apples","NEUTRAL","83"
"Brig","NEGATIVE","29"
"Olten","NEUTRAL","31"
"World Famous Speedway IN","NEUTRAL","1"
"New York City","POSITIVE","1"
"Bâle","NEUTRAL","4"
"Denmark","NEUTRAL","2"
"Schweiz","NEGATIVE","2014"
"www.vimeo.com/ebonybones","POSITIVE","2"
"Monthey","NEUTRAL","26"
"Liestal","NEUTRAL","9"
"Suisse","POSITIVE","2792"
"Zofingen","NEUTRAL","3"
