"Luzern","NEUTRAL","272"
"Switzerland","POSITIVE","61151"
"Uster","POSITIVE","12"
"Winterthur","POSITIVE","137"
"Confoederatio Helvetica","NEGATIVE","11"
"Sursee","POSITIVE","5"
"Baden","NEUTRAL","123"
"Saanen","NEUTRAL","5"
"Wengen","POSITIVE","9"
"Svajcarska","NEUTRAL","59"
"Basilea","NEGATIVE","3"
"Waldenburg","NEUTRAL","6"
"Willisau","NEUTRAL","10"
"Frauenfeld","NEUTRAL","53"
"Berna","NEGATIVE","7"
"スイス","NEUTRAL","33"
"Biel","POSITIVE","147"
"Lausanne","NEUTRAL","1863"
"Sarnen","POSITIVE","3"
"สวิตเซอร์แลนด์","POSITIVE","2"
"Arth","POSITIVE","1"
"Zurigo","POSITIVE","10"
"Swiss","NEUTRAL","2596"
"Lugano","POSITIVE","741"
"Thun","NEUTRAL","51"
"Genf","POSITIVE","14"
"Suíça","NEGATIVE","5"
"Bülach","POSITIVE","2"
"Arlesheim","POSITIVE","2"
"Horgen","POSITIVE","3"
"Le Locle","POSITIVE","17"
"Stans","NEUTRAL","4"
"Schwyz","NEUTRAL","26"
"Kreuzlingen","NEUTRAL","1"
"Brig","POSITIVE","17"
"Chur","NEUTRAL","55"
"Sankt Gallen","NEUTRAL","11"
"Altdorf","POSITIVE","2"
"Schweiz","POSITIVE","3254"
"Switzerland","NEGATIVE","25287"
"Uster","NEGATIVE","8"
"Romanshorn","NEUTRAL","2"
"Winterthur","NEGATIVE","95"
"Aigle","NEUTRAL","8"
"Isvicre","POSITIVE","2"
"Geneva","NEUTRAL","13964"
"Helvetia","POSITIVE","9"
"Langnau","NEUTRAL","1"
"Solothurn","NEGATIVE","18"
"Zürich","POSITIVE","6589"
"Biel","NEGATIVE","38"
"Genève","POSITIVE","1076"
"Laufen","POSITIVE","2"
"Sarnen","NEGATIVE","2"
"Arth","NEGATIVE","1"
"St. Gallen","POSITIVE","156"
"Zurigo","NEGATIVE","4"
"Delémont","NEUTRAL","18"
"Szwajcaria","POSITIVE","1"
"Suiza","NEUTRAL","145"
"Lugano","NEGATIVE","408"
"Genf","NEGATIVE","12"
"Interlaken","NEUTRAL","144"
"Bülach","NEGATIVE","1"
"Brugg","NEUTRAL","3"
"Geneve","POSITIVE","146"
"สวิตเซอร์แลนด์","NEUTRAL","3"
"Bremgarten","NEUTRAL","1"
"Biel/Bienne","POSITIVE","25"
"Le Locle","NEGATIVE","3"
"Poschiavo","POSITIVE","10"
"Zuerich","NEUTRAL","129"
"Fribourg","POSITIVE","114"
"CH","POSITIVE","854"
"Apples","NEUTRAL","20"
"Brig","NEGATIVE","11"
"Olten","NEUTRAL","19"
"Schweiz","NEGATIVE","1533"
"Liestal","NEUTRAL","17"
"Suisse","POSITIVE","2696"
"Monthey","NEUTRAL","13"
"Zofingen","NEUTRAL","6"
"Lucerne","NEUTRAL","249"
"Einsiedeln","POSITIVE","6"
"Altdorf","NEUTRAL","7"
"Svizzera","NEUTRAL","174"
"Helvetia","NEGATIVE","6"
"Rheinfelden","POSITIVE","2"
"Suica","NEUTRAL","1"
"Aarau","POSITIVE","58"
"Zermatt","POSITIVE","133"
"Affoltern am Albis","NEUTRAL","22"
"Genève","NEGATIVE","510"
"Evolène","NEUTRAL","1"
"Lauterbrunnen","POSITIVE","9"
"Laufenburg","NEUTRAL","2"
"Laufen","NEGATIVE","1"
"Luzern","POSITIVE","204"
"St. Gallen","NEGATIVE","71"
"سويسرا","NEUTRAL","2"
"Baden","POSITIVE","109"
"Meilen","POSITIVE","1"
"Pfäffikon","NEUTRAL","1"
"Zürich","NEUTRAL","9119"
"Lenzburg","NEUTRAL","11"
"Svajcarska","POSITIVE","20"
"Waldenburg","POSITIVE","3"
"Geneve","NEGATIVE","81"
"Willisau","POSITIVE","4"
"Frauenfeld","POSITIVE","14"
"Suïssa","NEUTRAL","10"
"スイス","POSITIVE","26"
"Biel/Bienne","NEGATIVE","12"
"Lausanne","POSITIVE","1190"
"Appenzell","NEUTRAL","4"
"Conthey","NEGATIVE","15"
"Fribourg","NEGATIVE","81"
"Poschiavo","NEGATIVE","5"
"CH","NEGATIVE","482"
"Swiss","POSITIVE","1342"
"Bienne","NEUTRAL","21"
"Marly","NEUTRAL","60"
"Basel","NEUTRAL","2562"
"Thun","POSITIVE","37"
"Suisse","NEGATIVE","1270"
"Weinfelden","NEUTRAL","1"
"Bellinzona","NEUTRAL","89"
"Visp","NEUTRAL","1"
"Einsiedeln","NEGATIVE","1"
"Arbon","POSITIVE","2"
"İsviçre","NEGATIVE","1"
"Aarau","NEGATIVE","19"
"Schwyz","POSITIVE","7"
"Kreuzlingen","POSITIVE","4"
"Zermatt","NEGATIVE","34"
"Chur","POSITIVE","27"
"Sankt Gallen","POSITIVE","5"
