"Luzern","NEUTRAL","373"
"Joinville SC","NEUTRAL","11"
"Lob Nation","NEUTRAL","1"
"Milwaukee, WI","POSITIVE","15"
"everywhere","POSITIVE","6"
"HQ Geneva, Switzerland","NEUTRAL","6"
"Lake Como, Italy","NEGATIVE","2"
"bangkok , thailand","POSITIVE","3"
"Freiburg","NEUTRAL","4"
"Brooklyn, NY, USA","NEGATIVE","1"
"Österreich","NEUTRAL","1"
"Switzerland / Europe","NEUTRAL","2"
"Chiasso, Ticino","NEUTRAL","1"
"Kuala Lumpur , Malaysia","NEUTRAL","6"
"Switzerland/Ticino","NEUTRAL","2"
"London E14","NEUTRAL","1"
"Somewhere over the rainbow","NEGATIVE","1"
"Europe & Asia","NEGATIVE","1"
"Zurich-Kloten - Pune - Davos","POSITIVE","1"
"Tokyo, Japan","POSITIVE","1"
"Kansas, USA","NEUTRAL","2"
"Bulle, Fribourg","POSITIVE","1"
"Arsenal - Malaysia","NEGATIVE","1"
"Acapulco de Juárez, Guerrero","NEUTRAL","2"
"Nuneaton","NEUTRAL","1"
"LIVERPOOL","NEUTRAL","1"
"FLX","NEUTRAL","1"
"France/Suisse","NEUTRAL","1"
"Chicago, International","NEUTRAL","1"
"Lake View, Chicago","NEUTRAL","1"
"Uster","POSITIVE","13"
"Switzerland","POSITIVE","62636"
"Kuala Lumpur","NEUTRAL","10"
"London/Devon","NEUTRAL","7"
"Salt Lake City, UT","NEUTRAL","8"
"USA","POSITIVE","7"
"Swizerland","NEUTRAL","1"
"Washington DC","NEUTRAL","8"
"Cheltenham, UK","NEUTRAL","3"
"Hamburg // Melbourne","POSITIVE","1"
"Oxford, England.","NEGATIVE","10"
"Exiled in Islington, London","NEUTRAL","6"
"N 53°53' 0'' / E 27°33' 0''","POSITIVE","1"
"Wisbech UK","NEUTRAL","1"
"Ibiza","NEUTRAL","1"
"Boston","NEGATIVE","1"
"Vullierens, Vaud","POSITIVE","1"
"Kent ohio","NEUTRAL","2"
"Dietikon","NEGATIVE","1"
"Boulder/ Vail Colorado","NEUTRAL","1"
"Orlando, FL","POSITIVE","1"
"Zürich, Lagos, on the road ...","NEUTRAL","1"
"STC Illinois","POSITIVE","3"
"Human Rights Watch, Geneva","NEUTRAL","1"
"cool side of the pillow","NEGATIVE","1"
"Neverland/Chocolate milk party","NEGATIVE","1"
"Staatsstrasse 3 switzerland","POSITIVE","1"
"the ocean","NEUTRAL","1"
"Croatia","POSITIVE","1"
"Winterthur","POSITIVE","163"
"Valposchiavo (GR), Switzerland","NEUTRAL","1"
"Locarno, Svizzera","NEUTRAL","130"
"n.car☼lina","NEGATIVE","1"
"N 9°20.10' / E 123°18.05'","NEUTRAL","24"
"Calgary, Alberta","POSITIVE","1"
"Orlando ✈️ Baltimore","POSITIVE","4"
"Ireland/UK","POSITIVE","3"
"8032 Zurich","POSITIVE","3"
"Prily Suisse","NEUTRAL","1"
"Pennsylvania","NEUTRAL","1"
"justin's timeline","NEGATIVE","1"
"switzerland; planet jeds","NEUTRAL","2"
"Copenhagen, Denmark","NEUTRAL","1"
"capsize guitar, tour forever","NEGATIVE","1"
"Porrentruy","NEUTRAL","5"
"Elgin, IL","NEUTRAL","1"
"Nyon","NEUTRAL","3"
"O town,Jamaica BBpin 22784CBF","NEUTRAL","1"
"The Netherlands, The Hague","NEUTRAL","2"
"Confoederatio Helvetica","NEGATIVE","32"
"Zug, Switzerland","POSITIVE","19"
"Zürich - Bedford - London","POSITIVE","49"
"Toronto","NEUTRAL","31"
"Dortmund","POSITIVE","1"
"MD","NEGATIVE","1"
"NB to QC","POSITIVE","13"
"362 km de johanna","NEUTRAL","1"
"MIA✈️","POSITIVE","14"
"Cyberia","NEUTRAL","2"
"Liverpool, England","POSITIVE","11"
"Kraljevo,Vrsar,Madrid,Moscow","NEGATIVE","17"
"618","POSITIVE","2"
"25 Rue du Perron 1204 Genève","NEUTRAL","4"
"Switzerland ♥","NEUTRAL","1"
"Zürich, CH - Stockholm, SE","NEUTRAL","9"
"Hoffman Estates, IL","NEUTRAL","4"
"Chiburbia/Chambana","POSITIVE","2"
"Kroatien","NEGATIVE","2"
"Edmond Ok","POSITIVE","1"
"Überall in der Welt","POSITIVE","2"
"WI • CA • NY","NEUTRAL","1"
"Chicago (via Milwaukee)","POSITIVE","1"
"Baden","NEUTRAL","164"
"Kent","POSITIVE","3"
"The White White West","NEGATIVE","163"
"Saanen","NEUTRAL","4"
"London","POSITIVE","79"
"10-5-15 #24ForeverAndAlways","NEGATIVE","8"
"Baden-Württemberg, Germany","NEUTRAL","1"
"Jona","POSITIVE","2"
"Meilen","NEUTRAL","4"
"ɴᴇᴀʀ ᴢᴜʀɪᴄʜ, sᴡɪᴛᴢᴇʀʟᴀɴᴅ","NEUTRAL","1"
"Tokyo","NEUTRAL","2"
"Wengen","POSITIVE","4"
"Geneva - Switzerland","POSITIVE","2"
"Veysonnaz, Switzerland","POSITIVE","1"
"Monza, Italy","NEUTRAL","3"
"all over the bloody place","POSITIVE","1"
"Svajcarska","NEUTRAL","452"
"Herzogenaurach, Bayern","NEUTRAL","2"
"Lucerne, Switzerland","NEUTRAL","64"
"the world","NEGATIVE","1"
"Boulder/Lausanne","NEGATIVE","1"
"Lugano, Switzerland","NEGATIVE","7"
