"Luzern","NEUTRAL","283"
"Dubai | LA","NEUTRAL","4"
"Chiasso, Ticino","NEUTRAL","18"
"Zurich, Swiss","NEUTRAL","98"
"HQ Geneva, Switzerland","NEUTRAL","59"
"Suisse, Valais","POSITIVE","3"
"SwitzerIand, Las Vegas, CA","NEGATIVE","33"
"UniMAP","POSITIVE","1"
"Zurich & Arosa, Switzerland","POSITIVE","6"
"Bulle, Fribourg","POSITIVE","7"
"State of Entrepreneurialism","NEUTRAL","2"
"ticino","POSITIVE","8"
"ÜT: 14.5664426,121.1224866","NEGATIVE","2"
"Joinville SC","NEUTRAL","5"
"Milano-Bergamo","NEUTRAL","1"
"İstanbul / TURKEY","NEUTRAL","1"
"#Barcelona","NEUTRAL","2"
"pentagon, Geneva","POSITIVE","2"
"Cadempino, Svizzera","NEGATIVE","1"
"Switzerland/Ticino","NEUTRAL","1"
"Welschland, Switzerland","NEGATIVE","2"
"Lugano - Lake Como","NEGATIVE","2"
"Machang | Arau","NEGATIVE","1"
"Chur (Switzerland)","NEUTRAL","3"
"VS, NY","POSITIVE","1"
"Chardonne, Vaud","NEGATIVE","2"
"Sattel, Schweiz","POSITIVE","6"
"cαlιhausen (nähe cαlιstadt) ❤️","POSITIVE","1"
"Allschwil, Schweiz","NEGATIVE","3"
"Zürich,Seebach","NEUTRAL","3"
"Renens (VD), Vaud","NEUTRAL","2"
"Zürich, Zürich","POSITIVE","4"
"Surbiton","POSITIVE","1"
"Wahlern, Bern","POSITIVE","9"
"Arau , Perlis ☀","NEUTRAL","2"
"Aarau.","NEUTRAL","2"
"OW","NEGATIVE","2"
"Saudi Arabia - Dammam","POSITIVE","1"
"Kuala Lumpur , Malaysia","NEUTRAL","20"
"Österreich","NEUTRAL","2"
"Mongolia - Switzerland","NEUTRAL","1"
"Spijkenisse","NEUTRAL","4"
"Rolle, Suisse","NEUTRAL","3"
"Bar, Montenegro & Brooklyn, NY","NEGATIVE","1"
"Somewhere over the rainbow","NEGATIVE","2"
"CHAMPIONS","NEUTRAL","3"
"Aberdeen, Ecosse","NEUTRAL","1"
"Bala, Gogledd Cymru","NEUTRAL","1"
"Adliswil ZH, Switzerland","NEUTRAL","2"
"Lisboa, Portugal","NEUTRAL","1"
"Geneva, London, Paris, Zurich","POSITIVE","5"
"Sargans, Switzerland","POSITIVE","1"
"Switzerland,Zurich","NEUTRAL","1"
"Chippenham, England","POSITIVE","1"
"Lausanne. Switzerland","NEUTRAL","1"
"AOR / PERLIS / 21","NEUTRAL","3"
"Nairobi","NEUTRAL","1"
"Switzerland","POSITIVE","62985"
"Verscio, Svizzera","POSITIVE","4"
"Glattbrugg","POSITIVE","1"
"Luzern, Switzerland","NEGATIVE","55"
"bar, work, garage, your gf's","POSITIVE","31"
"Kent, OH","NEUTRAL","20"
"3400 11th Street, NW","NEUTRAL","20"
"Walenstadt","NEUTRAL","19"
"Washington DC","NEUTRAL","7"
"Human Rights Watch, Geneva","NEUTRAL","15"
"Lake district","NEGATIVE","25"
