"Luzern","NEUTRAL","14"
"Switzerland","POSITIVE","1121"
"Porrentruy","NEUTRAL","10"
"Winterthur","POSITIVE","1"
"Baden","NEUTRAL","9"
"Saanen","NEUTRAL","1"
"Svajcarska","NEUTRAL","1"
"スイス","NEUTRAL","13"
"Lausanne","NEUTRAL","9358"
"Swiss","NEUTRAL","3335"
"Thun","NEUTRAL","2"
"Genf","POSITIVE","1"
"Sankt Gallen","NEUTRAL","3"
"Chur","NEUTRAL","2"
"Schweiz","POSITIVE","34"
"Switzerland","NEGATIVE","156"
"Aigle","NEUTRAL","123"
"Geneva","NEUTRAL","7955"
"Zürich","POSITIVE","63"
"Genève","POSITIVE","630"
"La Sarraz","NEUTRAL","3"
"St. Gallen","POSITIVE","1"
"Delémont","NEUTRAL","126"
"Suiza","NEUTRAL","63"
"Genf","NEGATIVE","6"
"Brugg","NEUTRAL","13"
"Interlaken","NEUTRAL","2"
"Geneve","POSITIVE","11"
"Biel/Bienne","POSITIVE","1"
"Fribourg","POSITIVE","29"
"Zuerich","NEUTRAL","2"
"CH","POSITIVE","22"
"Olten","NEUTRAL","1"
"Bâle","NEUTRAL","26"
"Schweiz","NEGATIVE","5"
"Monthey","NEUTRAL","310"
"Suisse","POSITIVE","1854"
"Zofingen","NEUTRAL","2"
"Lucerne","NEUTRAL","16"
"Svizzera","NEUTRAL","13"
"Suica","NEUTRAL","1"
"Genève","NEGATIVE","66"
"Evolène","NEUTRAL","1"
"Laufenburg","NEUTRAL","1"
"Porrentruy","POSITIVE","2"
"Zürich","NEUTRAL","976"
"Lenzburg","NEUTRAL","4"
"スイス","POSITIVE","3"
"Suïssa","NEUTRAL","1"
"Lausanne","POSITIVE","297"
"CH","NEGATIVE","2"
"Ginevra","NEUTRAL","13"
"Bienne","NEUTRAL","438"
"Swiss","POSITIVE","20"
"Marly","NEUTRAL","1076"
"Basel","NEUTRAL","328"
"Suisse","NEGATIVE","261"
"Visp","NEUTRAL","9"
"Bellinzona","NEUTRAL","19"
"Renens","NEUTRAL","4"
"Bulle","NEUTRAL","172"
"Bern","NEUTRAL","563"
"Zurich","NEUTRAL","681"
"Geneva","POSITIVE","165"
"Payerne","NEUTRAL","12"
"Lausanne","NEGATIVE","38"
"Delémont","POSITIVE","7"
"Swiss","NEGATIVE","4"
"Neuchatel","NEUTRAL","3"
"Berna","NEUTRAL","12"
"Suiza","POSITIVE","1"
"Ennetbürgen","NEUTRAL","1"
"Suíça","NEUTRAL","8"
"Monthey","POSITIVE","1"
"Liestal","POSITIVE","1"
"Geneva","NEGATIVE","40"
"Amden","NEUTRAL","1"
"Switzerland","NEUTRAL","32556"
"Winterthur","NEUTRAL","20"
"Sursee","NEUTRAL","4"
"Neuchâtel","POSITIVE","8"
"Biel","NEUTRAL","10"
"Sarnen","NEUTRAL","1"
"Zurigo","NEUTRAL","2"
"Lugano","NEUTRAL","172"
"Genf","NEUTRAL","180"
"Marly","POSITIVE","15"
"Le Locle","NEUTRAL","21"
"Brig","NEUTRAL","2"
"Renens","POSITIVE","1"
"Schweiz","NEUTRAL","960"
"Швейцария","NEUTRAL","1"
"Bulle","POSITIVE","15"
"Neuchâtel","NEGATIVE","1"
"Helvetia","NEUTRAL","53"
"Zurich","POSITIVE","139"
"Bern","POSITIVE","7"
"Zürich","NEGATIVE","9"
"Genève","NEUTRAL","27911"
"Neuchâtel","NEUTRAL","486"
"St. Gallen","NEUTRAL","3"
"Geneve","NEUTRAL","1138"
"Marly","NEGATIVE","8"
"Biel/Bienne","NEUTRAL","42"
"Conthey","NEUTRAL","10"
"Fribourg","NEUTRAL","1177"
"CH","NEUTRAL","449"
"Saint-Maurice","NEUTRAL","16"
"Schaffhausen","NEUTRAL","6"
"Suisse","NEUTRAL","50657"
"Bulle","NEGATIVE","1"
"Rheinfelden","NEUTRAL","2"
"Aarau","NEUTRAL","6"
"Zermatt","NEUTRAL","1"
