"Luzern","NEUTRAL","8"
"Cortaillod, Neuchâtel","NEUTRAL","36"
"Renens (VD), Vaud","NEUTRAL","22"
"Corbières, Suisse","NEUTRAL","17"
"St-Maurice, Suisse","NEUTRAL","19"
"Safenwil, Schweiz","NEUTRAL","1"
"Fribourg/Freiburg, Switzerland","NEUTRAL","25"
"Rolle, Suisse","NEUTRAL","19"
"HQ Geneva, Switzerland","NEUTRAL","5"
"Suisse, Valais","POSITIVE","2"
"Dubai | LA","NEUTRAL","2"
"Bulle, Fribourg","POSITIVE","3"
"Gin Lane","NEUTRAL","1"
"Chiasso, Ticino","NEUTRAL","1"
"Bethesda, MD USA","NEUTRAL","1"
"France/Suisse","NEUTRAL","1"
"Sattel, Schweiz","POSITIVE","1"
"Aarau.","NEUTRAL","1"
"Switzerland","POSITIVE","1078"
"Kuala Lumpur","NEUTRAL","1"
"Romont","NEUTRAL","4"
"Brisbane City, Brisbane","NEUTRAL","1"
"Guadalajara de Buga","NEUTRAL","1"
"NW,Brits","NEUTRAL","1"
"Sierre, Valais HES-SO","NEUTRAL","18"
"Kent, OH","NEUTRAL","2"
"Cortaillod et Delémont, Suisse","NEUTRAL","7"
"Val-de-Travers, Suisse","NEUTRAL","65"
"Malibu, Montréal, Varese","NEUTRAL","2"
"Riyad, Saudi Arabia","NEUTRAL","2"
"Leytron, Suisse","NEGATIVE","1"
"51.541786,-3.264592","NEUTRAL","1"
"Walenstadt","NEUTRAL","2"
"Moutier, Switzerland","NEUTRAL","54"
"Porrentruy","NEUTRAL","4"
"Nyon","NEUTRAL","240"
"collombey valais , suisse","NEUTRAL","17"
"Arau, Perlis","NEUTRAL","13"
"Monthey, Valais, Suisse","NEUTRAL","14"
"Thônex","NEUTRAL","21"
"Chamonix-Mont-Blanc, France","NEUTRAL","2"
"ds mon lit","NEUTRAL","2"
"Entremont, Valais","NEUTRAL","5"
"Locarno, Svizzera","NEUTRAL","10"
"Meyrin, genève, suisse","NEUTRAL","2"
"Romainmôtier, Suisse","NEUTRAL","14"
"Jura, loin dans la montagne","NEUTRAL","2"
"love is love♥ snap:caaamimar☺️","NEUTRAL","1"
"switzerland; planet jeds","NEUTRAL","1"
"le mont-sur-Lausanne","NEUTRAL","1"
"london, uk.","NEUTRAL","1"
"Nendaz, Switzerland","NEUTRAL","30"
"Rolle, Switzerland","NEUTRAL","70"
"Geneva , Switzerland","NEUTRAL","16"
"Besançon, France.","NEUTRAL","10"
"Tout Droit du 93","NEUTRAL","128"
"Cyberia","NEUTRAL","8"
"Penthalaz","NEUTRAL","11"
"Switzerland, Bulle, Fribourg","NEUTRAL","6"
"Vouvry, Valais","NEUTRAL","4"
"25 Rue du Perron 1204 Genève","NEUTRAL","1"
"-العين-","NEUTRAL","1"
"Chexbres, Switzerland","NEUTRAL","8"
"Bern 72, Switzerland","POSITIVE","1"
"Montreux, CH","NEUTRAL","1"
"Abudhabi / Alwakra","NEUTRAL","1"
"Prevessin Moens (Francia)","NEUTRAL","1"
"Saanen","NEUTRAL","1"
"Uptown, Downtown, Switzerland","POSITIVE","1"
"Genève, Marseille","NEUTRAL","6"
"Switzerland, Vevey","NEUTRAL","16"
"Baden","NEUTRAL","3"
"@ya mama's house, Switzerland","NEUTRAL","19"
"Geneve, Switzerland","NEUTRAL","34"
"Lucerne, Switzerland","NEUTRAL","18"
"Suisse, Neuchatel","NEUTRAL","18"
"Suisse, France","POSITIVE","2"
"nottingham/cheshire","NEUTRAL","2"
"Chelsea and Norfolk","NEUTRAL","7"
"lausanne, Suisse","NEUTRAL","16"
"Münchenstein","NEUTRAL","1"
"osaka","NEUTRAL","2"
"Delémont, Jura","POSITIVE","1"
"suisse","NEUTRAL","4694"
"Danbury CT","NEUTRAL","4"
"New York, USA","NEUTRAL","49"
"Valais","POSITIVE","8"
"Evry Pyramides","NEUTRAL","2"
"Cernier","NEUTRAL","7"
"Trelex, Vaud","NEUTRAL","2"
"Paris,Le Raincy","NEUTRAL","1"
"Bern, 20 Meter ü. Aare","POSITIVE","1"
"Suisse, Gland","NEUTRAL","5"
"Lugano, Svizzera","NEUTRAL","1"
"Nantes, France","NEUTRAL","2"
"Bern, Fribourg, Lausanne","NEUTRAL","4"
"Istanbul//Antalya","NEUTRAL","1"
"Meyrin","NEUTRAL","7"
"Greifensee, Schweiz","NEUTRAL","1"
"sarah jihane | ig : jenwestp","NEUTRAL","6"
"le sentier, switzerland","NEUTRAL","1"
"Geneve, suisse","NEUTRAL","1"
"Genève, Switzerland","NEUTRAL","223"
"Marly, Suisse","NEUTRAL","24"
"Switzerland, VD","NEUTRAL","3"
"Suisse, Switzerland","POSITIVE","4"
"Lausanne, Suisse / Switzerland","NEUTRAL","14"
"Rhône-Alpes, France","NEUTRAL","6"
"Lake District, UK","POSITIVE","1"
"Sion , Suisse","NEUTRAL","4"
"Berikon, Schweiz","NEUTRAL","1"
"Sleeping","NEUTRAL","2"
"Jura, FRANCE.","NEUTRAL","5"
"Geneva and Manila","NEUTRAL","1"
"Morges, Suisse","POSITIVE","1"
"Lausanne, CH","NEUTRAL","60"
"Gland","NEUTRAL","39"
"Zweisimmen","NEUTRAL","6"
"Suisse, vd","NEUTRAL","7"
"Kingdom of Saudi Arabia","NEUTRAL","2"
"Pully, Suisse.","NEUTRAL","10"
"Bluche, Switzerland","NEUTRAL","1"
"Zurich, Swizerland","NEUTRAL","1"
"Paris, rive gauche.","POSITIVE","1"
"Zermatt, Täsch","NEUTRAL","1"
"Iquique Chile","NEUTRAL","9"
"CdF, NE, Suisse","NEUTRAL","1"
"Monthey, Valais","NEGATIVE","1"
"Villeneuve (VD), Vaud","POSITIVE","1"
"Genève, Suisse / Paris, France","NEUTRAL","27"
"Switzerland, Geneva","NEUTRAL","52"
"Berne, Switzerland","POSITIVE","4"
"スイス","NEUTRAL","52"
"Fully, Switzerland","NEUTRAL","9"
"Tafers","NEUTRAL","1"
"Leeds - Montreux - Yarmouk","NEUTRAL","1"
"Charmey, Fribourg","NEUTRAL","1"
"Birmensdorf (ZH), Schweiz","NEUTRAL","2"
"gl","NEUTRAL","3"
"Cortaillod, Suisse","NEUTRAL","2"
"Nw","POSITIVE","3"
"jura","NEUTRAL","594"
"1968 Mase Suisse","NEUTRAL","55"
"Amiri Hospital-Radiology dept","NEUTRAL","1"
"Fully, Suisse","NEUTRAL","119"
"I can't breath","NEUTRAL","8"
"Berlin/Zürich","NEUTRAL","2"
"Geneva / Ghana","NEUTRAL","1"
"London, UK.","NEUTRAL","1"
"Philadelphia, PA","NEUTRAL","1"
"Saint-Maurice, Valais","NEUTRAL","2"
"ZürichBielBernon the Train","NEUTRAL","2"
"Australia","POSITIVE","1"
"Lausanne","NEUTRAL","7822"
"Jura, Franche-Comté.","NEUTRAL","192"
"None","NEGATIVE","44"
"Yverdon","NEUTRAL","265"
"spiez","NEUTRAL","10"
"Geneva,N.Y,Paris,Jhb,Addis,","NEUTRAL","1"
"Lyon - Genève - Bogotá","NEUTRAL","10"
"Pontarlier, France","NEUTRAL","8"
"Switzerland, Valais","NEUTRAL","12"
"France","POSITIVE","2"
"marvel","NEUTRAL","1"
"Coimbra","NEUTRAL","1"
"Mystic Falls","NEGATIVE","2"
"lausanne / MONÇÃO","NEUTRAL","27"
"Bucilly, Picardie","NEUTRAL","2"
"Yvonand, Vaud","NEUTRAL","2"
"Hettlingen CH / SanJose Ca","NEUTRAL","1"
"Lausanne-vers-Ouest","NEUTRAL","1"
"Nancy","NEUTRAL","3"
"Puidoux, Vaud, Switzerland","NEGATIVE","1"
"Lausanne, Switzerland Chicago, Illinois","NEUTRAL","1"
"VS // SG, Switzerland","NEUTRAL","31"
"Lutry","POSITIVE","33"
"Frankfurt, Germany","NEUTRAL","1"
"lausanne, california state","NEUTRAL","136"
"Riaz","POSITIVE","24"
"Cunter, Svizra","NEUTRAL","7"
"Vaud, Suisse","NEGATIVE","13"
"Ryan","NEUTRAL","2"
"Geneva, London","NEUTRAL","4"
"Lons le Saunier, Jura","NEUTRAL","6"
"Prilly, Suisse","NEUTRAL","10"
"Orsières","POSITIVE","2"
"Vallamand, Vaud","NEUTRAL","1"
"lyon","NEUTRAL","3"
"Newcastle and Hunter Valley","NEUTRAL","1"
"Ecublens","NEUTRAL","202"
"Jura, Franche-Comté","POSITIVE","38"
"Belgium","NEUTRAL","26"
"suisse, Lausanne","NEUTRAL","156"
"Geneva, CH","NEUTRAL","192"
"La Chaux-de-Fonds, Suisse","NEUTRAL","117"
"In a booth, Switzerland","NEGATIVE","1"
"Switzerland, Chill","POSITIVE","18"
"Napoli, Campania","NEUTRAL","25"
"Engelberg, Obwalden","POSITIVE","5"
"Blonay","NEUTRAL","3"
"Savagnier, Neuchâtel","NEUTRAL","4"
"Spreitenbach, Schweiz","NEUTRAL","3"
"im@ 46.562224,6.684387","NEUTRAL","1"
"Nyon, Suíça","NEUTRAL","2"
"Savosa, Ticino","POSITIVE","1"
"Lyon/Genève","NEUTRAL","6"
"Valais, Magnot 6.3","NEUTRAL","4"
"Genève, Suisse / Portugal","NEUTRAL","1"
"iPhone: 46.939835,7.435745","NEUTRAL","3"
"Suisse, Swiss","NEUTRAL","1"
"Metz | gdlt","NEGATIVE","1"
"Tignes, France","NEUTRAL","1"
"Mar del Plata","NEUTRAL","2"
"Sion, VS","NEUTRAL","51"
"Palettes, Genève","NEUTRAL","7"
"zurich, switzerland","NEUTRAL","22"
"Sadnessland","NEGATIVE","3"
"Geneva, Switzerland CH","NEGATIVE","1"
"Netherlands","NEUTRAL","2"
"Biel BE, Schweiz","NEUTRAL","2"
"SHQIPËRIA / Genève","POSITIVE","1"
"geneva - sion","NEUTRAL","21"
"القصيم - بريدة","NEUTRAL","1"
"Montevideo, Uy","NEUTRAL","1"
"Renens, Switzerland","NEUTRAL","1"
"wonderland","NEUTRAL","3"
"Massongex,Suisse","NEUTRAL","94"
"Swiss","NEUTRAL","1316"
"Vaud, CH","NEUTRAL","69"
"heaven","NEUTRAL","55"
"Yverdon-les-bains, Switzerland","POSITIVE","3"
"Richmond, VA","NEUTRAL","1"
"Anish.,Cree,Dakota,Metis Terr.","NEUTRAL","1"
"Romanel, Switzerland","NEUTRAL","2"
"Dijon / Beaune","NEUTRAL","1"
"São Paulo","NEUTRAL","1"
"Prilly, Switzerland","NEUTRAL","1"
"Villars-sur-Glâne, Suisse","NEUTRAL","22"
"Fribourg, CH | Türkiye 24","NEUTRAL","100"
"Aserrí, Costa Rica","NEUTRAL","1"
"Genève-Lausanne","NEUTRAL","8"
"Suisse, VD","NEGATIVE","1"
"Romont, Switzerland","NEUTRAL","13"
"Zurich, Olten, Munich, Nice","NEUTRAL","1"
"Lugano","POSITIVE","1"
"Les Valettes","NEUTRAL","2"
"Orvin, Suisse","NEUTRAL","5"
"Oberwil BL","NEUTRAL","2"
"Thonex, Genf","NEUTRAL","1"
"Auxonne","NEUTRAL","1"
"35 rue du Simplon, Lausanne","NEUTRAL","1"
"Le Mont-sur-Lausanne, Vaud","NEGATIVE","2"
"Boudry, Neuchâtel","NEUTRAL","1"
"zürich, Switzerland","NEUTRAL","1"
"montfort l'amaury","NEUTRAL","3"
"lightskin boy","NEUTRAL","163"
"zg","NEUTRAL","1"
"Sergey, Suisse","NEUTRAL","1"
"Thun","NEUTRAL","4"
"Renens VD","NEUTRAL","3"
"Lutry, Switzerland","NEUTRAL","4"
"basel","POSITIVE","1"
"46.519226,6.639824","NEUTRAL","1"
"Courtepin, Fribourg","NEUTRAL","2"
"Chablais","NEUTRAL","3"
"Suisse, Fribourg","NEUTRAL","32"
"Château-d'Oex, Switzerland","NEUTRAL","1"
"La Chaux-de-Fonds, Switzerland","POSITIVE","14"
"Genf","POSITIVE","9"
"1006, Lausanne, Suisse","NEUTRAL","10"
"Conthey, Suisse","NEUTRAL","3"
"Härkigen, Schweiz","NEUTRAL","1"
"Auvernier 28-29-30 aout 2015","NEUTRAL","26"
"Praz-Vully, Suisse","NEUTRAL","4"
"Ixelles","NEUTRAL","5"
"Presinge, Switzerland","NEUTRAL","4"
"Zurich, Paris et Challement","POSITIVE","4"
"Switzerland but I'd say usa","POSITIVE","4"
"Dünyalıydi Marsa Tasindi","NEUTRAL","1"
"Château-Thierry, Picardie","POSITIVE","1"
"Lausanne Switzerland","NEUTRAL","1"
"Paris / Lyon","NEUTRAL","2"
"La Chaux-de-Fonds","NEUTRAL","38"
"Switzerland, Montreux","POSITIVE","1"
"Muhen","NEUTRAL","16"
"Lourtier, Verbier","NEUTRAL","7"
"Université de Lausanne, Suisse","NEUTRAL","2"
"Basel, Suiza","NEUTRAL","2"
"Montréal, Québec","NEUTRAL","18"
".fr, .be, .ch, .eu | Lausanne","POSITIVE","4"
"Corminboeuf, Fribourg","NEUTRAL","1"
"Bristol UK","NEUTRAL","1"
"Bundesstadt","NEUTRAL","1"
"ÜT: 0.0,0.0","NEUTRAL","4"
"Zürich, Schweiz","NEUTRAL","88"
"Genève, Suisse Egypte","NEUTRAL","130"
"angers","NEUTRAL","72"
"(0.9)","NEUTRAL","151"
"Suisse ☼","NEUTRAL","1"
"Celigny, Switzerland","NEUTRAL","1"
"Solothurn - Switzerland","NEUTRAL","1"
"Carouge, Genève","POSITIVE","5"
"Echichens","NEUTRAL","10"
"KO","NEUTRAL","1"
"Poitpoit","NEUTRAL","1"
"Orbe, Suisse","POSITIVE","1"
"Rheineck, Switzerland","NEUTRAL","1"
"آذار | 5344 ✨","NEUTRAL","1"
"Kyiv / Geneva","NEUTRAL","1"
"Villars-sur-Ollon, Switzerland","NEUTRAL","1"
"Gingins, Valais, Suisse","NEUTRAL","249"
"Geneva/Zurich, Switzerland","NEUTRAL","23"
"Freiburg, Schweiz","NEUTRAL","46"
"Show Room Pontaise52, Lausanne","NEUTRAL","1"
"Court","NEUTRAL","2"
"Canoas","NEUTRAL","1"
"Geneva City","NEUTRAL","72"
"lausanne, suisse","NEUTRAL","17"
"Châtel-St-Denis","NEUTRAL","15"
"Le Landeron, Neuchâtel","NEUTRAL","3"
"Morgins","POSITIVE","1"
"Aix-en-provence","NEUTRAL","1"
"Switzerland,Fribourg","NEUTRAL","1"
"Turin, Italy","NEUTRAL","2"
"Penthalaz, Suisse","NEUTRAL","4"
"Münsingen, Schweiz","NEUTRAL","1"
"Bar","NEUTRAL","4"
"Zürich/Switzerland","NEUTRAL","1"
"Spain/Switzerland.","NEUTRAL","1"
"Paris, Picardy and more...","NEUTRAL","1"
"Chacripanie","NEUTRAL","1"
"Savièse, Valais","NEUTRAL","3"
"meyrin","NEUTRAL","31"
"Terre du Milieu","POSITIVE","5"
"Ecublens (VD), Vaud","NEUTRAL","2"
"JURA","POSITIVE","2"
"Fino Mornasco","NEUTRAL","1"
"Brooklyn Nets","NEUTRAL","3"
"Carouge GE","NEUTRAL","1"
"Tremblay-en-France","POSITIVE","1"
"ginebra","NEUTRAL","1"
"it's all about us, ju","NEUTRAL","1"
"Corsier-sur-Vevey, Suisse","POSITIVE","2"
"Montpellier, France","NEUTRAL","1"
"Suisse, Neuchâtel","NEUTRAL","12"
"glion rpz haha","NEUTRAL","35"
"Yvonand, Suisse","NEUTRAL","3"
"Hyrule ~ Chromapolis ~ IS City","NEUTRAL","9"
"Champvent, Switzerland","NEUTRAL","8"
"Morges, Vaud","NEUTRAL","13"
"Sion,Suisse","NEUTRAL","1"
"Zurich,","NEUTRAL","6"
"Haute-Savoie, Rhône-Alpes","NEUTRAL","9"
"Martigny","POSITIVE","1"
"Place de la Madeleine, Genève","NEUTRAL","1"
"ag, jano, the weeknd, ts, mb","NEUTRAL","2"
"Tokyo, 94","NEUTRAL","21"
"Chiasso","NEUTRAL","6"
"Sierre, Suisse","NEUTRAL","1"
"Kreuzlingen","NEUTRAL","1"
"Buchères, France","NEUTRAL","2"
"Vevey, Switzerland","POSITIVE","7"
"Switzerland, Zürich","NEUTRAL","2"
"Schweiz, Deutschland","NEUTRAL","8"
"Estavayer-le-Lac, Suisse #Fr","NEUTRAL","10"
"Thônex, Genève","POSITIVE","5"
"La Brévine, Switzerland","POSITIVE","1"
"Eschlikon, Thurgau - Schweiz","NEUTRAL","1"
"Ambrì, Switzerland","NEUTRAL","1"
"Suisse, France cathodique","NEGATIVE","1"
"between Geneva and Mexico","POSITIVE","1"
"Genève, et Paris, TX","NEGATIVE","1"
"Verbier","NEUTRAL","72"
"salvan","NEUTRAL","9"
"Au Pays Des Merveilles","NEUTRAL","1"
"Zurich Area, CH","NEUTRAL","1"
"ك.ل","NEUTRAL","2"
"Vaumarcus, Suisse","NEUTRAL","4"
"Untersiggenthal, Switzerland","POSITIVE","3"
"genf, mtp","NEUTRAL","7"
"Sion","NEUTRAL","2"
"Baar, Switzerland","NEUTRAL","1"
"Bellinzona, Switzerland","NEUTRAL","1"
"SCHWEIZ","NEUTRAL","1"
"Preverenges Suisse","NEUTRAL","5"
"Chur","NEUTRAL","4"
"Grindelwald, Switzerland","NEUTRAL","1"
"Strasbourg","NEUTRAL","4"
"vaud","NEUTRAL","25"
"Marseille","NEUTRAL","15"
"Kandor - Zürich, Switzerland","NEUTRAL","1"
"Reims, Champagne-Ardenne","NEUTRAL","1"
"CYB","NEUTRAL","6"
"Genève Suisse","NEUTRAL","3"
"Lake of Geneva region","NEUTRAL","1"
"Denton County, TX","NEUTRAL","1"
"Bagnes, Valais","NEUTRAL","8"
"Sankt Gallen","NEUTRAL","2"
"Лестат, Джонни, Лис","NEUTRAL","1"
"Jura, France.","POSITIVE","8"
"Switzerland/France","NEUTRAL","6"
"Ayent, Valais","NEUTRAL","1"
"La chaux-de-fonds","NEUTRAL","1"
"Cousset, district de la Broye","NEUTRAL","3"
"Suisse , Lausanne","POSITIVE","2"
"Rheinfelden, Schweiz","NEUTRAL","2"
"Cugnasco-Gerra, Svizzera","NEUTRAL","1"
"pmore, 5h, t100, OW","NEUTRAL","3"
"Genève, Lyon, Paris","POSITIVE","2"
"Zürich-Wintethur, Switzerland","NEUTRAL","1"
"Stein am Rhein","NEUTRAL","1"
"Caen","NEUTRAL","1"
"Bienne - Bucarest","NEUTRAL","1"
"Lugano, Ticino","NEUTRAL","98"
"Biel-Bienne","NEUTRAL","36"
"Geneve, Geneva Suisse","NEUTRAL","47"
"Benidorm","NEUTRAL","1"
"Champéry, Valais","POSITIVE","7"
"Genève - Toronto.","NEUTRAL","1"
"3fav de Mathieu&Sofia","NEUTRAL","9"
"LUGANO","NEUTRAL","4"
"Bern, Schweiz | Gdl,Jalisco","NEUTRAL","1"
"genève, suisse","NEUTRAL","6"
"Hertfordshire England","NEUTRAL","1"
"Switzerland","NEGATIVE","139"
"Les Enfers, Suisse","NEUTRAL","136"
"Vétroz, Valais","NEUTRAL","10"
"Schweiz","POSITIVE","8"
"Genève, Suisse - Amsterdam, NL","NEUTRAL","6"
"Ticino, Switzerland","NEUTRAL","18"
"Aargau","NEUTRAL","1"
"Zurich, Suiza","NEUTRAL","3"
"iPhone: 46.955950,8.386532","NEUTRAL","1"
"Geneve Swiss","NEUTRAL","2"
"geneva city","NEUTRAL","5"
"CABA - Argentina","NEUTRAL","2"
"Montreal - Canada","NEUTRAL","4"
"Monaco","NEUTRAL","1"
"Grandvaux, Suisse","POSITIVE","47"
"Lausanne/Genève, Suisse","NEUTRAL","15"
"Le Mans","NEUTRAL","10"
"Matran, Switzerland","NEUTRAL","1"
"Aigle","NEUTRAL","14"
"Chaux-de-Fonds","NEUTRAL","16"
"casselman, on","NEUTRAL","1"
"Martigny-Combe","NEUTRAL","4"
"St. Gallen, Zürich, Lausanne","NEUTRAL","3"
