"Luzern","NEUTRAL","13"
"Switzerland","POSITIVE","1021"
"Porrentruy","NEUTRAL","27"
"Winterthur","POSITIVE","1"
"Baden","NEUTRAL","10"
"Svajcarska","NEUTRAL","1"
"Frauenfeld","NEUTRAL","9"
"スイス","NEUTRAL","14"
"Lausanne","NEUTRAL","12566"
"Swiss","NEUTRAL","2999"
"Lugano","POSITIVE","17"
"Genf","POSITIVE","2"
"Kreuzlingen","NEUTRAL","1"
"Chur","NEUTRAL","7"
"Sankt Gallen","NEUTRAL","2"
"Schweiz","POSITIVE","20"
"Switzerland","NEGATIVE","146"
"Aigle","NEUTRAL","107"
"Geneva","NEUTRAL","7328"
"Helvetia","POSITIVE","1"
"Zürich","POSITIVE","73"
"Genève","POSITIVE","412"
"La Sarraz","NEUTRAL","4"
"Delémont","NEUTRAL","146"
"Suiza","NEUTRAL","51"
"Lugano","NEGATIVE","1"
"Brugg","NEUTRAL","12"
"Geneve","POSITIVE","10"
"Fribourg","POSITIVE","24"
"Zuerich","NEUTRAL","1"
"CH","POSITIVE","28"
"Olten","NEUTRAL","1"
"Bâle","NEUTRAL","34"
"Schweiz","NEGATIVE","3"
"Monthey","NEUTRAL","244"
"Suisse","POSITIVE","1565"
"Lucerne","NEUTRAL","34"
"Svizzera","NEUTRAL","10"
"Helvetia","NEGATIVE","1"
"Genève","NEGATIVE","73"
"Evolène","NEUTRAL","1"
"Laufenburg","NEUTRAL","1"
"Porrentruy","POSITIVE","1"
"سويسرا","NEUTRAL","1"
"Svizra","NEUTRAL","1"
"Schwiz","NEUTRAL","2"
"Baden","POSITIVE","1"
"Zürich","NEUTRAL","823"
"Lenzburg","NEUTRAL","1"
"Geneve","NEGATIVE","5"
"Suïssa","NEUTRAL","3"
"スイス","POSITIVE","1"
"Lausanne","POSITIVE","229"
"Fribourg","NEGATIVE","2"
"CH","NEGATIVE","6"
"Ginevra","NEUTRAL","8"
"Bienne","NEUTRAL","369"
"Swiss","POSITIVE","14"
"Marly","NEUTRAL","728"
"Basel","NEUTRAL","227"
"Suisse","NEGATIVE","209"
"Bellinzona","NEUTRAL","24"
"Visp","NEUTRAL","7"
"Renens","NEUTRAL","10"
"Bulle","NEUTRAL","151"
"Bern","NEUTRAL","569"
"Zurich","NEUTRAL","684"
"Geneva","POSITIVE","116"
"Payerne","NEUTRAL","18"
"Lausanne","NEGATIVE","30"
"Confoederatio Helvetica","NEUTRAL","3"
"Basilea","NEUTRAL","1"
"Swiss","NEGATIVE","3"
"Neuchatel","NEUTRAL","3"
"Berna","NEUTRAL","7"
"Suíça","NEUTRAL","9"
"Monthey","POSITIVE","5"
"Geneva","NEGATIVE","21"
"Switzerland","NEUTRAL","32706"
"Uster","NEUTRAL","11"
"Winterthur","NEUTRAL","20"
"Neuchâtel","POSITIVE","12"
"Biel","NEUTRAL","5"
"Zurigo","NEUTRAL","4"
"Lugano","NEUTRAL","2099"
"Genf","NEUTRAL","233"
"Bienne","POSITIVE","1"
"Marly","POSITIVE","10"
"Basel","POSITIVE","2"
"Le Locle","NEUTRAL","25"
"Brig","NEUTRAL","1"
"Schweiz","NEUTRAL","1020"
"Bulle","POSITIVE","7"
"Helvetia","NEUTRAL","37"
"Bern","POSITIVE","9"
"Zurich","POSITIVE","108"
"Zürich","NEGATIVE","4"
"Genève","NEUTRAL","27030"
"Neuchâtel","NEUTRAL","417"
"St. Gallen","NEUTRAL","9"
"Basilea","POSITIVE","1"
"Geneve","NEUTRAL","1501"
"Biel/Bienne","NEUTRAL","89"
"Conthey","NEUTRAL","20"
"Fribourg","NEUTRAL","1017"
"Poschiavo","NEUTRAL","1"
"CH","NEUTRAL","722"
"Saint-Maurice","NEUTRAL","20"
"Schaffhausen","NEUTRAL","2"
"Suisse","NEUTRAL","42649"
"Rheinfelden","NEUTRAL","1"
"Zurich","NEGATIVE","1"
"Aarau","NEUTRAL","3"
"Zermatt","NEUTRAL","2"
