"Luzern","NEUTRAL","8"
"Renens (VD), Vaud","NEUTRAL","14"
"Rolle, Suisse","NEUTRAL","6"
"Fribourg/Freiburg, Switzerland","NEUTRAL","1"
"France/Suisse","NEUTRAL","1"
"HQ Geneva, Switzerland","NEUTRAL","1"
"Chiasso, Ticino","NEUTRAL","3"
"Switzerland","POSITIVE","460"
"Brisbane City, Brisbane","NEUTRAL","4"
"Genève, Zurich","NEUTRAL","1"
"Sierre, Valais HES-SO","NEUTRAL","6"
"Wonderful Prod / Paris Suisse","NEUTRAL","1"
"Nyon","NEUTRAL","52"
"Moutier, Switzerland","NEUTRAL","6"
"pendang,kedah","NEUTRAL","1"
"Arau, Perlis","NEUTRAL","2"
"collombey valais , suisse","NEUTRAL","2"
"london, uk.","NEUTRAL","1"
"switzerland; planet jeds","NEUTRAL","1"
"Romainmôtier, Suisse","NEUTRAL","1"
"Geneva , Switzerland","NEUTRAL","5"
"Nendaz, Switzerland","NEUTRAL","13"
"Cressier/NE,Switzerland","POSITIVE","1"
"Vouvry, Valais","NEUTRAL","4"
"Tout Droit du 93","NEUTRAL","2"
"Annemasse (74)","NEUTRAL","1"
"Rolle, Switzerland","NEUTRAL","1"
"Suisse Lausanne","NEUTRAL","1"
"Cyberia","NEUTRAL","4"
"La Plaine Saint-Denis","NEUTRAL","1"
"Saanen","NEUTRAL","1"
"Switzerland, Vevey","NEUTRAL","1"
"Baden","NEUTRAL","3"
"Rhône-Alpes","NEUTRAL","3"
"@ya mama's house, Switzerland","NEUTRAL","3"
"Geneve, Switzerland","NEUTRAL","23"
"lausanne, Suisse","NEUTRAL","11"
"Geneva, Chicago, Twitter","NEUTRAL","1"
"Lucerne, Switzerland","NEUTRAL","2"
"CH - Gnv","NEUTRAL","3"
"suisse","NEUTRAL","451"
"New York, USA","NEUTRAL","9"
"Lugano, Svizzera","NEUTRAL","1"
"Valais","POSITIVE","6"
"Cernier","NEUTRAL","2"
"Munich, Bavaria","POSITIVE","1"
"Genève, Switzerland","NEUTRAL","73"
"Lausanne, Suisse / Switzerland","NEUTRAL","3"
"suisse/geneve","NEUTRAL","1"
"Nyon, Switzerland","NEGATIVE","1"
"Sleeping","NEUTRAL","16"
"Marly, Suisse","NEUTRAL","4"
"Suisse, Switzerland","POSITIVE","2"
"Berikon, Schweiz","NEUTRAL","1"
"charleroi","NEUTRAL","2"
"Bahrain","NEUTRAL","4"
"Canada, Serbia, Malawi","NEUTRAL","1"
"Lausanne, CH","NEUTRAL","7"
"Gland","NEUTRAL","9"
"Genève 1⃣7⃣","NEUTRAL","1"
"Zweisimmen","NEUTRAL","1"
"Geneva - Italy","NEUTRAL","1"
"Kingdom of Saudi Arabia","NEUTRAL","1"
"スイス","NEUTRAL","17"
"Frick, Aargau, Switzerland","NEUTRAL","1"
"Fully, Switzerland","NEUTRAL","1"
"verbier","NEUTRAL","1"
"Genève, Suisse / Paris, France","NEUTRAL","7"
"Freebourg, Sweetzerland","NEUTRAL","1"
"Termen, Wallis /Zwitserland","NEUTRAL","2"
"Switzerland, Geneva","NEUTRAL","4"
"Romiley","NEUTRAL","1"
"Charmey, Fribourg","NEUTRAL","1"
"Berne, Switzerland","POSITIVE","1"
"Fully, Suisse","NEUTRAL","28"
"jura","NEUTRAL","99"
"Switzerland, en suisse","POSITIVE","1"
"Spain, France, Canada, RSA","NEUTRAL","2"
"1968 Mase Suisse","NEUTRAL","6"
"Evian-les-Bains","NEUTRAL","1"
"Lausanne","NEUTRAL","2567"
"Yverdon","NEUTRAL","29"
"None","NEGATIVE","5"
"Jura, Franche-Comté.","NEUTRAL","13"
"Switzerland, Valais","NEUTRAL","15"
"spiez","NEUTRAL","5"
"G.","NEUTRAL","1"
"Yvonand, Vaud","NEUTRAL","1"
"Jura, Switzerland","POSITIVE","1"
"Unidad Basica PJ Basel, Suiza","NEUTRAL","1"
"Orsières","POSITIVE","1"
"lausanne, california state","NEUTRAL","18"
"Riaz","POSITIVE","7"
"Lutry","POSITIVE","2"
"Prilly, Suisse","NEUTRAL","2"
"Vaud, Suisse","NEGATIVE","4"
"Vallamand, Vaud","NEUTRAL","3"
"VS // SG, Switzerland","NEUTRAL","4"
"Geneva, London","NEUTRAL","2"
"La Chaux-de-Fonds, Suisse","NEUTRAL","96"
"Ecublens","NEUTRAL","70"
"Geneva, CH","NEUTRAL","61"
"suisse, Lausanne","NEUTRAL","25"
"Jura, Franche-Comté","POSITIVE","9"
"#Annecy #Genève Franche-Comté","NEUTRAL","1"
"Switzerland, Chill","POSITIVE","1"
"Nyon, Suíça","NEUTRAL","2"
"Spreitenbach, Schweiz","NEUTRAL","1"
"Savagnier, Neuchâtel","NEUTRAL","2"
"Blonay","NEUTRAL","3"
"Sion, VS","NEUTRAL","11"
"zurich, switzerland","NEUTRAL","4"
"Palettes, Genève","NEUTRAL","10"
"Renens, Switzerland","NEUTRAL","1"
"wonderland","NEUTRAL","1"
"Echandens, Switzerland","POSITIVE","1"
"Swiss","NEUTRAL","725"
"São Paulo","NEUTRAL","1"
"Vaud, CH","NEUTRAL","6"
"Genève, Suisse☁️","POSITIVE","1"
"Massongex,Suisse","NEUTRAL","14"
"Ici et là...","NEUTRAL","1"
"Fribourg, CH | Türkiye 24","NEUTRAL","36"
"Oberwil BL","NEUTRAL","14"
"Genève-Lausanne","NEUTRAL","1"
"ai","NEUTRAL","1"
"Romont, Switzerland","NEUTRAL","2"
"Lugano","POSITIVE","2"
"Villars-sur-Glâne, Suisse","NEUTRAL","2"
"Thun","NEUTRAL","2"
"Conthey, Suisse","NEUTRAL","6"
"Château-d'Oex, Switzerland","NEUTRAL","1"
"Den Haag","NEUTRAL","1"
"Suisse, Fribourg","NEUTRAL","9"
"Praz-Vully, Suisse","NEUTRAL","2"
"Presinge, Switzerland","NEUTRAL","3"
"sharjah uae","NEUTRAL","1"
"Zurich, Paris et Challement","POSITIVE","1"
"Muhen","NEUTRAL","6"
"La Chaux-de-Fonds","NEUTRAL","9"
".fr, .be, .ch, .eu | Lausanne","POSITIVE","1"
"Université de Lausanne, Suisse","NEUTRAL","1"
"Lourtier, Verbier","NEUTRAL","3"
"Corminboeuf, Fribourg","NEUTRAL","2"
"Carouge, Genève","POSITIVE","1"
"Genève, Suisse Egypte","NEUTRAL","13"
"Zürich, Schweiz","NEUTRAL","19"
"Je me le demande souvent","NEUTRAL","1"
"Gingins, Valais, Suisse","NEUTRAL","75"
"Geneva City","NEUTRAL","2"
"Freiburg, Schweiz","NEUTRAL","11"
"Châtel-St-Denis","NEUTRAL","3"
"Geneva/Zurich, Switzerland","NEUTRAL","5"
"From Geneva, Switzerland","NEUTRAL","4"
"lausanne, suisse","NEUTRAL","3"
"Court","NEUTRAL","1"
"Penthalaz, Suisse","NEUTRAL","1"
"Bar","NEUTRAL","1"
"Saint-Avé, France","NEUTRAL","3"
"Savièse, Valais","NEUTRAL","1"
"Courtételle / Jura","NEUTRAL","1"
"Le Locle","POSITIVE","1"
"Montpellier, France","NEUTRAL","1"
"meyrin","NEUTRAL","1"
"Morges, Vaud","NEUTRAL","4"
"Yvonand, Suisse","NEUTRAL","5"
"Zurich,","NEUTRAL","1"
"Manno, Svizzera","NEUTRAL","1"
"Suisse, Neuchâtel","NEUTRAL","4"
"Haute-Savoie, Rhône-Alpes","NEUTRAL","1"
"Martigny","POSITIVE","4"
"Paradiso, Svizzera","NEUTRAL","1"
"Champvent, Switzerland","NEUTRAL","1"
"Estavayer-le-Lac, Suisse #Fr","NEUTRAL","4"
"Ferney-Voltaire","NEUTRAL","1"
"Suisse, France cathodique","NEGATIVE","1"
"Thônex, Genève","POSITIVE","1"
"A E S T H E T I C","NEUTRAL","1"
"Verbier","NEUTRAL","28"
"genf, mtp","NEUTRAL","3"
"salvan","NEUTRAL","1"
"Hölstein, Switzerland.","NEUTRAL","1"
"Canary island :D","NEUTRAL","1"
"Au Pays Des Merveilles","NEUTRAL","1"
"sh","NEUTRAL","2"
"Bagnes, Valais","NEUTRAL","1"
"Strasbourg","NEUTRAL","1"
"Veurne, Belgium","NEUTRAL","1"
"Genève Suisse","NEUTRAL","2"
"Genève, Lyon, Paris","POSITIVE","5"
"Mo City","NEUTRAL","2"
"poitiers","NEUTRAL","1"
"bulle","POSITIVE","1"
"reading, uk","NEUTRAL","1"
"geneva, paris,and more to come","NEUTRAL","1"
"Zulfi - Kuwait - Dubai","NEUTRAL","2"
"genève, suisse","NEUTRAL","3"
"Geneve, Geneva Suisse","NEUTRAL","2"
"Lugano, Ticino","NEUTRAL","2"
"Biel-Bienne","NEUTRAL","1"
"Schweiz","POSITIVE","4"
"Switzerland","NEGATIVE","64"
"Ticino, Switzerland","NEUTRAL","3"
"Vétroz, Valais","NEUTRAL","1"
"Monaco","NEUTRAL","1"
"Les Enfers, Suisse","NEUTRAL","22"
"Geneve Swiss","NEUTRAL","11"
"Genève, Suisse - Amsterdam, NL","NEUTRAL","1"
"Aigle","NEUTRAL","3"
"Lausanne/Genève, Suisse","NEUTRAL","3"
"ginevra","POSITIVE","1"
"Grandvaux, Suisse","POSITIVE","6"
"Martigny-Combe","NEUTRAL","1"
"Chaux-de-Fonds","NEUTRAL","3"
"uk","NEUTRAL","1"
"Zurique, Suíça","NEUTRAL","1"
"Vaud, Switzerland","NEUTRAL","223"
"Genève, Tunisie","NEUTRAL","12"
"Bex","NEUTRAL","1"
"switzerland,,portugal","POSITIVE","1"
"Monte","NEUTRAL","3"
"Les Hauts-Geneveys, Neuchâtel","NEUTRAL","4"
"#TeamMinaj #TeamTinashe","NEUTRAL","3"
"Frick","NEUTRAL","1"
"Switzerland... Mostly....","NEUTRAL","1"
"Yverdon-les-Bains, CH","POSITIVE","1"
"Geneva","NEUTRAL","3258"
"rien","NEUTRAL","34"
"Basel-City, Switzerland","NEUTRAL","109"
"St.-Prex, Switzerland","NEUTRAL","8"
"Daillens, Vaud","POSITIVE","1"
"La Tour-de-Peilz","NEUTRAL","3"
"Genève, Carouge","NEUTRAL","2"
"Locarno","NEUTRAL","1"
"Neuchâtel, Suisse Korriban","NEUTRAL","59"
"universe","NEUTRAL","1"
"Savigny, Vaud","NEUTRAL","1"
"neuchâtel, CH","NEGATIVE","1"
"Yverdon les Bains, Suisse","NEUTRAL","4"
"Lausanne / Suisse","POSITIVE","1"
"Lucerne, Suisse","POSITIVE","5"
"Bouveret Suisse","NEUTRAL","2"
"Gèneve, Suisse","NEUTRAL","1"
"Gruyères, Switzerland","POSITIVE","3"
"Neuchâtel,Suisse","NEUTRAL","6"
"geneva, swiss","NEUTRAL","21"
"Lausanne, France, Mauritius","NEUTRAL","2"
"Veysonnaz, Suisse","NEUTRAL","5"
"ju, jo, 99gs, & kian follow—nc","NEUTRAL","4"
"Suisse, Arpitanie","NEUTRAL","20"
"La Chaux-de-Fonds, Neuchâtel","NEUTRAL","42"
"Avenches, Switzerland","NEUTRAL","1"
"United Nations, Geneva, CH","NEUTRAL","2"
"Paris IX","NEUTRAL","1"
"Gossau, Suiza","NEUTRAL","1"
"Cuira","NEUTRAL","1"
"Zürich","POSITIVE","36"
"Lausanne, Suisse","NEUTRAL","766"
"Jura, France","NEUTRAL","23"
"Bruxelles, Genève, Casablanca","POSITIVE","1"
"Pern","NEUTRAL","3"
"Glovelier, Jura, Suisse","NEUTRAL","1"
"Zürich, Badenerstrase 623","NEUTRAL","1"
"Martigny, Suisse","NEUTRAL","11"
"Saint-Prex","NEUTRAL","2"
"Bémont, Neuchâtel Suisse","NEUTRAL","2"
"Ayent","NEUTRAL","1"
"Genève","POSITIVE","141"
"Lausanne, Switzerland","NEUTRAL","854"
"Villars-sur-Glâne, Fribourg","POSITIVE","1"
"Buochs, Nidwalden, Suisse","NEUTRAL","2"
"veve","NEUTRAL","1"
"Italia - Schweiz - România","NEUTRAL","1"
"Neuchâtel, Suisse","NEUTRAL","555"
"Rapperswil","NEUTRAL","8"
"paris 20","NEUTRAL","6"
"St. Gallen, Schweiz","NEUTRAL","1"
"Valais, Switzerland","NEUTRAL","84"
"Le Locle, Neuchâtel","POSITIVE","1"
"Comano, Svizzera","NEUTRAL","3"
"Ascona, Ticino Svizzera","NEUTRAL","1"
"Switzerland, ZH×SG","NEUTRAL","1"
"lausanne","POSITIVE","2"
"La Sarraz","NEUTRAL","5"
"Basel, Switzerland","POSITIVE","11"
"Yverdon-les-Bains, Suisse","NEUTRAL","16"
"Bangkok, Thailand","NEUTRAL","1"
"Avry, Fribourg","NEUTRAL","1"
"Montreux Riviera","NEUTRAL","1"
"Paris France","NEUTRAL","3"
"Broye, Vaud, Suisse","POSITIVE","30"
"Lyss","NEUTRAL","1"
"Bulle, Switzerland","NEUTRAL","15"
"Aarberg, Switzerland","NEUTRAL","1"
"Ins, Schweiz","NEUTRAL","2"
"Jura, Franche-Comté","NEGATIVE","2"
"Geneve, Nice, Lyon","NEUTRAL","4"
"Genève,CH","NEUTRAL","3"
"geneva, switzerland","NEUTRAL","1"
"FR ~ KSA ~ ALG","NEUTRAL","1"
"Tavel, Languedoc-Roussillon","NEUTRAL","1"
"Lausanne, Genève.","NEUTRAL","3"
"Gland, Suisse","NEUTRAL","269"
"davos, switzerland","NEUTRAL","1"
"Châtelard, Limousin","NEUTRAL","6"
"Estavayer-le-Lac, Switzerland","POSITIVE","1"
"NW, England","NEUTRAL","1"
"Allaman, Suisse","NEUTRAL","2"
"Suisse - Londres","NEUTRAL","1"
"Miramas","NEUTRAL","3"
"Onex","NEUTRAL","2"
"France, Switzerland","NEUTRAL","1"
"Delémont","NEUTRAL","53"
"New York","NEUTRAL","2"
"bern","NEUTRAL","4"
"Blonay, Vaud","NEUTRAL","1"
"Winterthur, Switzerland","NEUTRAL","4"
"Aigle, Switzerland","NEUTRAL","3"
"Suiza","NEUTRAL","36"
