"Luzern","NEUTRAL","18"
"Switzerland","POSITIVE","999"
"Porrentruy","NEUTRAL","7"
"Joinville le Pont","NEUTRAL","1"
"Baden","NEUTRAL","4"
"Meilen","NEUTRAL","1"
"スイス","NEUTRAL","16"
"Berne, Switzerland","POSITIVE","1"
"Biel","POSITIVE","4"
"Le Mont-sur-Lausanne","NEUTRAL","1"
"Lausanne","NEUTRAL","8385"
"Swiss","NEUTRAL","1922"
"Lugano","POSITIVE","1"
"Thun","NEUTRAL","2"
"Genf","POSITIVE","9"
"Sankt Gallen","NEUTRAL","2"
"Schweiz","POSITIVE","35"
"Switzerland","NEGATIVE","145"
"Aigle","NEUTRAL","66"
"Geneva","NEUTRAL","7338"
"Genève - Lausanne - Zürich","NEUTRAL","4"
"Helvetia","POSITIVE","1"
"Zürich","POSITIVE","82"
"Lausanne, Suisse","NEUTRAL","2"
"Genève","POSITIVE","430"
"Evian","NEUTRAL","1"
"La Sarraz","NEUTRAL","7"
"Delémont","NEUTRAL","125"
"Caen, Basse-Normandie","POSITIVE","1"
"Suiza","NEUTRAL","72"
"Strasbourg, Alsace","NEUTRAL","1"
"Genf","NEGATIVE","7"
"Brugg","NEUTRAL","14"
"Nantes, Pays de la Loire","NEUTRAL","1"
"Interlaken","NEUTRAL","10"
"Geneve","POSITIVE","8"
"Fribourg","POSITIVE","19"
"Zuerich","NEUTRAL","2"
"CH","POSITIVE","20"
"Olten","NEUTRAL","4"
"Bâle","NEUTRAL","20"
"Schweiz","NEGATIVE","14"
"Monthey","NEUTRAL","345"
"Suisse","POSITIVE","1268"
"Lucerne","NEUTRAL","16"
"Svizzera","NEUTRAL","14"
"Suica","NEUTRAL","1"
"Fort Myers Beach","NEUTRAL","1"
"Genève","NEGATIVE","88"
"Evolène","NEUTRAL","1"
"Laufenburg","NEUTRAL","2"
"Porrentruy","POSITIVE","1"
"Lausanne, Suisse.","NEUTRAL","39"
"Zürich","NEUTRAL","764"
"Lenzburg","NEUTRAL","3"
"Geneva, Switzerland","NEUTRAL","2"
"Geneve","NEGATIVE","1"
"スイス","POSITIVE","1"
"Suïssa","NEUTRAL","4"
"Lausanne","POSITIVE","247"
"CH","NEGATIVE","3"
"Ginevra","NEUTRAL","17"
"Birmingham/Gurgaon","NEUTRAL","1"
"Bienne","NEUTRAL","267"
"Swiss","POSITIVE","2"
"Valais, Suisse","NEUTRAL","1"
"Marly","NEUTRAL","623"
"Basel","NEUTRAL","247"
"Suisse","NEGATIVE","214"
"Bellinzona","NEUTRAL","13"
"Visp","NEUTRAL","2"
"Renens","NEUTRAL","1"
