"Luzern","NEUTRAL","8"
"Switzerland","POSITIVE","1121"
"Porrentruy","NEUTRAL","10"
"Winterthur","POSITIVE","1"
"Baden","NEUTRAL","11"
"Frauenfeld","NEUTRAL","1"
"スイス","NEUTRAL","9"
"Lausanne","NEUTRAL","11326"
"Swiss","NEUTRAL","3640"
"Lugano","POSITIVE","3"
"Thun","NEUTRAL","2"
"Genf","POSITIVE","2"
"Kreuzlingen","NEUTRAL","1"
"Schweiz","POSITIVE","45"
"Switzerland","NEGATIVE","129"
"Aigle","NEUTRAL","195"
"Geneva","NEUTRAL","8219"
"Helvetia","POSITIVE","3"
"Zürich","POSITIVE","80"
"Genève","POSITIVE","625"
"La Sarraz","NEUTRAL","4"
"Delémont","NEUTRAL","174"
"Suiza","NEUTRAL","44"
"Genf","NEGATIVE","5"
"Brugg","NEUTRAL","12"
"Interlaken","NEUTRAL","3"
"Geneve","POSITIVE","17"
"Fribourg","POSITIVE","39"
"Zuerich","NEUTRAL","2"
"CH","POSITIVE","10"
"Olten","NEUTRAL","1"
"Bâle","NEUTRAL","54"
"Schweiz","NEGATIVE","6"
"Monthey","NEUTRAL","263"
"Suisse","POSITIVE","1989"
"Lucerne","NEUTRAL","19"
"Svizzera","NEUTRAL","7"
"Aarau","POSITIVE","1"
"Zermatt","POSITIVE","1"
"Genève","NEGATIVE","51"
"Evolène","NEUTRAL","2"
"Laufenburg","NEUTRAL","2"
"Dielsdorf","NEUTRAL","1"
"Luzern","POSITIVE","1"
"Baden","POSITIVE","1"
"Zürich","NEUTRAL","941"
"Lenzburg","NEUTRAL","2"
"Geneve","NEGATIVE","1"
"スイス","POSITIVE","3"
"Suïssa","NEUTRAL","1"
"Lausanne","POSITIVE","282"
"Fribourg","NEGATIVE","1"
"CH","NEGATIVE","2"
"Ginevra","NEUTRAL","6"
"Bienne","NEUTRAL","407"
"Swiss","POSITIVE","15"
"Marly","NEUTRAL","807"
"Basel","NEUTRAL","243"
"Suisse","NEGATIVE","268"
"Bellinzona","NEUTRAL","14"
"Visp","NEUTRAL","10"
"Renens","NEUTRAL","14"
"Bulle","NEUTRAL","150"
"Bern","NEUTRAL","531"
"Zurich","NEUTRAL","673"
"Geneva","POSITIVE","162"
"スイス","NEGATIVE","1"
"Payerne","NEUTRAL","13"
"Lausanne","NEGATIVE","30"
"Confoederatio Helvetica","NEUTRAL","2"
"La Sarraz","POSITIVE","1"
"Delémont","POSITIVE","8"
"Neuchatel","NEUTRAL","2"
"Swiss","NEGATIVE","2"
"Berna","NEUTRAL","19"
"Suíça","NEUTRAL","12"
"Monthey","POSITIVE","10"
"Geneva","NEGATIVE","26"
"Switzerland","NEUTRAL","32446"
"Uster","NEUTRAL","2"
"Winterthur","NEUTRAL","17"
"Sursee","NEUTRAL","1"
"Neuchâtel","POSITIVE","10"
"Solothurn","NEUTRAL","1"
"Biel","NEUTRAL","7"
"Zurigo","NEUTRAL","3"
"Lugano","NEUTRAL","353"
"Genf","NEUTRAL","383"
"Bienne","POSITIVE","5"
"Arlesheim","NEUTRAL","1"
"Marly","POSITIVE","4"
"Basel","POSITIVE","3"
"Le Locle","NEUTRAL","8"
"Brig","NEUTRAL","1"
"Renens","POSITIVE","1"
"Schweiz","NEUTRAL","1100"
"Bulle","POSITIVE","21"
"Neuchâtel","NEGATIVE","3"
"Helvetia","NEUTRAL","44"
"Zurich","POSITIVE","138"
"Bern","POSITIVE","11"
"Zürich","NEGATIVE","3"
"Genève","NEUTRAL","30383"
"Neuchâtel","NEUTRAL","415"
"St. Gallen","NEUTRAL","3"
"Confoederatio Helvetica","POSITIVE","1"
"Geneve","NEUTRAL","1126"
"Marly","NEGATIVE","1"
"Biel/Bienne","NEUTRAL","60"
"Fribourg","NEUTRAL","1169"
"Conthey","NEUTRAL","12"
"CH","NEUTRAL","574"
"Saint-Maurice","NEUTRAL","34"
"Schaffhausen","NEUTRAL","2"
"Suisse","NEUTRAL","54071"
"Rheinfelden","NEUTRAL","2"
"Zurich","NEGATIVE","1"
"Aarau","NEUTRAL","16"
"Zermatt","NEUTRAL","4"
