"Luzern","NEUTRAL","18"
"Geneva & all around the world!","NEUTRAL","1"
"Aarau.","NEUTRAL","1"
"Pvris.","NEUTRAL","8"
"Vladimir Poutine","NEUTRAL","1"
"Renens (VD), Vaud","NEUTRAL","3"
"France/Suisse","NEUTRAL","1"
"Switzerland","POSITIVE","1374"
"Paris / Pombal","NEUTRAL","1"
"Paris-France","NEUTRAL","2"
"Porrentruy","NEUTRAL","14"
"Geneva Squad","NEUTRAL","7"
"Verny, Lorraine","NEUTRAL","3"
"N 9°20.10' / E 123°18.05'","NEUTRAL","1"
"Locarno, Svizzera","NEUTRAL","1"
"Marly-le-Roi","NEUTRAL","7"
"collombey valais , suisse","NEUTRAL","2"
"Metz (57)","NEUTRAL","1"
"Annemasse (74)","NEUTRAL","1"
"genève • alger","NEUTRAL","1"
"Cyberia","NEUTRAL","1"
"Geneva - Riyadh","NEUTRAL","1"
"Baden","NEUTRAL","6"
"Vannes, France","POSITIVE","1"
"Saanen","NEUTRAL","1"
"Aarau/Marseille/East Germany","NEUTRAL","1"
"Lucerne, Switzerland","NEUTRAL","1"
"Geneve, Switzerland","NEUTRAL","4"
"dk zoo","NEUTRAL","2"
"New York, USA","NEUTRAL","33"
"Bern, Fribourg, Lausanne","NEUTRAL","3"
"Tavannes (BE) Suisse","NEUTRAL","1"
"suisse","NEUTRAL","45"
"Switzerland -Geneva","NEUTRAL","2"
"Bahrain","NEUTRAL","1"
"Genève, Switzerland","NEUTRAL","2"
"Chur, Graubünden","NEUTRAL","1"
"Paris (France)","NEUTRAL","2"
"Waldenburg","NEUTRAL","1"
"Lausanne, CH","NEUTRAL","12"
"Frauenfeld","NEUTRAL","1"
"Le Havre, Haute-Normandie","NEUTRAL","1"
"Geneva - Italy","NEUTRAL","1"
"Place du Nord 6, 1005 Lausanne","NEUTRAL","1"
"スイス","NEUTRAL","43"
"León/Chavornay/Halloween Town","NEUTRAL","2"
"Switzerland, Geneva","NEUTRAL","1"
"Suisse-Genève","NEUTRAL","3"
"région parisienne","NEUTRAL","1"
"Saint-Maurice, Valais","NEUTRAL","7"
"1968 Mase Suisse","NEUTRAL","3"
"Le Mont-sur-Lausanne","NEUTRAL","1"
"Lausanne","NEUTRAL","10669"
"None","NEGATIVE","45"
"France","POSITIVE","6"
"Valencienne, France.","NEUTRAL","11"
"Yverdon","NEUTRAL","5"
"Lausanne-vers-Ouest","NEUTRAL","2"
"links","NEUTRAL","14"
"Lyon - Genève - Bogotá","NEUTRAL","5"
"spiez","NEUTRAL","1"
"Exilé Franco-Israélo-Russe","POSITIVE","1"
"L.❤️","NEUTRAL","1"
"VS // SG, Switzerland","NEUTRAL","22"
"lyon","NEUTRAL","139"
"Roanne beach","NEUTRAL","5"
"Prilly, Suisse","NEUTRAL","6"
"U.S.","NEUTRAL","1"
"Lutry","POSITIVE","1"
"Saint Martin de Londres","NEUTRAL","1"
"fr/ch/tn","NEUTRAL","31"
"Valais, Magnot 6.3","NEUTRAL","1"
"Summoner's Rift","NEUTRAL","2"
"Chambéry, FR / Manchester, UK","NEUTRAL","8"
"Ecublens","NEUTRAL","1"
"Sadnessland","NEGATIVE","4"
"Zurigo","POSITIVE","1"
"Central City","NEUTRAL","7"
