"Luzern","NEUTRAL","11"
"Fribourg/Freiburg, Switzerland","NEUTRAL","50"
"Renens (VD), Vaud","NEUTRAL","61"
"Rolle, Suisse","NEUTRAL","18"
"Cortaillod, Neuchâtel","NEUTRAL","16"
"Corbières, Suisse","NEUTRAL","23"
"Switzerland / Europe","NEUTRAL","1"
"St-Maurice, Suisse","NEUTRAL","16"
"Suisse, Valais","POSITIVE","6"
"Sattel, Schweiz","POSITIVE","1"
"Switzerland","POSITIVE","1446"
"Leytron, Suisse","NEGATIVE","1"
"Sierre, Valais HES-SO","NEUTRAL","32"
"Romont","NEUTRAL","5"
"Walenstadt","NEUTRAL","3"
"Cortaillod et Delémont, Suisse","NEUTRAL","2"
"Val-de-Travers, Suisse","NEUTRAL","4"
"Genève, Zurich","NEUTRAL","1"
"Geneva, London, Paris","POSITIVE","1"
"Ibiza","NEUTRAL","1"
"Moutier, Switzerland","NEUTRAL","134"
"Nyon","NEUTRAL","390"
"Jura, loin dans la montagne","NEUTRAL","3"
"Suisse (NE)","NEUTRAL","5"
"Arau, Perlis","NEUTRAL","12"
"Monthey, Valais, Suisse","NEUTRAL","66"
"Romainmôtier, Suisse","NEUTRAL","9"
"Locarno, Svizzera","NEUTRAL","8"
"Kerzers, Freiburg","POSITIVE","1"
"collombey valais , suisse","NEUTRAL","11"
"Entremont, Valais","NEUTRAL","26"
"Villarzel, Switzerland","NEUTRAL","13"
"Thônex","NEUTRAL","2"
"Porrentruy","NEUTRAL","5"
"Meyrin, genève, suisse","NEUTRAL","3"
"Winterthur","POSITIVE","4"
"Board Europ Assistance Global","NEUTRAL","1"
"le mont-sur-Lausanne","NEUTRAL","1"
"Genève, côté français","NEUTRAL","2"
"Paris / Monkey Island","NEUTRAL","10"
"Svizzera zurigo","NEUTRAL","1"
"Madrid/Guadalajara, Spain","NEUTRAL","1"
"Cyberia","NEUTRAL","12"
"Tout Droit du 93","NEUTRAL","170"
"Basel (Switzerland)","NEUTRAL","23"
"Switzerland, Bulle, Fribourg","NEUTRAL","113"
"Nendaz, Switzerland","NEUTRAL","23"
"Rolle, Switzerland","NEUTRAL","49"
"Penthalaz","NEUTRAL","6"
"Geneva , Switzerland","NEUTRAL","55"
"Santiago; R.D.","NEUTRAL","2"
"Vouvry, Valais","NEUTRAL","8"
"Lyon, France","POSITIVE","1"
"Suisse / Cornaux (NE)","NEUTRAL","1"
"Chexbres, Switzerland","NEUTRAL","2"
"Home","NEUTRAL","2"
"Suisse Lausanne","NEUTRAL","3"
"La Forclaz/Evolène","NEUTRAL","2"
"Epalinges, Vaud, Switzerland","NEUTRAL","1"
"Montreux, CH","NEUTRAL","2"
"Paris-Geneva-Lausanne-Dijon","NEUTRAL","1"
"Baden","NEUTRAL","9"
"Meyrin, Genève","POSITIVE","1"
"Switzerland, Vevey","NEUTRAL","2"
