"Renens (VD), Vaud","NEUTRAL","40"
"Fribourg/Freiburg, Switzerland","NEUTRAL","73"
"Corbières, Suisse","NEUTRAL","9"
"#Barcelona","NEUTRAL","1"
"HQ Geneva, Switzerland","NEUTRAL","3"
"Cortaillod, Neuchâtel","NEUTRAL","40"
"Rolle, Suisse","NEUTRAL","23"
"Sion-Valais/Lausanne Suisse","NEUTRAL","3"
"St-Maurice, Suisse","NEUTRAL","16"
"UK/France one day...","NEUTRAL","1"
"Luzern","NEUTRAL","16"
"France/Suisse","NEUTRAL","1"
"Suisse, Valais","POSITIVE","5"
"Absurdistan","NEUTRAL","1"
"Paris, Lausanne","POSITIVE","1"
"Sattel, Schweiz","POSITIVE","1"
"Kuala Lumpur , Malaysia","NEUTRAL","1"
"Switzerland","POSITIVE","1266"
"Leytron, Suisse","NEGATIVE","4"
"Savannah, Georgia, USA","NEUTRAL","1"
"Malibu, Montréal, Varese","NEUTRAL","2"
"Romont","NEUTRAL","3"
"Sierre, Valais HES-SO","NEUTRAL","13"
"Balerna, Svizzera","NEUTRAL","2"
"Cortaillod et Delémont, Suisse","NEUTRAL","4"
"Walenstadt","NEUTRAL","7"
"Val-de-Travers, Suisse","NEUTRAL","61"
"Lugano, Maglie, Pechino","NEUTRAL","1"
"Genève, Zurich","NEUTRAL","1"
"Chicago / Chiraq","NEUTRAL","1"
"Paris-France","NEUTRAL","1"
"Moutier, Switzerland","NEUTRAL","113"
"Nyon","NEUTRAL","269"
"collombey valais , suisse","NEUTRAL","16"
"Monthey, Valais, Suisse","NEUTRAL","43"
"Suisse (NE)","NEUTRAL","8"
"Arau, Perlis","NEUTRAL","15"
"Entremont, Valais","NEUTRAL","16"
"Meyrin, genève, suisse","NEUTRAL","5"
"Porrentruy","NEUTRAL","10"
"Romainmôtier, Suisse","NEUTRAL","18"
"Genève, côté français","NEUTRAL","2"
"Jura, loin dans la montagne","NEUTRAL","5"
"France Var","NEUTRAL","2"
"Locarno, Svizzera","NEUTRAL","2"
"Thônex","NEUTRAL","4"
"Chamonix-Mont-Blanc, France","NEUTRAL","2"
"جنيف","NEUTRAL","1"
"Engelberg, Switzerland","NEUTRAL","1"
"Tout Droit du 93","NEUTRAL","369"
"Switzerland, Bulle, Fribourg","NEUTRAL","25"
"Rolle, Switzerland","NEUTRAL","34"
"Cyberia","NEUTRAL","31"
"Nendaz, Switzerland","NEUTRAL","30"
"Geneva , Switzerland","NEUTRAL","44"
"Penthalaz","NEUTRAL","14"
"Suisse Lausanne","NEUTRAL","2"
"bamboula","NEUTRAL","1"
"Milão","NEUTRAL","1"
"Epalinges, Vaud, Switzerland","NEUTRAL","1"
"Zürich, CH - Stockholm, SE","NEUTRAL","1"
"Vouvry, Valais","NEUTRAL","5"
"Lyon, France","POSITIVE","3"
"lake district, uk","NEUTRAL","1"
"Paris-Geneva-Lausanne-Dijon","NEUTRAL","1"
"Basel (Switzerland)","NEUTRAL","14"
"25 Rue du Perron 1204 Genève","NEUTRAL","3"
"Algarve-Portugal","NEUTRAL","1"
"Luthern, Schweiz","NEUTRAL","1"
"La Forclaz/Evolène","NEUTRAL","2"
"Toronto","NEUTRAL","1"
"Chexbres, Switzerland","NEUTRAL","1"
"Aarau/Marseille/East Germany","NEUTRAL","2"
"Baden","NEUTRAL","3"
"Genève, Marseille","NEUTRAL","5"
"Switzerland, Vevey","NEUTRAL","11"
"Uptown, Downtown, Switzerland","POSITIVE","1"
"FR, ES, AR, CH","NEUTRAL","5"
"Hauterive (NE), Neuchâtel","NEGATIVE","1"
"Tokyo","NEUTRAL","26"
"ONE","NEUTRAL","1"
"Geneve, Switzerland","NEUTRAL","158"
"Lucerne, Switzerland","NEUTRAL","19"
"Suisse, Neuchatel","NEUTRAL","22"
"KTown.","NEUTRAL","1"
"lausanne, Suisse","NEUTRAL","109"
"@ya mama's house, Switzerland","NEUTRAL","17"
"Münchwilen (TG), Schweiz","NEUTRAL","3"
"Münchenstein","NEUTRAL","1"
"Beirut • Paris • Switzerland","NEUTRAL","2"
"Geneva, Paris, London","NEUTRAL","5"
"Gstaad, Switzerland","NEUTRAL","1"
"Dammam","NEUTRAL","1"
"Chalais, Valais, Suisse","NEUTRAL","8"
"Lausanne, Savièse, Suisse","POSITIVE","1"
"suisse","NEUTRAL","5532"
"New York, USA","NEUTRAL","21"
"Suisse, Gland","NEUTRAL","20"
"Suisse, Le Pâquier","NEUTRAL","5"
"1907 Saxon, Suisse","POSITIVE","1"
"Cernier","NEUTRAL","50"
"Valais","POSITIVE","11"
"St-Maurice, Valais, Suisse","NEUTRAL","1"
"Turkey","NEUTRAL","6"
"Trelex, Vaud","NEUTRAL","1"
"Malans, Zürich, Alvaneu Dorf","NEUTRAL","1"
"Málaga, España","NEUTRAL","1"
"Meyrin","NEUTRAL","9"
"Bern, Fribourg, Lausanne","NEUTRAL","1"
"Wetzikon ZH, Switzerland","NEUTRAL","1"
"Schweiz, Aargau","POSITIVE","1"
"Erlinsbach SO, Switzerland","NEUTRAL","1"
"Genève, Switzerland","NEUTRAL","412"
"Lausanne, Suisse / Switzerland","NEUTRAL","16"
"Marly, Suisse","NEUTRAL","32"
"Sion , Suisse","NEUTRAL","19"
"Alsace","NEUTRAL","5"
"Suisse, Switzerland","POSITIVE","9"
"Jura, FRANCE.","NEUTRAL","8"
"Sleeping","NEUTRAL","11"
"Nyon, Switzerland","NEGATIVE","2"
"WΩrldwide","NEUTRAL","5"
"İstanbul/Burgazada","NEUTRAL","1"
"Zofingen, Switzerland","NEUTRAL","3"
"Au Cinema","NEUTRAL","1"
"Teresina - Piauí - Brasil","NEUTRAL","1"
"Geneva and Manila","NEUTRAL","1"
"Switzerland, VD","NEUTRAL","1"
"Switzerland, Italy, England","POSITIVE","1"
"Suisse, vd","NEUTRAL","8"
"Lausanne, CH","NEUTRAL","46"
"CdF, NE, Suisse","NEUTRAL","14"
"Gland","NEUTRAL","240"
"Frauenfeld","NEUTRAL","4"
"zll","NEUTRAL","2"
"Bluche, Switzerland","NEUTRAL","3"
"Valais-Switzerland","NEUTRAL","1"
"Zurich, Swizerland","NEUTRAL","1"
"Place du Nord 6, 1005 Lausanne","NEUTRAL","1"
"Zweisimmen","NEUTRAL","4"
"Views are my own","NEUTRAL","1"
"Iquique Chile","NEUTRAL","4"
"La Chaux-de-Fonds, CH","NEUTRAL","1"
"istanbul - vienna - on board","NEUTRAL","2"
"Monthey, Valais","NEGATIVE","1"
"Thun, Schweiz","POSITIVE","1"
"Fully, Switzerland","NEUTRAL","4"
"Genève, Suisse / Paris, France","NEUTRAL","79"
"スイス","NEUTRAL","23"
"Berne, Switzerland","POSITIVE","14"
"Cortaillod, Suisse","NEUTRAL","5"
"verbier","NEUTRAL","3"
"Termen, Wallis /Zwitserland","NEUTRAL","1"
"Mulhouse FRANCE","NEUTRAL","2"
"Langkawi, Kedah","NEUTRAL","1"
"Schwarsee/FR, Switzerland","NEUTRAL","1"
