City,Sentiment,Count,Month,Language
Luzern,NEUTRAL,3069,april,de
Switzerland,POSITIVE,2246,april,de
Uster,POSITIVE,8,april,de
Winterthur,POSITIVE,83,april,de
Sursee,POSITIVE,3,april,de
Saanen,NEUTRAL,74,april,de
Baden,NEUTRAL,1398,april,de
Meilen,NEUTRAL,8,april,de
Svajcarska,NEUTRAL,4,april,de
Waldenburg,NEUTRAL,659,april,de
Schleitheim,NEUTRAL,2,april,de
Willisau,NEUTRAL,17,april,de
Frauenfeld,NEUTRAL,457,april,de
スイス,NEUTRAL,21,april,de
Tafers,NEUTRAL,2,april,de
Biel,POSITIVE,5,april,de
Lausanne,NEUTRAL,395,april,de
Sarnen,POSITIVE,1,april,de
Buchs,NEUTRAL,17,april,de
Zurigo,POSITIVE,3,april,de
Swiss,NEUTRAL,1766,april,de
Thun,NEUTRAL,584,april,de
Bad Zurzach,POSITIVE,2,april,de
Bülach,POSITIVE,21,april,de
Horgen,POSITIVE,1,april,de
Arbon,NEUTRAL,9,april,de
Stans,NEUTRAL,63,april,de
Kreuzlingen,NEUTRAL,27,april,de
Schwyz,NEUTRAL,52,april,de
Sankt Gallen,NEUTRAL,533,april,de
Chur,NEUTRAL,1213,april,de
Altdorf,POSITIVE,2,april,de
Brig,POSITIVE,1,april,de
Suhr,NEUTRAL,2,april,de
Romanshorn,NEUTRAL,22,april,de
Schweiz,POSITIVE,2516,april,de
Switzerland,NEGATIVE,131,april,de
Winterthur,NEGATIVE,3,april,de
Aigle,NEUTRAL,1,april,de
Geneva,NEUTRAL,214,april,de
Zürich,POSITIVE,1101,april,de
Schmerikon,NEUTRAL,3,april,de
St. Gallen,POSITIVE,206,april,de
Delémont,NEUTRAL,3,april,de
Suiza,NEUTRAL,17,april,de
Brugg,NEUTRAL,51,april,de
Interlaken,NEUTRAL,435,april,de
Bremgarten,NEUTRAL,69,april,de
Hinwil,NEUTRAL,3,april,de
Biel/Bienne,POSITIVE,11,april,de
Zuerich,NEUTRAL,377,april,de
Fribourg,POSITIVE,3,april,de
CH,POSITIVE,115,april,de
Olten,NEUTRAL,418,april,de
Schweiz,NEGATIVE,113,april,de
Zofingen,NEUTRAL,147,april,de
Liestal,NEUTRAL,319,april,de
Suisse,POSITIVE,13,april,de
Monthey,NEUTRAL,2,april,de
Sissach,POSITIVE,2,april,de
Glarus,NEUTRAL,50,april,de
Lucerne,NEUTRAL,413,april,de
Altdorf,NEUTRAL,125,april,de
Svizzera,NEUTRAL,13,april,de
Rheinfelden,POSITIVE,6,april,de
Aarau,POSITIVE,25,april,de
Evolène,NEUTRAL,1,april,de
Affoltern am Albis,NEUTRAL,4,april,de
Laufenburg,NEUTRAL,10,april,de
Luzern,POSITIVE,73,april,de
Dielsdorf,NEUTRAL,8,april,de
St. Gallen,NEGATIVE,5,april,de
Svizra,NEUTRAL,5,april,de
Baden,POSITIVE,41,april,de
Pfäffikon,NEUTRAL,10,april,de
Lenzburg,NEUTRAL,1040,april,de
Zürich,NEUTRAL,37587,april,de
Frutigen,NEUTRAL,48,april,de
Waldenburg,POSITIVE,7,april,de
Frauenfeld,POSITIVE,6,april,de
Willisau,POSITIVE,2,april,de
スイス,POSITIVE,3,april,de
Schüpfheim,NEUTRAL,16,april,de
Appenzell,NEUTRAL,18,april,de
Lausanne,POSITIVE,4,april,de
CH,NEGATIVE,17,april,de
Swiss,POSITIVE,10,april,de
Bienne,NEUTRAL,2,april,de
Basel,NEUTRAL,12294,april,de
Thun,POSITIVE,47,april,de
Marly,NEUTRAL,3,april,de
Samedan,NEUTRAL,2,april,de
Suisse,NEGATIVE,1,april,de
Weinfelden,NEUTRAL,45,april,de
Visp,NEUTRAL,60,april,de
Bellinzona,NEUTRAL,81,april,de
Stans,POSITIVE,2,april,de
Aarau,NEGATIVE,2,april,de
Kreuzlingen,POSITIVE,1,april,de
Sankt Gallen,POSITIVE,14,april,de
Chur,POSITIVE,47,april,de
Luzern,NEGATIVE,3,april,de
Bern,NEUTRAL,12196,april,de
Zurich,NEUTRAL,6503,april,de
Leuk,NEUTRAL,2,april,de
Herisau,NEUTRAL,109,april,de
Waldenburg,NEGATIVE,1,april,de
Solothurn,POSITIVE,9,april,de
Willisau,NEGATIVE,1,april,de
スイス,NEGATIVE,1,april,de
Confoederatio Helvetica,NEUTRAL,6,april,de
Schenkon,NEUTRAL,152,april,de
Basilea,NEUTRAL,1,april,de
Berna,NEUTRAL,2,april,de
Scuol,NEUTRAL,11,april,de
Suiza,POSITIVE,2,april,de
Thun,NEGATIVE,2,april,de
Interlaken,POSITIVE,2,april,de
Bremgarten,POSITIVE,1,april,de
Zuerich,POSITIVE,35,april,de
Olten,POSITIVE,18,april,de
Chur,NEGATIVE,1,april,de
Suíça,NEUTRAL,62,april,de
