City,Sentiment,Count,Latitude,Longitude,Country
.ch,POSITIVE,14,46.7985624,8.231973599999998,Suisse
ARAU,POSITIVE,1,47.3927146,8.0444448,Suisse
Aadorf,POSITIVE,47,47.4915782,8.902952599999999,Suisse
Aarau,POSITIVE,1151,47.3927146,8.0444448,Suisse
Aarberg,POSITIVE,4,47.0443346,7.2753004,Suisse
Aarburg,POSITIVE,84,47.3206417,7.8993599,Suisse
Aargau,POSITIVE,1222,47.412396,8.1948321,Suisse
Adelboden,POSITIVE,60,46.4927213,7.5587618,Suisse
Adligenswil,POSITIVE,10,47.070535,8.368244,Suisse
Adliswil,POSITIVE,33,47.3117624,8.52491,Suisse
Aegerten,NEGATIVE,2,47.1202408,7.2884966,Suisse
Aeschi,NEGATIVE,1,47.18042020000001,7.661874000000001,Suisse
Aeugst,POSITIVE,29,47.533807700000004,7.7206018,Suisse
Affoltern,POSITIVE,42,47.4188265,8.5068666,Suisse
Aigle,POSITIVE,1413,46.3179006,6.9688929,Suisse
Arisdorf,POSITIVE,6,47.512381299999994,7.765508199999999,Suisse
Arlesheim,POSITIVE,18,47.4931125,7.6202048,Suisse
Arolla,POSITIVE,1,46.025975,7.481086599999999,Suisse
Arosa,POSITIVE,18,46.7797248,9.6781356,Suisse
Arth,POSITIVE,23,47.0644551,8.523867300000001,Suisse
Arveyes,POSITIVE,60,46.2912531,7.0626855,Suisse
Arzier,POSITIVE,42,46.4599808,6.208069,Suisse
Ascona,POSITIVE,247,46.155422200000004,8.7707865,Suisse
Attalens,POSITIVE,5,46.5110996,6.848969599999999,Suisse
Aubonne,POSITIVE,70,46.4952916,6.3915748,Suisse
Auenstein,POSITIVE,22,47.4168206,8.1370602,Suisse
Auslikon,POSITIVE,1,47.3446877,8.8063754,Suisse
Avenches,NEGATIVE,3,46.879575,7.040941,Suisse
Ayent,NEGATIVE,2,46.3190236,7.4166422961500595,Suisse
BASEL,POSITIVE,34,47.55810770000001,7.5878261,Suisse
Bazel,POSITIVE,84,47.55810770000001,7.5878261,Suisse
Beatenberg,POSITIVE,6,46.6932513,7.783278999999999,Suisse
Beckenried,POSITIVE,5,46.9664078,8.4744947,Suisse
Beinwil,POSITIVE,17,47.2302283,8.3422897,Suisse
Bellach,POSITIVE,15,47.2134073,7.498331299999999,Suisse
Bellinzona,POSITIVE,577,46.191861700000004,9.0204562,Suisse
Bellmund,POSITIVE,2,47.1071376,7.2467743,Suisse
Bennwil,POSITIVE,30,47.4041393,7.7801695,Suisse
Berikon,POSITIVE,22,47.3528355,8.3701013,Suisse
Bern,POSITIVE,32079,46.9482713,7.4514512,Suisse
Berna,POSITIVE,169,46.9482713,7.4514512,Suisse
Berne,POSITIVE,4286,46.9482713,7.4514512,Suisse
Bernex,POSITIVE,4,46.1746834,6.0717252,Suisse
Beromünster,POSITIVE,2,47.207637299999995,8.1924386,Suisse
Bevaix,POSITIVE,3,46.9297213,6.8105994999999995,Suisse
Bex,NEGATIVE,196,46.2515578,7.0124532,Suisse
Biberist,POSITIVE,7,47.1810605,7.5626086,Suisse
Biberstein,POSITIVE,1,47.4140107,8.081917,Suisse
Bienna,POSITIVE,1,46.37423870000001,8.242771099999999,Suisse
Bramois,NEGATIVE,3,46.23218189999999,7.403898299999999,Suisse
Bremgarten,POSITIVE,50,47.35395689999999,8.337644599999999,Suisse
Brienz,POSITIVE,5,46.668616,9.594501800000002,Suisse
Brig,POSITIVE,266,46.31634570000001,7.9879473,Suisse
Brigels,POSITIVE,1,46.767563200000005,9.0622845,Suisse
Brissago,POSITIVE,1,46.1200663,8.7121456,Suisse
Brittnau,POSITIVE,2,47.2586821,7.9466147,Suisse
Broc,POSITIVE,14,46.6044669,7.0989913,Suisse
Bronschhofen,POSITIVE,45,47.48032445,9.05149932746811,Suisse
Broye,NEGATIVE,394,46.7763435,6.9086151,Suisse
Brugg,POSITIVE,47,47.4824633,8.2085662,Suisse
Brügg,POSITIVE,2,47.126608000000004,7.277114,Suisse
Brünisried,POSITIVE,2,46.760157899999996,7.2780335,Suisse
Brütten,POSITIVE,16,47.4731491,8.6753241,Suisse
Brüttisellen,POSITIVE,16,47.42425789999999,8.630773399999999,Suisse
Bubendorf,POSITIVE,4,47.446684000000005,7.73535,Suisse
Bubikon,POSITIVE,12,47.26829229999999,8.819161300000001,Suisse
Buchholterberg,POSITIVE,1,46.81936665,7.685568582402099,Suisse
Buchrain,POSITIVE,166,47.0941034,8.3472568,Suisse
Buchs,POSITIVE,76,47.162763399999996,9.4764086,Suisse
Buckhauserstr.,POSITIVE,2,47.3864698,8.493683500000001,Suisse
Bulle,POSITIVE,313,46.6146237,7.059381200000001,Suisse
Bullet,POSITIVE,2,46.830931400000004,6.5546431,Suisse
Canvee,POSITIVE,3,46.2796662,9.004169000000001,Suisse
Carouge,POSITIVE,190,46.1846691,6.1396839000000005,Suisse
Caslano,POSITIVE,64,45.9708722,8.883654400000001,Suisse
Celerina,POSITIVE,14,46.5132296,9.858624800000001,Suisse
Celigny,POSITIVE,56,46.350584399999995,6.1949435,Suisse
Cenevre,POSITIVE,41,46.2017559,6.146601400000001,Suisse
Cernier,POSITIVE,1,47.05945379999999,6.9053838,Suisse
Ch,POSITIVE,52,46.7985624,8.231973599999998,Suisse
ChE,NEGATIVE,152,46.7985624,8.231973599999998,Suisse
Chamoson,POSITIVE,15,46.20339179999999,7.221887700000001,Suisse
Champery,POSITIVE,9,46.1756791,6.8687664999999996,Suisse
Champsec,POSITIVE,2,46.0567616,7.243235799999999,Suisse
Champvent,POSITIVE,7,46.782805200000006,6.5726094,Suisse
Champéry,POSITIVE,88,46.1756791,6.8687664999999996,Suisse
Chardonne,NEGATIVE,3,46.4770903,6.8271259,Suisse
Charmey,POSITIVE,15,46.6198181,7.1637241,Suisse
Charmilles,NEGATIVE,1,46.20815770000001,6.1274194,Suisse
Chavannes,POSITIVE,18,46.52852120000001,6.572669800000001,Suisse
Chavornay,POSITIVE,1,46.706261,6.5693871,Suisse
Che,POSITIVE,81,46.7985624,8.231973599999998,Suisse
Chemin,POSITIVE,1,46.7985624,8.231973599999998,Suisse
Conthey,NEGATIVE,169,46.227979600000005,7.3044209,Suisse
Contone,NEGATIVE,2,46.1487696,8.9261455,Suisse
Coppet,POSITIVE,241,46.316338,6.1929509000000005,Suisse
Corgémont,POSITIVE,39,47.194748600000004,7.144781599999999,Suisse
Corminboeuf,POSITIVE,4,46.811631799999994,7.105248599999999,Suisse
Cormondrèche,POSITIVE,2,46.981761,6.869086200000001,Suisse
Corsier,POSITIVE,192,46.2626753,6.225018700000001,Suisse
Cortaillod,POSITIVE,7,46.943231899999994,6.845894400000001,Suisse
Crassier,NEGATIVE,1,46.374331,6.164548,Suisse
Cressier,POSITIVE,1,46.8986683,7.1417574,Suisse
Cugnasco,POSITIVE,14,46.176497999999995,8.9233539,Suisse
Cugy,POSITIVE,3,46.5842947,6.6404485,Suisse
Cuira,POSITIVE,3,46.855515000000004,9.525406599999998,Suisse
Cumbel,POSITIVE,5,46.72518170000001,9.191166699999998,Suisse
Cunter,POSITIVE,927,46.6075848,9.5925023,Suisse
Daillens,POSITIVE,33,46.62028970000001,6.5487115,Suisse
Dallenwil,NEGATIVE,36,46.933071999999996,8.3911486,Suisse
Davos,POSITIVE,312,46.7961744,9.8237266,Suisse
Eawag,POSITIVE,14,47.4048009,8.60968996763299,Suisse
Ebertswil,POSITIVE,3,47.2266332,8.5492498,Suisse
Ebikon,POSITIVE,309,47.0812067,8.338521,Suisse
Echallens,POSITIVE,6,46.63811629999999,6.6346951,Suisse
Echandens,POSITIVE,3,46.534380999999996,6.5410474,Suisse
Ecublens,POSITIVE,113,46.5261672,6.5620735,Suisse
Effingen,NEGATIVE,2,47.4896963,8.1035209,Suisse
Effretikon,POSITIVE,13,47.428313700000004,8.686971400000001,Suisse
Ehrendingen,POSITIVE,15,47.4970194,8.3423207,Suisse
Einsiedeln,POSITIVE,197,47.128609499999996,8.7500299,Suisse
Eisarena,POSITIVE,3,46.4896297,9.83765535000001,Suisse
Elgg,POSITIVE,6,47.4945745,8.8662125,Suisse
Embrach,POSITIVE,28,47.5056081,8.593922500000001,Suisse
Emmenbrücke,POSITIVE,3,47.0775171,8.270896400000002,Suisse
Emmental,POSITIVE,11,46.7616568,7.629166099999999,Suisse
Emmetten,POSITIVE,66,46.95656629999999,8.512841400000001,Suisse
Engelberg,POSITIVE,63,46.822349700000004,8.4043996,Suisse
Ennenda,POSITIVE,4,47.033828,9.0779218,Suisse
Ennetbaden,POSITIVE,24,47.478576399999994,8.3153871,Suisse
Ennetbürgen,POSITIVE,33,46.9851867,8.4128263,Suisse
Epalinges,POSITIVE,45,46.547327,6.6726244999999995,Suisse
Ependes,NEGATIVE,2,46.7431583,6.6083432,Suisse
Eriswil,POSITIVE,1,47.0776383,7.8501785,Suisse
Erlinsbach,POSITIVE,13,47.396866100000004,8.0133738,Suisse
Ermatingen,POSITIVE,13,47.6702035,9.0852134,Suisse
Ermensee,POSITIVE,2,47.228224600000004,8.2409195,Suisse
Erschwil,POSITIVE,36,47.3735346,7.5416739,Suisse
Flums,POSITIVE,9,47.0939665,9.343589,Suisse
Flurlingen,POSITIVE,3,47.6860764,8.6272354,Suisse
Flüelen,POSITIVE,22,46.9027239,8.6253481,Suisse
Fontainemelon,POSITIVE,1,47.0573737,6.894437,Suisse
Founex,POSITIVE,5,46.3338174,6.1943733,Suisse
Frauenfeld,POSITIVE,180,47.5562359,8.8964139,Suisse
Frauenkappelen,POSITIVE,1086,46.9534091,7.3356617,Suisse
Freienbach,POSITIVE,60,47.204411,8.7598816,Suisse
Frenkendorf,POSITIVE,1,47.502854299999996,7.713828299999999,Suisse
Fribourg,POSITIVE,4577,46.803319200000004,7.16175552542195,Suisse
Friburg,POSITIVE,305,46.803319200000004,7.16175552542195,Suisse
Friburgo,NEGATIVE,2,46.678911600000006,7.1027113,Suisse
Frick,POSITIVE,62,47.5075081,8.0203065,Suisse
Friedlisberg,POSITIVE,1,47.362606400000004,8.388943,Suisse
Frutigen,POSITIVE,26,46.5874205,7.6444369000000005,Suisse
Fulenbach,POSITIVE,2,47.273723499999996,7.8309213,Suisse
