City,Sentiment,Count,Latitude,Longitude,Country
.ch,POSITIVE,34,46.7985624,8.231973599999998,Suisse
aadorf,POSITIVE,164,47.4915782,8.902952599999999,Suisse
aarau,POSITIVE,5029,47.3927146,8.0444448,Suisse
aarau.,NEGATIVE,43,47.3927146,8.0444448,Suisse
aarberg,NEGATIVE,53,47.0443346,7.2753004,Suisse
aarburg,POSITIVE,75,47.3206417,7.8993599,Suisse
aargau,POSITIVE,6034,47.412396,8.1948321,Suisse
adelboden,POSITIVE,67,46.4927213,7.5587618,Suisse
adetswil,NEGATIVE,3,47.3396328,8.8435332,Suisse
adligenswil,NEGATIVE,35,47.070535,8.368244,Suisse
adliswil,POSITIVE,82,47.3117624,8.52491,Suisse
aegerten,POSITIVE,51,47.1202408,7.2884966,Suisse
aeschi,POSITIVE,9,47.18042020000001,7.661874000000001,Suisse
aeugst,POSITIVE,4,47.533807700000004,7.7206018,Suisse
affoltern,POSITIVE,100,47.4188265,8.5068666,Suisse
aigle,NEGATIVE,787,46.3179006,6.9688929,Suisse
albinen,POSITIVE,2,46.34064420000001,7.633727700000001,Suisse
albisrieden,NEGATIVE,1,47.3748299,8.484557800000001,Suisse
alikon,NEGATIVE,7,47.198939700000004,8.359232901420249,Suisse
allaman,POSITIVE,41,46.4707776,6.396173999999999,Suisse
allschwil,POSITIVE,292,47.5517277,7.5361588,Suisse
alpinaweg,POSITIVE,1,46.939058700000004,8.9989132,Suisse
alpnach,NEGATIVE,10,46.941166100000004,8.273682899999999,Suisse
alpthal,POSITIVE,8,47.0734939,8.7138911,Suisse
amsoldingen,POSITIVE,6,46.7280971,7.580775900000001,Suisse
arisdorf,POSITIVE,64,47.512381299999994,7.765508199999999,Suisse
attalens,POSITIVE,10,46.5110996,6.848969599999999,Suisse
aubonne,POSITIVE,10,46.4952916,6.3915748,Suisse
augio,POSITIVE,7,46.364975,9.12689,Suisse
augustinergasse,POSITIVE,11,47.3722321,8.5391738,Suisse
auvernier,POSITIVE,24,46.9763951,6.8786323000000005,Suisse
avenches,NEGATIVE,55,46.879575,7.040941,Suisse
avry,POSITIVE,9,46.787867,7.0603039999999995,Suisse
ayent,POSITIVE,40,46.3190236,7.4166422961500595,Suisse
baar,POSITIVE,194,47.194830200000006,8.525613400000001,Suisse
baarerstrasse,POSITIVE,2,47.170773,8.515984300000001,Suisse
bachenbülach,POSITIVE,10,47.504813899999995,8.5474099,Suisse
baden,POSITIVE,9258,47.473682700000005,8.3086822,Suisse
bagnes,NEGATIVE,151,46.00998095,7.30700547338256,Suisse
bahnhofplatz,POSITIVE,36,46.94908770000001,7.440560499999999,Suisse
balerna,POSITIVE,2,45.8491908,9.0070811,Suisse
balgach,POSITIVE,133,47.4068832,9.6062727,Suisse
ballwil,NEGATIVE,15,47.1521716,8.3185717,Suisse
balsthal,NEGATIVE,1,47.3140365,7.694776400000001,Suisse
baltschieder,POSITIVE,7,46.3079079,7.8646512,Suisse
basel,POSITIVE,91223,47.55810770000001,7.5878261,Suisse
basilea,POSITIVE,96,47.55810770000001,7.5878261,Suisse
bavois,POSITIVE,2,46.68521679999999,6.565113900000001,Suisse
beckenhofstrasse,POSITIVE,7,47.3871491,8.539936,Suisse
berneck,NEGATIVE,2,47.424901899999995,9.6102137,Suisse
bernex,NEGATIVE,27,46.1746834,6.0717252,Suisse
beromünster,POSITIVE,6,47.207637299999995,8.1924386,Suisse
bettwiesen,POSITIVE,2,47.4973239,9.0238237,Suisse
bevaix,POSITIVE,54,46.9297213,6.8105994999999995,Suisse
bex,POSITIVE,107,46.2515578,7.0124532,Suisse
biasca,POSITIVE,1,46.3606274,8.9714023,Suisse
biberist,POSITIVE,8,47.1810605,7.5626086,Suisse
biberstein,POSITIVE,19,47.4140107,8.081917,Suisse
biglen,POSITIVE,1,46.93136,7.621186,Suisse
binningen,POSITIVE,7,47.536559999999994,7.570077,Suisse
bioggio,POSITIVE,70,46.0141052,8.907616699999998,Suisse
biotope,POSITIVE,1,46.5330844,6.6443058020926,Suisse
birmensdorf,POSITIVE,54,47.3538481,8.438215699999999,Suisse
bière,POSITIVE,44,46.537377299999996,6.3337235,Suisse
blonay,POSITIVE,30,46.465039700000005,6.8951981,Suisse
bolligen,POSITIVE,25,46.9755611,7.4983298,Suisse
bonaduz,NEGATIVE,9,46.81132,9.3984396,Suisse
bonfol,POSITIVE,16,47.476701399999996,7.152301700000001,Suisse
borex,POSITIVE,25,46.379071,6.1777222,Suisse
bottens,POSITIVE,7,46.6169088,6.6607269,Suisse
bouveret,POSITIVE,11,46.3835697,6.857135799999999,Suisse
bramois,NEGATIVE,178,46.23218189999999,7.403898299999999,Suisse
breil,POSITIVE,13,46.767563200000005,9.0622845,Suisse
bronschhofen,POSITIVE,29,47.48032445,9.05149932746811,Suisse
bubendorf,POSITIVE,6,47.446684000000005,7.73535,Suisse
bursins,POSITIVE,3,46.451553499999996,6.290636900000001,Suisse
burtigny,POSITIVE,2,46.4687203,6.256770700000001,Suisse
buttikon,POSITIVE,1,47.32601470000001,8.2677621,Suisse
bâle,POSITIVE,262,47.55810770000001,7.5878261,Suisse
bâsel,POSITIVE,1,47.55810770000001,7.5878261,Suisse
bäretswil,POSITIVE,1,47.3360247,8.8580536,Suisse
bärn,POSITIVE,107,46.9482713,7.4514512,Suisse
bönigen,NEGATIVE,25,46.6887343,7.8949281000000004,Suisse
bülach,POSITIVE,1674,47.5200297,8.543307400000002,Suisse
bünzen,NEGATIVE,1,47.3116613,8.3260392,Suisse
bürglen,POSITIVE,7,47.2575984,8.5373809,Suisse
büsserach,NEGATIVE,8,47.3915791,7.5405238,Suisse
büttikon,POSITIVE,8,47.32601470000001,8.2677621,Suisse
bützberg,POSITIVE,4,47.2138471,7.7426303,Suisse
cadempino,POSITIVE,1,46.0333917,8.9314621,Suisse
cadenazzo,POSITIVE,14,46.150969700000005,8.945870300000001,Suisse
camorino,POSITIVE,2,46.1636431,9.0057614,Suisse
capriasca,NEGATIVE,1,46.0673692,8.9714894,Suisse
carouge,NEGATIVE,1057,46.1846691,6.1396839000000005,Suisse
cazis,NEGATIVE,8,46.7377176,9.40353862282802,Suisse
celerina,POSITIVE,33,46.5132296,9.858624800000001,Suisse
champery,POSITIVE,3,46.1756791,6.8687664999999996,Suisse
champsec,POSITIVE,1,46.0567616,7.243235799999999,Suisse
charmilles,NEGATIVE,61,46.20815770000001,6.1274194,Suisse
chevilly,POSITIVE,24,46.642765999999995,6.4771672,Suisse
collombey,POSITIVE,85,46.267673200000004,6.94607,Suisse
commeire,POSITIVE,3,46.023686,7.1661795,Suisse
commugny,POSITIVE,23,46.318230799999995,6.1757684,Suisse
confederaziun,POSITIVE,9,46.7985624,8.231973599999998,Suisse
confoederatio,POSITIVE,71,46.7985624,8.231973599999998,Suisse
conthey,NEGATIVE,723,46.227979600000005,7.3044209,Suisse
contone,POSITIVE,4,46.1487696,8.9261455,Suisse
coppet,POSITIVE,9,46.316338,6.1929509000000005,Suisse
cordast,POSITIVE,4,46.875632200000005,7.1484442999999995,Suisse
corgémont,POSITIVE,34,47.194748600000004,7.144781599999999,Suisse
corminboeuf,POSITIVE,15,46.811631799999994,7.105248599999999,Suisse
corsier,NEGATIVE,27,46.2626753,6.225018700000001,Suisse
cortaillod,POSITIVE,92,46.943231899999994,6.845894400000001,Suisse
cossonay,POSITIVE,3,46.613820200000006,6.508938,Suisse
cottens,NEGATIVE,3,46.5718814,6.4547941,Suisse
courroux,NEGATIVE,2,47.359922,7.3782917,Suisse
courtepin,POSITIVE,2,46.8660381,7.1228659,Suisse
crans,POSITIVE,42,46.30688189999999,7.4687012,Suisse
crassier,POSITIVE,2,46.374331,6.164548,Suisse
cressier,POSITIVE,61,46.8986683,7.1417574,Suisse
crissier,POSITIVE,13,46.5538658,6.577250099999999,Suisse
cudrefin,NEGATIVE,13,46.9564679,7.018541900000001,Suisse
cugnasco,NEGATIVE,1,46.176497999999995,8.9233539,Suisse
cuimey,POSITIVE,2,46.204557,7.590934799999999,Suisse
cunter,NEGATIVE,16,46.6075848,9.5925023,Suisse
dallenwil,POSITIVE,3,46.933071999999996,8.3911486,Suisse
davos,POSITIVE,303,46.7961744,9.8237266,Suisse
domdidier,NEGATIVE,64,46.8666493,7.0133352,Suisse
dulliken,POSITIVE,45,47.3537179,7.942468099999999,Suisse
dänikon,NEGATIVE,3,47.445933000000004,8.4057151,Suisse
dättwil,POSITIVE,13,47.453733299999996,8.2849682,Suisse
dübendorf,POSITIVE,405,47.3968244,8.6183023,Suisse
düdingen,NEGATIVE,45,46.849747,7.1904436,Suisse
dürnten,POSITIVE,99,47.2778545,8.842203,Suisse
dürrenäsch,POSITIVE,11,47.3215135,8.1571142,Suisse
eawag,POSITIVE,1,47.4048009,8.60968996763299,Suisse
ebertswil,POSITIVE,4,47.2266332,8.5492498,Suisse
ebikon,NEGATIVE,80,47.0812067,8.338521,Suisse
echandens,NEGATIVE,3,46.534380999999996,6.5410474,Suisse
echichens,POSITIVE,17,46.526554100000006,6.4978862,Suisse
ecublens,NEGATIVE,509,46.5261672,6.5620735,Suisse
effretikon,POSITIVE,50,47.428313700000004,8.686971400000001,Suisse
ehrendingen,POSITIVE,37,47.4970194,8.3423207,Suisse
eigerplatz,POSITIVE,1,46.940483799999996,7.431453,Suisse
einsiedeln,POSITIVE,1352,47.128609499999996,8.7500299,Suisse
elgg,POSITIVE,47,47.4945745,8.8662125,Suisse
elsau,NEGATIVE,2,47.5020701,8.805757,Suisse
embrach,POSITIVE,9,47.5056081,8.593922500000001,Suisse
emmental,POSITIVE,24,46.7616568,7.629166099999999,Suisse
ennenda,POSITIVE,37,47.033828,9.0779218,Suisse
ennetburgen,POSITIVE,2,46.9851867,8.4128263,Suisse
ennetbühl,POSITIVE,3,47.2410166,9.2112669,Suisse
entlebuch,POSITIVE,23,46.992113200000006,8.0645193,Suisse
epalinges,POSITIVE,49,46.547327,6.6726244999999995,Suisse
eriswil,NEGATIVE,30,47.0776383,7.8501785,Suisse
ermatingen,POSITIVE,82,47.6702035,9.0852134,Suisse
fabrikstrasse,POSITIVE,2,47.174847,8.8968389,Suisse
fehraltorf,POSITIVE,64,47.3873705,8.7520123,Suisse
ferenbalm,NEGATIVE,15,46.948832700000004,7.2109008,Suisse
fischbach,NEGATIVE,1,47.6378535,9.055855300000001,Suisse
fislisbach,POSITIVE,34,47.4369564,8.289413799999998,Suisse
flaach,NEGATIVE,9,47.5754461,8.606075500000001,Suisse
flamatt,POSITIVE,77,46.8894589,7.3110208,Suisse
flawil,POSITIVE,81,47.414613,9.186148900000001,Suisse
flem,NEGATIVE,36,46.7914066,9.0500317,Suisse
flims,POSITIVE,11,46.8332439,9.2834557,Suisse
flums,NEGATIVE,4,47.0939665,9.343589,Suisse
flurlingen,POSITIVE,3,47.6860764,8.6272354,Suisse
flühli,NEGATIVE,1,46.8840067,8.01564,Suisse
fontainemelon,POSITIVE,14,47.0573737,6.894437,Suisse
forel,POSITIVE,9,46.7282576,6.822287599999999,Suisse
founex,POSITIVE,1,46.3338174,6.1943733,Suisse
frauenfeld,POSITIVE,2293,47.5562359,8.8964139,Suisse
frauenkappelen,NEGATIVE,8,46.9534091,7.3356617,Suisse
freienbach,POSITIVE,84,47.204411,8.7598816,Suisse
frenkendorf,POSITIVE,5,47.502854299999996,7.713828299999999,Suisse
friburgo,NEGATIVE,12,46.678911600000006,7.1027113,Suisse
frick,POSITIVE,143,47.5075081,8.0203065,Suisse
friedlisberg,POSITIVE,6,47.362606400000004,8.388943,Suisse
frutigen,POSITIVE,177,46.5874205,7.6444369000000005,Suisse
fulenbach,NEGATIVE,244,47.273723499999996,7.8309213,Suisse
fällanden,POSITIVE,36,47.37132379999999,8.6388635,Suisse
gansingen,POSITIVE,40,47.5432969,8.1343542,Suisse
gasel,POSITIVE,6,46.899674700000006,7.4034016000000005,Suisse
gaswerkstrasse,POSITIVE,43,47.4608042,9.031723300000001,Suisse
genolier,NEGATIVE,2,46.4350251,6.2178235,Suisse
giubiasco,POSITIVE,10,46.173915799999996,9.013407699999998,Suisse
glattbrugg,POSITIVE,105,47.4326312,8.5647892,Suisse
glattfelden,NEGATIVE,5,47.5596747,8.501942300000001,Suisse
glion,NEGATIVE,70,46.775575,9.205495599999999,Suisse
glovelier,NEGATIVE,9,47.3343698,7.2044997,Suisse
goldau,POSITIVE,28,47.051219,8.5507758,Suisse
gonten,NEGATIVE,3,47.326177,9.3428845,Suisse
gorgier,NEGATIVE,6,46.9035345,6.7805424,Suisse
gotthard,POSITIVE,18,47.6383116,8.6009708,Suisse
grabs,POSITIVE,18,47.1816557,9.4446312,Suisse
grandson,POSITIVE,12,46.8086306,6.641753200000001,Suisse
granges,POSITIVE,6,47.1968713,7.3965792,Suisse
graubünden,POSITIVE,842,46.6960615,9.6027351,Suisse
greifensee,POSITIVE,73,47.347153999999996,8.679475177486191,Suisse
grellingen,POSITIVE,8,47.441156299999996,7.587635799999999,Suisse
greppen,NEGATIVE,3,47.054825,8.430604400000002,Suisse
grimisuat,POSITIVE,23,46.2611718,7.3854291,Suisse
grindelwald,POSITIVE,154,46.62427329999999,8.0367462,Suisse
grischun,NEGATIVE,8,46.6960615,9.6027351,Suisse
grossaffoltern,POSITIVE,12,47.0667831,7.360891900000001,Suisse
gruyères,POSITIVE,75,46.5838003,7.0826682,Suisse
grüningen,NEGATIVE,1,47.2819396,8.7613283,Suisse
gstaad,POSITIVE,38,46.4740433,7.2857944,Suisse
gurbrü,NEGATIVE,2,46.9649783,7.2164888,Suisse
gva,NEGATIVE,1789,46.2369,6.1089,Suisse
gwatt,POSITIVE,1,46.723289,7.6230687999999995,Suisse
gèneve,NEGATIVE,10,46.2017559,6.146601400000001,Suisse
gürtelstrasse,POSITIVE,5,46.8521912,9.5275171,Suisse
habsburg,POSITIVE,5,47.4620655,8.1871807,Suisse
hettlingen,POSITIVE,686,47.5467745,8.7095144,Suisse
hochschulstrasse,POSITIVE,3,46.949586700000005,7.4361834,Suisse
holziken,NEGATIVE,1,47.3202562,8.04006,Suisse
hombrechtikon,NEGATIVE,13,47.2523354,8.7680277,Suisse
horgen,POSITIVE,85,47.260692,8.5976831,Suisse
horw,POSITIVE,112,47.0185008,8.310779700000001,Suisse
hunenberg,POSITIVE,1,47.1750888,8.4262289,Suisse
huttwil,POSITIVE,33,47.1147419,7.8455436,Suisse
hägendorf,POSITIVE,2,47.333167100000004,7.836561200000001,Suisse
hölstein,POSITIVE,4,47.424735399999996,7.7698197,Suisse
hünenberg,POSITIVE,173,47.1750888,8.4262289,Suisse
hüttwilen,POSITIVE,364,47.6073934,8.871922300000001,Suisse
ilanz,NEGATIVE,2,46.775575,9.205495599999999,Suisse
illarsaz,POSITIVE,8,46.311637700000006,6.9276981,Suisse
illnau,NEGATIVE,11,47.4088363,8.725543199999999,Suisse
ins,POSITIVE,9,47.0058984,7.105647200000001,Suisse
interlaken,POSITIVE,1587,46.685523100000005,7.858513900000001,Suisse
interläken,POSITIVE,1,46.685523100000005,7.858513900000001,Suisse
isvicre,POSITIVE,7,46.7985624,8.231973599999998,Suisse
itingen,POSITIVE,4,47.4665362,7.7877841,Suisse
ittigen,POSITIVE,31,46.9790726,7.481521300000001,Suisse
jonen,POSITIVE,32,47.2959739,8.3950641,Suisse
kaisten,POSITIVE,9,47.538216999999996,8.044461,Suisse
kaufleuten,POSITIVE,64,47.37185535,8.53615864933998,Suisse
kehrsatz,POSITIVE,25,46.911942700000004,7.4731844,Suisse
kehrsiten,NEGATIVE,3,47.0000945,8.367668400000001,Suisse
kerzers,POSITIVE,69,46.9761315,7.1972834,Suisse
kiesen,POSITIVE,35,46.819539899999995,7.584815400000001,Suisse
kilchberg,NEGATIVE,9,47.3225316,8.545948300000001,Suisse
killwangen,POSITIVE,8,47.43155529999999,8.3518766,Suisse
kirchleerau,POSITIVE,11,47.2755071,8.0702913,Suisse
kleinandelfingen,POSITIVE,9,47.599804299999995,8.686058099999999,Suisse
