City,Sentiment,Count,Latitude,Longitude,Country
.ch,POSITIVE,34,46.7985624,8.231973599999998,Suisse
aadorf,POSITIVE,164,47.4915782,8.902952599999999,Suisse
aarau,POSITIVE,4974,47.3927146,8.0444448,Suisse
aarau.,NEGATIVE,43,47.3927146,8.0444448,Suisse
aarberg,NEGATIVE,53,47.0443346,7.2753004,Suisse
aarburg,POSITIVE,75,47.3206417,7.8993599,Suisse
aargau,POSITIVE,5971,47.412396,8.1948321,Suisse
adelboden,POSITIVE,67,46.4927213,7.5587618,Suisse
adetswil,NEGATIVE,3,47.3396328,8.8435332,Suisse
adligenswil,NEGATIVE,35,47.070535,8.368244,Suisse
adliswil,POSITIVE,80,47.3117624,8.52491,Suisse
aegerten,POSITIVE,51,47.1202408,7.2884966,Suisse
aeschi,POSITIVE,9,47.18042020000001,7.661874000000001,Suisse
aeugst,POSITIVE,2,47.533807700000004,7.7206018,Suisse
affoltern,POSITIVE,99,47.4188265,8.5068666,Suisse
aigle,NEGATIVE,15,46.3179006,6.9688929,Suisse
albinen,POSITIVE,1,46.34064420000001,7.633727700000001,Suisse
albisrieden,NEGATIVE,1,47.3748299,8.484557800000001,Suisse
alikon,NEGATIVE,7,47.198939700000004,8.359232901420249,Suisse
allschwil,POSITIVE,285,47.5517277,7.5361588,Suisse
alpinaweg,POSITIVE,1,46.939058700000004,8.9989132,Suisse
alpnach,NEGATIVE,10,46.941166100000004,8.273682899999999,Suisse
alpthal,POSITIVE,8,47.0734939,8.7138911,Suisse
altnau,POSITIVE,5,47.61241,9.260705,Suisse
altstaetten,POSITIVE,4,47.3783471,9.5412765,Suisse
altstätten,POSITIVE,29,47.3783471,9.5412765,Suisse
amden,POSITIVE,52,47.1496317,9.1411228,Suisse
amriswil,POSITIVE,53,47.5500227,9.2981219,Suisse
amsoldingen,POSITIVE,6,46.7280971,7.580775900000001,Suisse
andeer,POSITIVE,4,46.6022665,9.4269682,Suisse
andermatt,POSITIVE,20,46.6340499,8.5948148,Suisse
anniviers,NEGATIVE,6,46.15338045,7.591856801599981,Suisse
appenzell,POSITIVE,324,47.3303856,9.4095307,Suisse
appenzellerland,POSITIVE,7,47.372236,9.277904800000002,Suisse
apples,NEGATIVE,1,46.551672700000005,6.426765799999999,Suisse
arau,NEGATIVE,12,47.3927146,8.0444448,Suisse
arbon,NEGATIVE,972,47.514925700000006,9.430402599999999,Suisse
ardez,NEGATIVE,1,46.7745373,10.201209500000001,Suisse
arisdorf,POSITIVE,63,47.512381299999994,7.765508199999999,Suisse
arlesheim,POSITIVE,73,47.4931125,7.6202048,Suisse
arolla,POSITIVE,54,46.025975,7.481086599999999,Suisse
arosa,POSITIVE,284,46.7797248,9.6781356,Suisse
arth,POSITIVE,17,47.0644551,8.523867300000001,Suisse
ascona,POSITIVE,10,46.155422200000004,8.7707865,Suisse
aubonne,POSITIVE,1,46.4952916,6.3915748,Suisse
baden,POSITIVE,9172,47.473682700000005,8.3086822,Suisse
basel,POSITIVE,86252,47.55810770000001,7.5878261,Suisse
basel.ch,POSITIVE,39,47.55810770000001,7.5878261,Suisse
baselland,POSITIVE,165,47.4844045,7.7324269592521,Suisse
basilea,POSITIVE,90,47.55810770000001,7.5878261,Suisse
bassersdorf,POSITIVE,115,47.4435706,8.6299131,Suisse
beckenhofstrasse,POSITIVE,7,47.3871491,8.539936,Suisse
beinwil,POSITIVE,47,47.2302283,8.3422897,Suisse
bellach,POSITIVE,52,47.2134073,7.498331299999999,Suisse
bellwald,POSITIVE,1,46.42566935,8.159651971338121,Suisse
belp,POSITIVE,83,46.88978,7.498388,Suisse
bennwil,NEGATIVE,2,47.4041393,7.7801695,Suisse
berikon,POSITIVE,59,47.3528355,8.3701013,Suisse
bern,POSITIVE,86408,46.9482713,7.4514512,Suisse
berna,POSITIVE,156,46.9482713,7.4514512,Suisse
bernastrasse,POSITIVE,17,46.942784100000004,7.4483357,Suisse
berne,POSITIVE,5055,46.9482713,7.4514512,Suisse
berneck,NEGATIVE,2,47.424901899999995,9.6102137,Suisse
beromünster,POSITIVE,6,47.207637299999995,8.1924386,Suisse
besenbüren,NEGATIVE,1,47.3123219,8.3439287,Suisse
bevaix,POSITIVE,2,46.9297213,6.8105994999999995,Suisse
biasca,POSITIVE,1,46.3606274,8.9714023,Suisse
biberist,POSITIVE,7,47.1810605,7.5626086,Suisse
biberstein,POSITIVE,19,47.4140107,8.081917,Suisse
bielstrasse,POSITIVE,2,47.0431687,7.2715659,Suisse
binningen,POSITIVE,7,47.536559999999994,7.570077,Suisse
birmensdorf,POSITIVE,51,47.3538481,8.438215699999999,Suisse
bière,POSITIVE,6,46.537377299999996,6.3337235,Suisse
blonay,NEGATIVE,1,46.465039700000005,6.8951981,Suisse
bonaduz,NEGATIVE,9,46.81132,9.3984396,Suisse
boppelsen,POSITIVE,13,47.4708527,8.4026156,Suisse
bremgarten,POSITIVE,258,47.35395689999999,8.337644599999999,Suisse
brigels,POSITIVE,4,46.767563200000005,9.0622845,Suisse
brittnau,NEGATIVE,14,47.2586821,7.9466147,Suisse
brn,POSITIVE,7,46.9482713,7.4514512,Suisse
broye,NEGATIVE,5,46.7763435,6.9086151,Suisse
brugg,POSITIVE,466,47.4824633,8.2085662,Suisse
bullet,POSITIVE,1,46.830931400000004,6.5546431,Suisse
bundesgasse,NEGATIVE,3,46.946592700000004,7.442059599999999,Suisse
burgdorf,POSITIVE,285,47.058769500000004,7.623074400000001,Suisse
buus,NEGATIVE,6,47.505526399999994,7.8650401,Suisse
bâsel,POSITIVE,1,47.55810770000001,7.5878261,Suisse
bäretswil,POSITIVE,1,47.3360247,8.8580536,Suisse
bärn,POSITIVE,49,46.9482713,7.4514512,Suisse
bösingen,POSITIVE,4,46.8924179,7.227354400000001,Suisse
bürglen,POSITIVE,7,47.2575984,8.5373809,Suisse
bütschwil,POSITIVE,9,47.3545519,9.07532116771581,Suisse
cadenazzo,NEGATIVE,5,46.150969700000005,8.945870300000001,Suisse
canvee,NEGATIVE,1,46.2796662,9.004169000000001,Suisse
carouge,NEGATIVE,4,46.1846691,6.1396839000000005,Suisse
cazis,NEGATIVE,8,46.7377176,9.40353862282802,Suisse
celerina,POSITIVE,32,46.5132296,9.858624800000001,Suisse
cernier,NEGATIVE,2,47.05945379999999,6.9053838,Suisse
champéry,POSITIVE,13,46.1756791,6.8687664999999996,Suisse
cheseaux,POSITIVE,1,46.585432399999995,6.6061393,Suisse
cholerweg,NEGATIVE,1,47.460772799999994,8.2080327,Suisse
coppet,POSITIVE,1,46.316338,6.1929509000000005,Suisse
cortaillod,POSITIVE,1,46.943231899999994,6.845894400000001,Suisse
courroux,POSITIVE,1,47.359922,7.3782917,Suisse
crans,NEGATIVE,4,46.30688189999999,7.4687012,Suisse
crissier,NEGATIVE,1,46.5538658,6.577250099999999,Suisse
derendingen,NEGATIVE,2,47.1995305,7.5859837,Suisse
diegten,POSITIVE,20,47.409937,7.809077,Suisse
dietikon,POSITIVE,823,47.406882700000004,8.4020894,Suisse
dietlikon,POSITIVE,29,47.422280799999996,8.615597900000001,Suisse
dintikon,POSITIVE,2,47.363643200000006,8.227791400000001,Suisse
diolly,POSITIVE,1,46.2388525,7.344252,Suisse
disentis,POSITIVE,37,46.7041748,8.8549785,Suisse
domat,POSITIVE,51,46.8351271,9.4506859,Suisse
dornach,NEGATIVE,555,47.4806097,7.6176609,Suisse
dottikon,NEGATIVE,7,47.3838825,8.241593,Suisse
dulliken,POSITIVE,45,47.3537179,7.942468099999999,Suisse
dänikon,NEGATIVE,3,47.445933000000004,8.4057151,Suisse
dättwil,POSITIVE,13,47.453733299999996,8.2849682,Suisse
düdingen,NEGATIVE,43,46.849747,7.1904436,Suisse
dürnten,POSITIVE,99,47.2778545,8.842203,Suisse
dürrenäsch,POSITIVE,11,47.3215135,8.1571142,Suisse
eawag,POSITIVE,1,47.4048009,8.60968996763299,Suisse
ebikon,NEGATIVE,80,47.0812067,8.338521,Suisse
echallens,POSITIVE,1,46.63811629999999,6.6346951,Suisse
effretikon,POSITIVE,50,47.428313700000004,8.686971400000001,Suisse
eigerplatz,POSITIVE,1,46.940483799999996,7.431453,Suisse
eiken,NEGATIVE,3,47.531250799999995,7.9894417,Suisse
eisarena,POSITIVE,1,46.4896297,9.83765535000001,Suisse
elfingen,NEGATIVE,10,47.507281,8.0984811,Suisse
elgg,POSITIVE,47,47.4945745,8.8662125,Suisse
ennetbühl,POSITIVE,3,47.2410166,9.2112669,Suisse
epfl,NEGATIVE,2,46.5186594,6.566561505148,Suisse
erlinsbach,POSITIVE,82,47.396866100000004,8.0133738,Suisse
etziken,NEGATIVE,60,47.1871991,7.6478981,Suisse
faoug,POSITIVE,1,46.905792299999995,7.0740011,Suisse
ferenbalm,NEGATIVE,15,46.948832700000004,7.2109008,Suisse
fislisbach,POSITIVE,34,47.4369564,8.289413799999998,Suisse
flaach,NEGATIVE,9,47.5754461,8.606075500000001,Suisse
flamatt,POSITIVE,70,46.8894589,7.3110208,Suisse
flawil,POSITIVE,80,47.414613,9.186148900000001,Suisse
flums,NEGATIVE,4,47.0939665,9.343589,Suisse
flurlingen,POSITIVE,3,47.6860764,8.6272354,Suisse
flüelen,NEGATIVE,312,46.9027239,8.6253481,Suisse
flühli,NEGATIVE,1,46.8840067,8.01564,Suisse
frauenfeld,POSITIVE,2279,47.5562359,8.8964139,Suisse
frauenkappelen,POSITIVE,2,46.9534091,7.3356617,Suisse
freienbach,POSITIVE,83,47.204411,8.7598816,Suisse
frenkendorf,POSITIVE,5,47.502854299999996,7.713828299999999,Suisse
fribourg,POSITIVE,4834,46.803319200000004,7.16175552542195,Suisse
friburg,NEGATIVE,87,46.803319200000004,7.16175552542195,Suisse
frick,POSITIVE,139,47.5075081,8.0203065,Suisse
friedlisberg,POSITIVE,6,47.362606400000004,8.388943,Suisse
frutigen,POSITIVE,176,46.5874205,7.6444369000000005,Suisse
galgenen,POSITIVE,1,47.1815904,8.874241099999999,Suisse
gams,POSITIVE,40,47.2054106,9.442126400000001,Suisse
gasel,POSITIVE,6,46.899674700000006,7.4034016000000005,Suisse
gaswerkstrasse,POSITIVE,43,47.4608042,9.031723300000001,Suisse
gattikon,POSITIVE,4,47.28430529999999,8.548761099999998,Suisse
genf,NEGATIVE,147,46.2017559,6.146601400000001,Suisse
gerlafingen,POSITIVE,58,47.169342,7.572082000000001,Suisse
giacomettistrasse,POSITIVE,14,47.4029658,8.5047843,Suisse
giubiasco,POSITIVE,6,46.173915799999996,9.013407699999998,Suisse
glarus,POSITIVE,569,47.0422116,9.0674041,Suisse
glattfelden,NEGATIVE,5,47.5596747,8.501942300000001,Suisse
gonten,NEGATIVE,2,47.326177,9.3428845,Suisse
gotthard,POSITIVE,17,47.6383116,8.6009708,Suisse
graubünden,POSITIVE,839,46.6960615,9.6027351,Suisse
grenchen,POSITIVE,479,47.1968713,7.3965792,Suisse
grossaffoltern,POSITIVE,12,47.0667831,7.360891900000001,Suisse
grüsch,POSITIVE,3,46.9790731,9.6468917,Suisse
grüt,NEGATIVE,9,46.6855057,7.829243099999999,Suisse
gstaad,POSITIVE,32,46.4740433,7.2857944,Suisse
guemmenen,NEGATIVE,2,46.9448449,7.2439516,Suisse
gva,POSITIVE,7,46.2369,6.1089,Suisse
gwatt,POSITIVE,1,46.723289,7.6230687999999995,Suisse
gächlingen,POSITIVE,2,47.7027323,8.499197,Suisse
gümligen,POSITIVE,11,46.9345928,7.5110516,Suisse
habsburg,POSITIVE,5,47.4620655,8.1871807,Suisse
hedingen,POSITIVE,42,47.2984412,8.448975500000001,Suisse
helvetia,NEGATIVE,38,46.7985624,8.231973599999998,Suisse
hergiswil,POSITIVE,64,46.9840938,8.3104542,Suisse
herrliberg,POSITIVE,888,47.2905574,8.6124721,Suisse
huttwil,POSITIVE,27,47.1147419,7.8455436,Suisse
hägendorf,POSITIVE,2,47.333167100000004,7.836561200000001,Suisse
ilanz,NEGATIVE,2,46.775575,9.205495599999999,Suisse
ingenbohl,POSITIVE,2,47.0007581,8.615022699999999,Suisse
itingen,POSITIVE,4,47.4665362,7.7877841,Suisse
jegenstorf,POSITIVE,21,47.0498143,7.5085719,Suisse
jonen,POSITIVE,32,47.2959739,8.3950641,Suisse
jongny,NEGATIVE,1,46.4788533,6.8418377999999995,Suisse
jonschwil,POSITIVE,94,47.4231947,9.0865706,Suisse
jouxtens,POSITIVE,2,46.5507923,6.595488499999999,Suisse
ju,NEGATIVE,13,47.35666989999999,7.1598893,Suisse
jungfrau,POSITIVE,4,46.5367739,7.962590700000001,Suisse
kaiseraugst,POSITIVE,37,47.5399823,7.7230178,Suisse
kaisten,POSITIVE,9,47.538216999999996,8.044461,Suisse
kallnach,POSITIVE,21,47.0205806,7.2363159,Suisse
kandersteg,POSITIVE,15,46.497586600000005,7.675663799999999,Suisse
kirchleerau,POSITIVE,11,47.2755071,8.0702913,Suisse
koppigen,NEGATIVE,21,47.134711200000005,7.6003107000000005,Suisse
kriens,POSITIVE,342,47.035094799999996,8.2791767,Suisse
kölliken,POSITIVE,93,47.333807,8.021037,Suisse
küssnacht,POSITIVE,60,47.08385,8.4386308,Suisse
küttigen,NEGATIVE,62,47.419363,8.043330000000001,Suisse
lancy,NEGATIVE,3,46.1839156,6.1224047,Suisse
landquart,POSITIVE,14,46.96137185,9.560340898409539,Suisse
lauperswil,NEGATIVE,1,46.9644914,7.741816900000001,Suisse
lausanne,POSITIVE,2281,46.5218269,6.6327025,Suisse
lausen,POSITIVE,182,47.473645899999994,7.759113900000001,Suisse
leibstadt,POSITIVE,3,47.5905075,8.1756561,Suisse
lengnau,POSITIVE,32,47.521079,8.3301378,Suisse
lenk,POSITIVE,30,46.45588789999999,7.4416975999999995,Suisse
lenzerheide,NEGATIVE,2,46.727896,9.5568344,Suisse
letzigrund,NEGATIVE,29,47.3812255,8.5036883,Suisse
leuk,POSITIVE,32,46.317040999999996,7.6353323,Suisse
leukerbad,POSITIVE,54,46.3795175,7.6264761,Suisse
leuzigen,POSITIVE,8,47.174660700000004,7.4585386,Suisse
lichtensteig,POSITIVE,14,47.324257700000004,9.09484510799991,Suisse
liebistorf,POSITIVE,1,46.908714399999994,7.1922334,Suisse
liestal,POSITIVE,1527,47.4839723,7.734778299999999,Suisse
ligerz,POSITIVE,6,47.0844684,7.1358527,Suisse
locarno,POSITIVE,95,46.1695112,8.795421699999999,Suisse
los,POSITIVE,28,46.93466420000001,7.448521700000001,Suisse
lucerna,NEGATIVE,5,47.0505452,8.3054682,Suisse
lucerne,POSITIVE,8364,47.0505452,8.3054682,Suisse
luchsingen,POSITIVE,5,46.9657664,9.0375677,Suisse
lyss,POSITIVE,502,47.072136799999996,7.305262,Suisse
länggasse,POSITIVE,2,47.1493851,8.115119400000001,Suisse
madiswil,POSITIVE,7,47.1648367,7.796815299999999,Suisse
maienfeld,POSITIVE,61,47.007728799999995,9.5309225,Suisse
malvaglia,POSITIVE,1,46.4122365,8.9801587,Suisse
martigny,POSITIVE,5,46.103115,7.072735400000001,Suisse
matran,NEGATIVE,4,46.7861706,7.0973405,Suisse
matten,POSITIVE,10,46.76809055,9.79088563582118,Suisse
mellingen,POSITIVE,22,47.419513099999996,8.274659,Suisse
mels,NEGATIVE,2,47.0467333,9.419293199999998,Suisse
menziken,POSITIVE,8,47.240878,8.187274,Suisse
merenschwand,POSITIVE,14,47.261658000000004,8.3779916,Suisse
merlischachen,POSITIVE,2,47.0676781,8.409047099999999,Suisse
mettmenstetten,NEGATIVE,14,47.243488,8.4636702,Suisse
mollis,POSITIVE,9,47.0942576,9.0752066,Suisse
monthey,POSITIVE,5,46.255457299999996,6.9537826,Suisse
montreux,POSITIVE,26,46.4310831,6.9129921,Suisse
moosseedorf,NEGATIVE,157,47.016365500000006,7.4839011,Suisse
morat,POSITIVE,35,46.9284075,7.1163317,Suisse
murgenthal,NEGATIVE,13,47.2627727,7.831924900000001,Suisse
muri,POSITIVE,801,47.275661299999996,8.3377829,Suisse
